Percentage served,Time in ms
0,171.324
1,836.360
2,854.290
3,882.701
4,898.615
5,906.053
6,914.457
7,929.333
8,939.370
9,948.924
10,955.670
11,985.983
12,1004.666
13,1027.377
14,1040.697
15,1053.196
16,1062.422
17,1071.052
18,1075.351
19,1081.323
20,1092.309
21,1096.845
22,1105.605
23,1114.993
24,1127.865
25,1142.287
26,1154.856
27,1173.168
28,1190.274
29,1211.691
30,1228.932
31,1245.111
32,1274.332
33,1297.568
34,1323.744
35,1341.995
36,1348.487
37,1378.034
38,1406.530
39,1430.332
40,1442.851
41,1452.428
42,1498.253
43,1531.903
44,1574.560
45,1602.143
46,1616.730
47,1644.089
48,1664.018
49,1699.353
50,1735.502
51,1748.089
52,1766.097
53,1786.216
54,1800.703
55,1824.738
56,1861.771
57,1894.348
58,1921.047
59,1943.840
60,1971.014
61,1994.222
62,2008.140
63,2018.342
64,2037.374
65,2058.905
66,2101.755
67,2127.257
68,2161.091
69,2200.921
70,2253.145
71,2283.468
72,2317.212
73,2343.988
74,2372.603
75,2422.463
76,2462.955
77,2489.731
78,2535.807
79,2602.790
80,2686.678
81,2782.622
82,3292.171
83,5370.285
84,5614.404
85,5715.452
86,5834.872
87,6040.808
88,6158.963
89,6259.367
90,6340.141
91,6413.073
92,6510.705
93,6614.219
94,6777.709
95,6958.640
96,7241.406
97,7742.295
98,8096.772
99,9066.210
