starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 14:40:38 2016	1461177638	39	340	379	304
Wed Apr 20 14:40:38 2016	1461177638	39	541	580	499
Wed Apr 20 14:40:38 2016	1461177638	40	713	753	677
Wed Apr 20 14:40:38 2016	1461177638	40	774	813	738
Wed Apr 20 14:44:44 2016	1461177884	35	791	826	755
Wed Apr 20 14:40:49 2016	1461177649	36	798	834	762
Wed Apr 20 14:40:50 2016	1461177650	36	801	837	765
Wed Apr 20 14:40:49 2016	1461177649	35	802	837	766
Wed Apr 20 14:40:50 2016	1461177650	35	802	838	767
Wed Apr 20 14:40:49 2016	1461177649	35	808	843	772
Wed Apr 20 14:42:21 2016	1461177741	35	812	847	776
Wed Apr 20 14:42:22 2016	1461177742	36	813	848	777
Wed Apr 20 14:42:21 2016	1461177741	36	814	849	778
Wed Apr 20 14:40:50 2016	1461177650	36	814	850	776
Wed Apr 20 14:42:21 2016	1461177741	36	815	851	779
Wed Apr 20 14:42:21 2016	1461177741	36	816	852	780
Wed Apr 20 14:44:44 2016	1461177884	36	817	853	781
Wed Apr 20 14:40:50 2016	1461177650	35	819	855	784
Wed Apr 20 14:40:50 2016	1461177650	35	820	855	784
Wed Apr 20 14:40:49 2016	1461177649	35	820	856	775
Wed Apr 20 14:42:21 2016	1461177741	35	821	857	785
Wed Apr 20 14:42:21 2016	1461177741	35	823	858	787
Wed Apr 20 14:42:19 2016	1461177739	35	823	859	787
Wed Apr 20 14:42:04 2016	1461177724	35	826	862	791
Wed Apr 20 14:42:04 2016	1461177724	35	827	862	791
Wed Apr 20 14:40:50 2016	1461177650	35	829	864	793
Wed Apr 20 14:42:04 2016	1461177724	35	830	865	794
Wed Apr 20 14:42:04 2016	1461177724	36	830	866	794
Wed Apr 20 14:41:39 2016	1461177699	35	832	868	797
Wed Apr 20 14:41:39 2016	1461177699	36	834	870	798
Wed Apr 20 14:42:21 2016	1461177741	35	835	871	800
Wed Apr 20 14:42:21 2016	1461177741	36	839	874	803
Wed Apr 20 14:42:21 2016	1461177741	36	841	876	805
Wed Apr 20 14:41:39 2016	1461177699	35	843	879	807
Wed Apr 20 14:40:49 2016	1461177649	35	847	882	811
Wed Apr 20 14:42:04 2016	1461177724	35	847	882	811
Wed Apr 20 14:41:39 2016	1461177699	36	847	883	812
Wed Apr 20 14:44:19 2016	1461177859	36	852	888	816
Wed Apr 20 14:44:19 2016	1461177859	35	855	891	820
Wed Apr 20 14:42:19 2016	1461177739	36	855	891	819
Wed Apr 20 14:42:19 2016	1461177739	35	858	893	822
Wed Apr 20 14:44:19 2016	1461177859	36	858	894	822
Wed Apr 20 14:44:19 2016	1461177859	35	859	894	823
Wed Apr 20 14:42:19 2016	1461177739	35	860	895	824
Wed Apr 20 14:42:19 2016	1461177739	36	860	896	824
Wed Apr 20 14:44:19 2016	1461177859	36	861	897	826
Wed Apr 20 14:44:19 2016	1461177859	36	863	899	827
Wed Apr 20 14:43:50 2016	1461177830	36	869	905	833
Wed Apr 20 14:44:19 2016	1461177859	35	871	906	835
Wed Apr 20 14:44:19 2016	1461177859	35	871	906	835
Wed Apr 20 14:42:04 2016	1461177724	35	873	908	837
Wed Apr 20 14:44:19 2016	1461177859	35	874	909	838
Wed Apr 20 14:40:49 2016	1461177649	36	876	912	840
Wed Apr 20 14:40:49 2016	1461177649	36	876	912	840
Wed Apr 20 14:43:50 2016	1461177830	35	878	913	842
Wed Apr 20 14:44:05 2016	1461177845	35	888	923	852
Wed Apr 20 14:42:19 2016	1461177739	35	889	924	853
Wed Apr 20 14:44:18 2016	1461177858	35	889	924	853
Wed Apr 20 14:44:05 2016	1461177845	36	889	925	853
Wed Apr 20 14:44:05 2016	1461177845	35	889	925	854
Wed Apr 20 14:43:38 2016	1461177818	36	889	925	853
Wed Apr 20 14:44:06 2016	1461177846	35	892	927	856
Wed Apr 20 14:44:05 2016	1461177845	36	893	928	857
Wed Apr 20 14:43:38 2016	1461177818	36	893	928	857
Wed Apr 20 14:42:19 2016	1461177739	35	894	930	858
Wed Apr 20 14:42:04 2016	1461177724	35	895	930	859
Wed Apr 20 14:43:50 2016	1461177830	36	895	930	859
Wed Apr 20 14:44:18 2016	1461177858	36	896	931	860
Wed Apr 20 14:42:04 2016	1461177724	35	896	931	861
Wed Apr 20 14:44:05 2016	1461177845	35	897	932	861
Wed Apr 20 14:42:04 2016	1461177724	36	899	935	863
Wed Apr 20 14:43:38 2016	1461177818	35	900	936	865
Wed Apr 20 14:44:06 2016	1461177846	35	900	936	865
Wed Apr 20 14:43:50 2016	1461177830	35	901	936	865
Wed Apr 20 14:43:50 2016	1461177830	35	901	936	865
Wed Apr 20 14:44:06 2016	1461177846	36	901	936	865
Wed Apr 20 14:42:04 2016	1461177724	35	902	937	866
Wed Apr 20 14:42:19 2016	1461177739	35	903	938	867
Wed Apr 20 14:44:06 2016	1461177846	36	905	941	870
Wed Apr 20 14:41:39 2016	1461177699	36	905	941	869
Wed Apr 20 14:44:06 2016	1461177846	36	906	941	870
Wed Apr 20 14:44:18 2016	1461177858	36	906	941	870
Wed Apr 20 14:43:51 2016	1461177831	35	907	942	871
Wed Apr 20 14:44:18 2016	1461177858	35	907	942	871
Wed Apr 20 14:44:06 2016	1461177846	35	907	943	862
Wed Apr 20 14:44:06 2016	1461177846	36	907	943	871
Wed Apr 20 14:44:05 2016	1461177845	36	908	944	872
Wed Apr 20 14:44:17 2016	1461177857	35	911	946	876
Wed Apr 20 14:43:38 2016	1461177818	36	912	947	876
Wed Apr 20 14:43:51 2016	1461177831	35	916	951	880
Wed Apr 20 14:43:37 2016	1461177817	36	916	951	880
Wed Apr 20 14:43:51 2016	1461177831	35	916	951	881
Wed Apr 20 14:43:36 2016	1461177816	35	916	952	881
Wed Apr 20 14:43:51 2016	1461177831	36	917	953	881
Wed Apr 20 14:44:30 2016	1461177870	36	918	954	883
Wed Apr 20 14:44:17 2016	1461177857	36	918	954	882
Wed Apr 20 14:44:17 2016	1461177857	35	920	955	884
Wed Apr 20 14:44:17 2016	1461177857	36	923	959	886
Wed Apr 20 14:43:36 2016	1461177816	35	926	961	890
Wed Apr 20 14:43:36 2016	1461177816	35	927	962	891
Wed Apr 20 14:44:44 2016	1461177884	36	927	963	891
Wed Apr 20 14:44:29 2016	1461177869	35	928	963	892
Wed Apr 20 14:44:17 2016	1461177857	36	927	963	890
Wed Apr 20 14:43:36 2016	1461177816	35	929	965	893
Wed Apr 20 14:42:21 2016	1461177741	39	932	971	896
Wed Apr 20 14:44:44 2016	1461177884	36	936	972	900
Wed Apr 20 14:44:29 2016	1461177869	36	940	976	903
Wed Apr 20 14:44:30 2016	1461177870	36	948	984	912
Wed Apr 20 14:40:50 2016	1461177650	36	950	986	915
Wed Apr 20 14:43:38 2016	1461177818	36	953	988	917
Wed Apr 20 14:43:50 2016	1461177830	35	953	989	918
Wed Apr 20 14:43:38 2016	1461177818	35	954	989	918
Wed Apr 20 14:43:38 2016	1461177818	35	954	989	918
