Percentage served,Time in ms
0,142.746
1,346.944
2,446.224
3,455.145
4,467.369
5,474.696
6,484.262
7,496.421
8,510.061
9,520.613
10,534.755
11,546.320
12,560.187
13,569.864
14,578.882
15,588.693
16,597.657
17,605.178
18,612.749
19,621.495
20,628.667
21,635.117
22,643.013
23,647.577
24,653.552
25,658.401
26,663.697
27,668.932
28,676.301
29,682.964
30,688.567
31,694.719
32,702.439
33,713.753
34,723.026
35,732.334
36,739.058
37,748.159
38,757.106
39,765.166
40,773.075
41,779.583
42,787.161
43,795.422
44,803.960
45,813.850
46,823.653
47,832.957
48,840.602
49,848.576
50,856.579
51,867.313
52,874.384
53,882.967
54,892.137
55,902.569
56,910.610
57,919.883
58,931.095
59,942.309
60,955.373
61,970.660
62,984.899
63,1009.637
64,1031.290
65,1054.640
66,1073.228
67,1094.050
68,1117.785
69,1150.957
70,1187.070
71,1223.652
72,1263.335
73,1305.594
74,1342.860
75,1379.187
76,1419.851
77,1460.609
78,1516.033
79,1582.603
80,1647.067
81,1727.308
82,1798.164
83,1893.174
84,2001.887
85,2124.822
86,6608.437
87,7062.437
88,7306.085
89,7406.610
90,7534.378
91,7751.873
92,7923.667
93,8103.695
94,8286.144
95,8437.418
96,8677.059
97,8889.206
98,9161.796
99,9584.344
