starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 15:11:19 2016	1461179479	36	127	162	91
Wed Apr 20 15:11:19 2016	1461179479	36	162	197	126
Wed Apr 20 15:11:19 2016	1461179479	36	295	331	259
Wed Apr 20 15:20:16 2016	1461180016	36	378	414	342
Wed Apr 20 15:17:26 2016	1461179846	35	384	419	348
Wed Apr 20 15:20:15 2016	1461180015	35	386	421	350
Wed Apr 20 15:20:28 2016	1461180028	35	389	424	353
Wed Apr 20 15:20:28 2016	1461180028	35	390	426	354
Wed Apr 20 15:22:33 2016	1461180153	35	393	429	358
Wed Apr 20 15:20:28 2016	1461180028	35	394	429	358
Wed Apr 20 15:20:28 2016	1461180028	35	394	430	358
Wed Apr 20 15:20:16 2016	1461180016	36	395	431	359
Wed Apr 20 15:26:04 2016	1461180364	35	397	432	361
Wed Apr 20 15:19:10 2016	1461179950	35	397	432	361
Wed Apr 20 15:20:16 2016	1461180016	36	397	432	361
Wed Apr 20 15:20:15 2016	1461180015	36	397	432	361
Wed Apr 20 15:20:15 2016	1461180015	36	398	434	362
Wed Apr 20 15:18:35 2016	1461179915	35	399	435	363
Wed Apr 20 15:20:15 2016	1461180015	36	399	435	363
Wed Apr 20 15:20:28 2016	1461180028	35	400	435	364
Wed Apr 20 15:20:16 2016	1461180016	35	400	435	365
Wed Apr 20 15:17:26 2016	1461179846	36	400	435	364
Wed Apr 20 15:19:10 2016	1461179950	35	400	436	363
Wed Apr 20 15:19:10 2016	1461179950	35	402	437	366
Wed Apr 20 15:18:35 2016	1461179915	35	403	438	367
Wed Apr 20 15:20:03 2016	1461180003	35	402	438	366
Wed Apr 20 15:20:28 2016	1461180028	36	403	438	367
Wed Apr 20 15:17:26 2016	1461179846	36	403	438	367
Wed Apr 20 15:18:35 2016	1461179915	35	403	439	368
Wed Apr 20 15:22:33 2016	1461180153	35	404	439	368
Wed Apr 20 15:18:59 2016	1461179939	38	401	439	365
Wed Apr 20 15:18:58 2016	1461179938	35	404	439	368
Wed Apr 20 15:19:10 2016	1461179950	36	404	440	368
Wed Apr 20 15:20:16 2016	1461180016	36	404	440	368
Wed Apr 20 15:19:11 2016	1461179951	35	405	441	370
Wed Apr 20 15:19:10 2016	1461179950	35	406	441	370
Wed Apr 20 15:20:28 2016	1461180028	35	406	441	371
Wed Apr 20 15:18:36 2016	1461179916	35	406	442	371
Wed Apr 20 15:17:26 2016	1461179846	35	407	442	371
Wed Apr 20 15:18:35 2016	1461179915	36	407	442	370
Wed Apr 20 15:18:35 2016	1461179915	36	407	443	370
Wed Apr 20 15:18:36 2016	1461179916	36	407	443	371
Wed Apr 20 15:18:35 2016	1461179915	35	408	443	372
Wed Apr 20 15:18:35 2016	1461179915	36	408	443	372
Wed Apr 20 15:18:58 2016	1461179938	35	408	444	367
Wed Apr 20 15:18:59 2016	1461179939	35	408	444	372
Wed Apr 20 15:17:26 2016	1461179846	36	409	444	372
Wed Apr 20 15:18:58 2016	1461179938	36	409	445	373
Wed Apr 20 15:17:26 2016	1461179846	36	409	445	373
Wed Apr 20 15:20:28 2016	1461180028	36	409	445	373
Wed Apr 20 15:20:28 2016	1461180028	36	410	445	374
Wed Apr 20 15:19:10 2016	1461179950	35	411	446	376
Wed Apr 20 15:18:36 2016	1461179916	37	409	446	373
Wed Apr 20 15:18:58 2016	1461179938	35	411	447	376
Wed Apr 20 15:20:28 2016	1461180028	35	411	447	375
Wed Apr 20 15:18:58 2016	1461179938	36	411	447	375
Wed Apr 20 15:18:58 2016	1461179938	35	412	447	377
Wed Apr 20 15:18:58 2016	1461179938	35	412	447	376
Wed Apr 20 15:20:03 2016	1461180003	35	412	447	376
Wed Apr 20 15:26:04 2016	1461180364	35	413	448	377
Wed Apr 20 15:20:28 2016	1461180028	35	412	448	377
Wed Apr 20 15:20:16 2016	1461180016	36	412	448	376
Wed Apr 20 15:18:58 2016	1461179938	36	413	448	376
Wed Apr 20 15:22:44 2016	1461180164	35	414	449	378
Wed Apr 20 15:18:58 2016	1461179938	35	414	449	378
Wed Apr 20 15:22:01 2016	1461180121	35	414	449	378
Wed Apr 20 15:18:36 2016	1461179916	36	413	449	377
Wed Apr 20 15:18:59 2016	1461179939	40	410	450	374
Wed Apr 20 15:20:16 2016	1461180016	35	414	450	379
Wed Apr 20 15:21:48 2016	1461180108	35	415	450	379
Wed Apr 20 15:20:28 2016	1461180028	35	415	450	379
Wed Apr 20 15:18:58 2016	1461179938	35	415	450	379
Wed Apr 20 15:18:59 2016	1461179939	35	415	450	379
Wed Apr 20 15:20:16 2016	1461180016	36	415	451	379
Wed Apr 20 15:18:58 2016	1461179938	35	416	451	379
Wed Apr 20 15:18:58 2016	1461179938	36	416	451	380
Wed Apr 20 15:17:26 2016	1461179846	35	416	451	380
Wed Apr 20 15:19:10 2016	1461179950	37	414	451	378
Wed Apr 20 15:22:45 2016	1461180165	35	416	451	379
Wed Apr 20 15:18:58 2016	1461179938	36	416	452	380
Wed Apr 20 15:21:32 2016	1461180092	35	417	452	381
Wed Apr 20 15:18:35 2016	1461179915	35	417	452	381
Wed Apr 20 15:18:58 2016	1461179938	35	417	452	379
Wed Apr 20 15:18:58 2016	1461179938	36	416	452	377
Wed Apr 20 15:20:52 2016	1461180052	35	417	453	382
Wed Apr 20 15:20:16 2016	1461180016	35	417	453	382
Wed Apr 20 15:19:10 2016	1461179950	36	417	453	381
Wed Apr 20 15:20:16 2016	1461180016	35	418	453	382
Wed Apr 20 15:18:35 2016	1461179915	35	418	454	383
Wed Apr 20 15:18:47 2016	1461179927	35	419	454	382
