Percentage served,Time in ms
0,244.181
1,836.394
2,862.390
3,879.032
4,896.922
5,906.131
6,913.833
7,928.848
8,940.262
9,957.221
10,974.821
11,989.666
12,1003.497
13,1025.800
14,1040.669
15,1045.683
16,1057.037
17,1067.399
18,1074.698
19,1080.146
20,1086.339
21,1095.800
22,1109.284
23,1118.400
24,1144.840
25,1158.512
26,1182.384
27,1197.715
28,1210.118
29,1222.560
30,1235.737
31,1250.520
32,1269.853
33,1303.873
34,1319.604
35,1336.536
36,1345.391
37,1371.004
38,1394.404
39,1411.811
40,1423.372
41,1435.513
42,1473.641
43,1493.921
44,1518.253
45,1535.765
46,1576.428
47,1604.028
48,1624.782
49,1648.295
50,1676.662
51,1707.670
52,1716.862
53,1742.643
54,1756.911
55,1775.234
56,1795.547
57,1808.708
58,1832.147
59,1871.071
60,1925.501
61,1949.300
62,1979.939
63,2000.627
64,2013.633
65,2027.923
66,2044.072
67,2062.707
68,2099.885
69,2124.930
70,2157.529
71,2202.011
72,2230.943
73,2260.247
74,2297.254
75,2340.048
76,2363.516
77,2412.200
78,2459.250
79,2506.065
80,2616.188
81,2749.791
82,3176.807
83,5400.809
84,5647.847
85,5797.259
86,5897.425
87,6045.657
88,6180.297
89,6273.475
90,6450.400
91,6580.562
92,6718.283
93,6769.815
94,6988.110
95,7149.103
96,7414.519
97,7796.541
98,8203.289
99,9146.342
