starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 14:40:38 2016	1461177638	39	205	244	164
Wed Apr 20 14:40:38 2016	1461177638	39	247	286	208
Wed Apr 20 14:40:38 2016	1461177638	39	315	354	276
Wed Apr 20 14:40:38 2016	1461177638	40	656	696	617
Wed Apr 20 14:40:49 2016	1461177649	36	783	819	745
Wed Apr 20 14:40:49 2016	1461177649	35	793	828	754
Wed Apr 20 14:40:50 2016	1461177650	36	794	830	756
Wed Apr 20 14:40:50 2016	1461177650	36	796	832	757
Wed Apr 20 14:40:49 2016	1461177649	35	799	834	760
Wed Apr 20 14:40:50 2016	1461177650	36	800	836	761
Wed Apr 20 14:40:50 2016	1461177650	36	801	836	762
Wed Apr 20 14:42:22 2016	1461177742	36	806	842	767
Wed Apr 20 14:40:49 2016	1461177649	36	809	845	771
Wed Apr 20 14:40:49 2016	1461177649	36	812	848	773
Wed Apr 20 14:42:21 2016	1461177741	35	815	850	776
Wed Apr 20 14:42:21 2016	1461177741	35	815	851	777
Wed Apr 20 14:42:21 2016	1461177741	35	816	851	777
Wed Apr 20 14:42:19 2016	1461177739	36	818	854	779
Wed Apr 20 14:40:50 2016	1461177650	35	820	856	782
Wed Apr 20 14:40:49 2016	1461177649	36	824	860	785
Wed Apr 20 14:42:04 2016	1461177724	35	827	862	789
Wed Apr 20 14:42:04 2016	1461177724	35	829	864	790
Wed Apr 20 14:42:19 2016	1461177739	35	829	865	791
Wed Apr 20 14:42:04 2016	1461177724	35	834	870	796
Wed Apr 20 14:42:21 2016	1461177741	35	836	872	798
Wed Apr 20 14:40:49 2016	1461177649	36	837	872	792
Wed Apr 20 14:42:04 2016	1461177724	35	837	872	795
Wed Apr 20 14:42:21 2016	1461177741	35	840	875	801
Wed Apr 20 14:42:21 2016	1461177741	36	840	875	801
Wed Apr 20 14:42:04 2016	1461177724	36	839	875	800
Wed Apr 20 14:42:21 2016	1461177741	35	844	879	805
Wed Apr 20 14:42:19 2016	1461177739	36	845	881	806
Wed Apr 20 14:40:50 2016	1461177650	36	846	882	808
Wed Apr 20 14:41:39 2016	1461177699	35	854	889	816
Wed Apr 20 14:42:04 2016	1461177724	36	854	890	813
Wed Apr 20 14:42:21 2016	1461177741	35	855	890	817
Wed Apr 20 14:42:21 2016	1461177741	35	858	893	819
Wed Apr 20 14:44:19 2016	1461177859	35	859	894	811
Wed Apr 20 14:44:19 2016	1461177859	35	859	894	820
Wed Apr 20 14:42:19 2016	1461177739	36	860	896	821
Wed Apr 20 14:44:19 2016	1461177859	36	861	897	823
Wed Apr 20 14:42:04 2016	1461177724	35	863	898	825
Wed Apr 20 14:42:04 2016	1461177724	35	863	899	825
Wed Apr 20 14:44:19 2016	1461177859	35	864	899	825
Wed Apr 20 14:43:50 2016	1461177830	35	864	899	825
Wed Apr 20 14:43:50 2016	1461177830	35	865	900	827
Wed Apr 20 14:40:49 2016	1461177649	36	866	902	828
Wed Apr 20 14:44:19 2016	1461177859	35	869	904	830
Wed Apr 20 14:44:19 2016	1461177859	35	869	904	830
Wed Apr 20 14:43:51 2016	1461177831	35	869	905	831
Wed Apr 20 14:44:05 2016	1461177845	35	871	906	832
Wed Apr 20 14:44:05 2016	1461177845	36	871	906	832
Wed Apr 20 14:44:18 2016	1461177858	35	871	907	833
Wed Apr 20 14:43:51 2016	1461177831	36	873	909	834
Wed Apr 20 14:43:51 2016	1461177831	35	874	910	836
Wed Apr 20 14:44:19 2016	1461177859	36	875	911	836
Wed Apr 20 14:44:18 2016	1461177858	35	876	911	838
Wed Apr 20 14:44:05 2016	1461177845	35	877	913	839
Wed Apr 20 14:44:19 2016	1461177859	35	878	913	839
Wed Apr 20 14:44:19 2016	1461177859	35	878	913	840
Wed Apr 20 14:44:19 2016	1461177859	36	878	914	840
Wed Apr 20 14:44:19 2016	1461177859	35	880	916	842
Wed Apr 20 14:42:19 2016	1461177739	36	882	917	843
Wed Apr 20 14:42:19 2016	1461177739	35	883	918	844
Wed Apr 20 14:44:05 2016	1461177845	35	883	918	845
Wed Apr 20 14:42:19 2016	1461177739	35	885	920	846
Wed Apr 20 14:44:05 2016	1461177845	35	885	920	847
Wed Apr 20 14:42:04 2016	1461177724	36	889	925	850
Wed Apr 20 14:43:50 2016	1461177830	35	890	926	852
Wed Apr 20 14:43:38 2016	1461177818	36	893	928	854
Wed Apr 20 14:44:05 2016	1461177845	35	893	929	855
Wed Apr 20 14:43:38 2016	1461177818	35	893	929	855
Wed Apr 20 14:43:50 2016	1461177830	36	894	930	856
Wed Apr 20 14:43:51 2016	1461177831	35	896	931	858
Wed Apr 20 14:43:38 2016	1461177818	35	897	932	859
Wed Apr 20 14:44:05 2016	1461177845	36	897	933	858
Wed Apr 20 14:44:30 2016	1461177870	36	902	937	863
Wed Apr 20 14:44:30 2016	1461177870	35	903	939	865
Wed Apr 20 14:44:06 2016	1461177846	35	904	939	865
Wed Apr 20 14:44:06 2016	1461177846	35	905	940	866
Wed Apr 20 14:42:04 2016	1461177724	35	905	940	866
Wed Apr 20 14:43:37 2016	1461177817	36	908	944	870
Wed Apr 20 14:44:17 2016	1461177857	36	909	944	870
Wed Apr 20 14:43:38 2016	1461177818	36	911	946	872
Wed Apr 20 14:44:06 2016	1461177846	35	911	947	873
Wed Apr 20 14:43:36 2016	1461177816	36	913	949	875
