Percentage served,Time in ms
0,376.680
1,437.601
2,448.987
3,459.293
4,469.969
5,477.654
6,487.120
7,499.394
8,513.157
9,525.000
10,538.119
11,554.553
12,564.778
13,572.639
14,582.049
15,590.054
16,599.363
17,606.879
18,613.233
19,620.430
20,626.909
21,633.708
22,640.952
23,647.085
24,653.063
25,657.591
26,662.474
27,668.086
28,674.717
29,681.244
30,689.318
31,695.557
32,704.507
33,711.202
34,720.017
35,728.140
36,738.160
37,748.193
38,755.436
39,763.641
40,770.271
41,778.290
42,785.569
43,792.744
44,802.288
45,811.468
46,819.792
47,830.694
48,840.089
49,847.084
50,854.222
51,862.481
52,868.474
53,875.957
54,884.848
55,896.334
56,908.815
57,916.753
58,928.492
59,939.121
60,952.956
61,966.998
62,986.012
63,1003.928
64,1027.173
65,1047.575
66,1070.431
67,1096.653
68,1130.304
69,1164.794
70,1200.808
71,1234.974
72,1277.429
73,1319.379
74,1355.087
75,1384.113
76,1424.122
77,1470.017
78,1526.509
79,1601.966
80,1652.633
81,1728.692
82,1794.784
83,1893.360
84,1989.449
85,2179.742
86,6482.955
87,7017.663
88,7267.080
89,7404.146
90,7550.334
91,7737.696
92,7896.350
93,8053.562
94,8228.122
95,8431.299
96,8613.588
97,8861.271
98,9108.488
99,9554.374
