starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 15:11:19 2016	1461179479	36	341	377	302
Wed Apr 20 15:11:19 2016	1461179479	36	344	380	305
Wed Apr 20 15:20:16 2016	1461180016	35	376	412	338
Wed Apr 20 15:20:16 2016	1461180016	35	381	416	341
Wed Apr 20 15:17:26 2016	1461179846	35	382	417	343
Wed Apr 20 15:20:28 2016	1461180028	35	383	418	344
Wed Apr 20 15:20:15 2016	1461180015	36	384	420	346
Wed Apr 20 15:18:36 2016	1461179916	38	385	423	346
Wed Apr 20 15:20:28 2016	1461180028	36	389	424	350
Wed Apr 20 15:20:28 2016	1461180028	36	388	424	349
Wed Apr 20 15:26:04 2016	1461180364	36	389	425	350
Wed Apr 20 15:11:19 2016	1461179479	36	389	425	350
Wed Apr 20 15:17:26 2016	1461179846	35	390	426	352
Wed Apr 20 15:20:28 2016	1461180028	35	391	426	353
Wed Apr 20 15:17:26 2016	1461179846	35	391	426	352
Wed Apr 20 15:20:16 2016	1461180016	35	391	426	352
Wed Apr 20 15:20:28 2016	1461180028	36	391	427	353
Wed Apr 20 15:20:16 2016	1461180016	36	392	428	354
Wed Apr 20 15:20:28 2016	1461180028	35	393	428	354
Wed Apr 20 15:18:35 2016	1461179915	36	393	429	354
Wed Apr 20 15:18:35 2016	1461179915	35	393	429	355
Wed Apr 20 15:18:36 2016	1461179916	35	394	429	355
Wed Apr 20 15:17:26 2016	1461179846	35	394	429	355
Wed Apr 20 15:17:26 2016	1461179846	35	394	429	356
Wed Apr 20 15:18:36 2016	1461179916	35	394	430	356
Wed Apr 20 15:19:10 2016	1461179950	35	394	430	351
Wed Apr 20 15:20:16 2016	1461180016	35	395	430	356
Wed Apr 20 15:26:04 2016	1461180364	36	394	431	356
Wed Apr 20 15:22:33 2016	1461180153	36	395	431	356
Wed Apr 20 15:19:10 2016	1461179950	35	395	431	356
Wed Apr 20 15:20:16 2016	1461180016	35	396	431	357
Wed Apr 20 15:20:28 2016	1461180028	35	396	431	358
Wed Apr 20 15:20:28 2016	1461180028	35	396	432	358
Wed Apr 20 15:18:35 2016	1461179915	36	396	432	351
Wed Apr 20 15:20:28 2016	1461180028	36	397	432	358
Wed Apr 20 15:20:15 2016	1461180015	37	396	433	357
Wed Apr 20 15:17:26 2016	1461179846	36	397	433	358
Wed Apr 20 15:18:36 2016	1461179916	36	397	433	359
Wed Apr 20 15:17:26 2016	1461179846	35	398	433	351
Wed Apr 20 15:18:58 2016	1461179938	36	397	433	355
Wed Apr 20 15:20:16 2016	1461180016	36	398	433	359
Wed Apr 20 15:20:16 2016	1461180016	36	398	434	359
Wed Apr 20 15:18:58 2016	1461179938	35	400	435	361
Wed Apr 20 15:19:10 2016	1461179950	36	400	435	361
Wed Apr 20 15:18:59 2016	1461179939	36	400	436	362
Wed Apr 20 15:18:59 2016	1461179939	35	402	437	363
Wed Apr 20 15:18:59 2016	1461179939	40	396	437	358
Wed Apr 20 15:17:26 2016	1461179846	36	401	437	362
Wed Apr 20 15:20:03 2016	1461180003	36	401	437	363
Wed Apr 20 15:24:50 2016	1461180290	35	402	437	363
Wed Apr 20 15:18:58 2016	1461179938	35	402	438	364
Wed Apr 20 15:20:28 2016	1461180028	35	402	438	349
Wed Apr 20 15:18:59 2016	1461179939	35	403	438	364
Wed Apr 20 15:18:35 2016	1461179915	36	403	439	364
Wed Apr 20 15:20:15 2016	1461180015	36	403	439	365
Wed Apr 20 15:20:28 2016	1461180028	36	403	439	365
Wed Apr 20 15:18:58 2016	1461179938	36	404	439	365
Wed Apr 20 15:20:28 2016	1461180028	36	404	440	360
Wed Apr 20 15:18:58 2016	1461179938	35	404	440	366
Wed Apr 20 15:18:58 2016	1461179938	35	406	442	368
Wed Apr 20 15:18:36 2016	1461179916	36	406	442	368
Wed Apr 20 15:17:26 2016	1461179846	35	407	442	368
Wed Apr 20 15:18:58 2016	1461179938	35	408	443	370
Wed Apr 20 15:26:04 2016	1461180364	36	408	443	369
Wed Apr 20 15:18:36 2016	1461179916	35	408	443	369
Wed Apr 20 15:20:15 2016	1461180015	35	408	444	370
Wed Apr 20 15:20:16 2016	1461180016	35	408	444	370
Wed Apr 20 15:18:58 2016	1461179938	36	408	444	367
Wed Apr 20 15:18:36 2016	1461179916	39	405	444	367
Wed Apr 20 15:20:03 2016	1461180003	36	409	444	369
Wed Apr 20 15:22:33 2016	1461180153	35	409	444	370
Wed Apr 20 15:19:10 2016	1461179950	35	409	445	371
Wed Apr 20 15:19:10 2016	1461179950	36	409	445	370
Wed Apr 20 15:18:35 2016	1461179915	41	404	445	365
Wed Apr 20 15:20:28 2016	1461180028	35	410	445	372
Wed Apr 20 15:24:50 2016	1461180290	35	410	445	371
Wed Apr 20 15:20:28 2016	1461180028	35	410	446	372
Wed Apr 20 15:22:44 2016	1461180164	36	410	446	371
Wed Apr 20 15:22:44 2016	1461180164	35	411	446	372
Wed Apr 20 15:21:48 2016	1461180108	36	410	446	370
Wed Apr 20 15:18:47 2016	1461179927	36	410	446	372
Wed Apr 20 15:19:10 2016	1461179950	35	411	446	372
Wed Apr 20 15:21:32 2016	1461180092	35	411	446	373
Wed Apr 20 15:20:16 2016	1461180016	35	411	446	372
Wed Apr 20 15:18:35 2016	1461179915	36	411	447	371
Wed Apr 20 15:20:16 2016	1461180016	36	411	447	372
Wed Apr 20 15:22:33 2016	1461180153	36	411	447	373
Wed Apr 20 15:19:10 2016	1461179950	36	411	447	372
Wed Apr 20 15:22:45 2016	1461180165	35	412	447	373
Wed Apr 20 15:22:45 2016	1461180165	36	412	447	373
Wed Apr 20 15:20:52 2016	1461180052	36	412	447	373
Wed Apr 20 15:22:33 2016	1461180153	35	412	447	373
Wed Apr 20 15:24:50 2016	1461180290	36	412	448	366
Wed Apr 20 15:21:32 2016	1461180092	36	412	448	373
Wed Apr 20 15:20:16 2016	1461180016	35	412	448	374
Wed Apr 20 15:20:16 2016	1461180016	35	412	448	374
Wed Apr 20 15:18:35 2016	1461179915	35	413	448	374
Wed Apr 20 15:21:32 2016	1461180092	35	413	448	375
Wed Apr 20 15:18:35 2016	1461179915	35	413	449	375
Wed Apr 20 15:20:16 2016	1461180016	35	414	449	375
Wed Apr 20 15:19:10 2016	1461179950	35	414	449	370
Wed Apr 20 15:22:33 2016	1461180153	36	413	449	374
Wed Apr 20 15:20:16 2016	1461180016	36	414	449	375
Wed Apr 20 15:18:58 2016	1461179938	35	414	449	375
Wed Apr 20 15:18:59 2016	1461179939	38	411	449	368
Wed Apr 20 15:22:33 2016	1461180153	35	414	450	376
Wed Apr 20 15:18:59 2016	1461179939	35	414	450	376
Wed Apr 20 15:19:10 2016	1461179950	35	415	450	376
Wed Apr 20 15:18:58 2016	1461179938	36	414	450	375
Wed Apr 20 15:20:16 2016	1461180016	35	415	451	377
Wed Apr 20 15:17:26 2016	1461179846	40	411	451	372
Wed Apr 20 15:22:44 2016	1461180164	36	415	451	377
Wed Apr 20 15:22:33 2016	1461180153	35	416	451	378
Wed Apr 20 15:26:04 2016	1461180364	36	416	451	377
Wed Apr 20 15:26:04 2016	1461180364	35	416	452	378
Wed Apr 20 15:18:47 2016	1461179927	36	416	452	378
Wed Apr 20 15:22:01 2016	1461180121	36	416	452	377
Wed Apr 20 15:22:45 2016	1461180165	35	417	452	378
Wed Apr 20 15:20:28 2016	1461180028	35	417	452	378
Wed Apr 20 15:18:47 2016	1461179927	36	417	452	378
Wed Apr 20 15:20:16 2016	1461180016	36	417	453	377
Wed Apr 20 15:20:28 2016	1461180028	35	417	453	379
Wed Apr 20 15:20:03 2016	1461180003	35	418	453	379
Wed Apr 20 15:20:28 2016	1461180028	35	418	454	380
Wed Apr 20 15:22:45 2016	1461180165	36	418	454	379
Wed Apr 20 15:20:52 2016	1461180052	35	419	454	380
Wed Apr 20 15:22:45 2016	1461180165	35	419	454	381
Wed Apr 20 15:19:10 2016	1461179950	36	419	454	380
Wed Apr 20 15:20:03 2016	1461180003	36	419	455	380
Wed Apr 20 15:20:52 2016	1461180052	35	419	455	381
Wed Apr 20 15:18:47 2016	1461179927	35	420	456	382
Wed Apr 20 15:20:16 2016	1461180016	36	420	456	381
Wed Apr 20 15:18:58 2016	1461179938	36	420	456	380
Wed Apr 20 15:20:28 2016	1461180028	36	420	456	381
Wed Apr 20 15:18:58 2016	1461179938	35	420	456	381
Wed Apr 20 15:22:56 2016	1461180176	35	421	456	382
Wed Apr 20 15:22:33 2016	1461180153	35	421	456	379
Wed Apr 20 15:19:10 2016	1461179950	35	422	457	383
Wed Apr 20 15:22:45 2016	1461180165	37	420	457	382
Wed Apr 20 15:26:04 2016	1461180364	35	422	457	382
Wed Apr 20 15:20:28 2016	1461180028	36	421	457	382
Wed Apr 20 15:22:33 2016	1461180153	36	422	457	383
Wed Apr 20 15:21:32 2016	1461180092	35	422	457	383
Wed Apr 20 15:20:02 2016	1461180002	36	422	457	382
