starttime	seconds	ctime	dtime	ttime	wait
Wed May 25 14:04:43 2016	1464185083	39	40	79	40
Wed May 25 14:04:11 2016	1464185051	39	40	79	40
Wed May 25 14:04:31 2016	1464185071	39	40	79	40
Wed May 25 14:02:22 2016	1464184942	39	40	79	40
Wed May 25 14:03:40 2016	1464185020	39	40	79	40
Wed May 25 14:03:51 2016	1464185031	39	40	79	40
Wed May 25 14:04:45 2016	1464185085	39	40	79	40
Wed May 25 14:03:45 2016	1464185025	39	40	79	40
Wed May 25 14:02:26 2016	1464184946	39	40	79	40
Wed May 25 14:02:39 2016	1464184959	39	40	79	40
Wed May 25 14:04:58 2016	1464185098	39	40	79	40
Wed May 25 14:03:56 2016	1464185036	39	40	79	40
Wed May 25 14:03:11 2016	1464184991	39	40	79	40
Wed May 25 14:02:25 2016	1464184945	39	40	79	40
Wed May 25 14:03:27 2016	1464185007	39	40	79	40
Wed May 25 14:02:23 2016	1464184943	39	40	79	40
Wed May 25 14:04:53 2016	1464185093	39	40	79	40
Wed May 25 14:03:53 2016	1464185033	39	40	79	40
Wed May 25 14:03:30 2016	1464185010	39	40	79	40
Wed May 25 14:04:53 2016	1464185093	39	40	79	40
Wed May 25 14:03:35 2016	1464185015	39	40	79	40
Wed May 25 14:04:12 2016	1464185052	39	40	79	40
Wed May 25 14:02:39 2016	1464184959	39	40	79	40
Wed May 25 14:03:39 2016	1464185019	39	40	79	40
Wed May 25 14:02:24 2016	1464184944	39	40	79	40
Wed May 25 14:03:40 2016	1464185020	39	40	79	40
Wed May 25 14:04:20 2016	1464185060	39	41	79	40
Wed May 25 14:05:01 2016	1464185101	39	40	79	40
Wed May 25 14:02:25 2016	1464184945	39	40	79	40
Wed May 25 14:02:24 2016	1464184944	39	40	79	40
Wed May 25 14:04:53 2016	1464185093	39	40	79	40
Wed May 25 14:04:52 2016	1464185092	39	40	79	40
Wed May 25 14:04:57 2016	1464185097	39	40	79	40
Wed May 25 14:04:53 2016	1464185093	39	40	79	40
Wed May 25 14:02:40 2016	1464184960	39	40	79	40
Wed May 25 14:02:46 2016	1464184966	39	40	79	40
Wed May 25 14:03:34 2016	1464185014	39	40	79	40
Wed May 25 14:02:27 2016	1464184947	39	40	79	40
Wed May 25 14:03:45 2016	1464185025	39	40	79	40
Wed May 25 14:02:26 2016	1464184946	39	41	79	40
Wed May 25 14:02:24 2016	1464184944	39	40	79	40
Wed May 25 14:02:22 2016	1464184942	39	40	79	40
