starttime	seconds	ctime	dtime	ttime	wait
Wed May 25 14:10:51 2016	1464185451	39	96	135	57
Wed May 25 14:09:21 2016	1464185361	39	96	135	57
Wed May 25 14:10:43 2016	1464185443	39	96	135	57
Wed May 25 14:08:29 2016	1464185309	39	96	135	57
Wed May 25 14:07:57 2016	1464185277	39	96	135	57
Wed May 25 14:09:15 2016	1464185355	39	96	135	57
Wed May 25 14:09:00 2016	1464185340	39	96	135	57
Wed May 25 14:09:43 2016	1464185383	39	96	135	57
Wed May 25 14:06:10 2016	1464185170	39	96	135	57
Wed May 25 14:09:54 2016	1464185394	39	96	135	57
Wed May 25 14:10:24 2016	1464185424	39	96	135	57
Wed May 25 14:10:32 2016	1464185432	39	97	135	58
Wed May 25 14:09:14 2016	1464185354	39	96	135	57
Wed May 25 14:06:10 2016	1464185170	39	96	135	57
Wed May 25 14:08:26 2016	1464185306	39	96	135	58
Wed May 25 14:09:43 2016	1464185383	39	97	135	58
Wed May 25 14:08:26 2016	1464185306	39	96	135	58
Wed May 25 14:07:59 2016	1464185279	39	96	135	57
Wed May 25 14:09:53 2016	1464185393	39	96	135	58
Wed May 25 14:09:53 2016	1464185393	39	96	135	58
Wed May 25 14:09:04 2016	1464185344	39	96	135	58
Wed May 25 14:08:16 2016	1464185296	39	96	135	57
Wed May 25 14:10:29 2016	1464185429	39	97	135	58
Wed May 25 14:10:32 2016	1464185432	39	96	135	58
Wed May 25 14:06:14 2016	1464185174	39	96	135	58
Wed May 25 14:09:04 2016	1464185344	39	96	135	58
Wed May 25 14:08:06 2016	1464185286	39	97	135	58
Wed May 25 14:08:15 2016	1464185295	39	96	135	58
Wed May 25 14:08:58 2016	1464185338	39	96	135	58
Wed May 25 14:09:44 2016	1464185384	39	96	135	58
Wed May 25 14:08:20 2016	1464185300	39	97	135	58
Wed May 25 14:08:19 2016	1464185299	39	97	135	58
Wed May 25 14:08:04 2016	1464185284	39	97	136	58
Wed May 25 14:08:25 2016	1464185305	39	97	136	58
Wed May 25 14:10:26 2016	1464185426	39	97	136	58
Wed May 25 14:09:57 2016	1464185397	39	97	136	58
Wed May 25 14:08:05 2016	1464185285	39	97	136	58
Wed May 25 14:09:07 2016	1464185347	39	97	136	58
Wed May 25 14:10:15 2016	1464185415	39	97	136	58
Wed May 25 14:09:53 2016	1464185393	39	97	136	58
Wed May 25 14:09:01 2016	1464185341	39	97	136	58
Wed May 25 14:10:54 2016	1464185454	39	97	136	58
Wed May 25 14:10:01 2016	1464185401	39	97	136	58
Wed May 25 14:09:23 2016	1464185363	39	97	136	58
Wed May 25 14:08:18 2016	1464185298	39	97	136	58
Wed May 25 14:07:16 2016	1464185236	39	97	136	58
Wed May 25 14:10:10 2016	1464185410	39	97	136	58
Wed May 25 14:08:50 2016	1464185330	39	97	136	58
Wed May 25 14:09:29 2016	1464185369	39	97	136	58
Wed May 25 14:11:06 2016	1464185466	39	97	136	58
Wed May 25 14:06:09 2016	1464185169	39	97	136	58
Wed May 25 14:08:21 2016	1464185301	39	97	136	58
Wed May 25 14:09:02 2016	1464185342	39	97	136	58
Wed May 25 14:10:34 2016	1464185434	39	97	136	58
Wed May 25 14:10:33 2016	1464185433	39	97	136	58
Wed May 25 14:09:43 2016	1464185383	39	97	136	58
Wed May 25 14:08:14 2016	1464185294	39	97	136	58
Wed May 25 14:10:47 2016	1464185447	39	97	136	58
Wed May 25 14:06:29 2016	1464185189	39	97	136	58
Wed May 25 14:08:50 2016	1464185330	39	97	136	57
Wed May 25 14:09:13 2016	1464185353	39	97	136	58
Wed May 25 14:08:44 2016	1464185324	39	97	136	58
Wed May 25 14:08:57 2016	1464185337	39	97	136	58
Wed May 25 14:08:23 2016	1464185303	39	97	136	58
Wed May 25 14:10:59 2016	1464185459	39	97	136	58
Wed May 25 14:10:26 2016	1464185426	39	97	136	58
Wed May 25 14:10:46 2016	1464185446	39	97	136	58
Wed May 25 14:08:57 2016	1464185337	39	97	136	57
Wed May 25 14:10:31 2016	1464185431	39	97	136	58
Wed May 25 14:06:58 2016	1464185218	39	97	136	58
Wed May 25 14:08:20 2016	1464185300	39	97	136	58
Wed May 25 14:09:16 2016	1464185356	39	97	136	58
Wed May 25 14:10:51 2016	1464185451	39	97	136	58
Wed May 25 14:10:27 2016	1464185427	39	97	136	58
Wed May 25 14:08:18 2016	1464185298	39	97	136	58
Wed May 25 14:09:57 2016	1464185397	39	97	136	58
Wed May 25 14:09:01 2016	1464185341	39	97	136	58
Wed May 25 14:09:57 2016	1464185397	39	97	136	58
Wed May 25 14:09:57 2016	1464185397	39	97	136	58
Wed May 25 14:09:11 2016	1464185351	39	97	136	58
Wed May 25 14:06:11 2016	1464185171	39	97	136	58
Wed May 25 14:09:58 2016	1464185398	39	97	136	58
Wed May 25 14:07:07 2016	1464185227	39	97	136	58
Wed May 25 14:09:36 2016	1464185376	39	97	136	58
Wed May 25 14:10:24 2016	1464185424	39	97	136	58
Wed May 25 14:08:15 2016	1464185295	39	97	136	58
Wed May 25 14:09:03 2016	1464185343	39	97	136	58
Wed May 25 14:09:48 2016	1464185388	39	97	136	58
Wed May 25 14:06:09 2016	1464185169	39	97	136	58
Wed May 25 14:06:04 2016	1464185164	39	97	136	58
Wed May 25 14:06:04 2016	1464185164	39	97	136	58
Wed May 25 14:10:13 2016	1464185413	39	96	136	58
Wed May 25 14:07:24 2016	1464185244	39	97	136	58
Wed May 25 14:06:39 2016	1464185199	39	97	136	58
Wed May 25 14:09:57 2016	1464185397	39	97	136	58
Wed May 25 14:08:34 2016	1464185314	39	97	136	58
Wed May 25 14:08:32 2016	1464185312	39	97	136	58
Wed May 25 14:09:14 2016	1464185354	39	97	136	58
Wed May 25 14:08:02 2016	1464185282	39	97	136	58
Wed May 25 14:06:06 2016	1464185166	39	97	136	58
Wed May 25 14:06:29 2016	1464185189	39	97	136	58
Wed May 25 14:07:26 2016	1464185246	39	97	136	58
Wed May 25 14:06:10 2016	1464185170	39	97	136	58
Wed May 25 14:10:45 2016	1464185445	39	97	136	58
Wed May 25 14:11:00 2016	1464185460	39	97	136	58
Wed May 25 14:09:03 2016	1464185343	39	97	136	58
Wed May 25 14:08:59 2016	1464185339	39	97	136	58
Wed May 25 14:09:15 2016	1464185355	39	97	136	58
Wed May 25 14:09:48 2016	1464185388	39	97	136	58
Wed May 25 14:10:26 2016	1464185426	39	97	136	58
Wed May 25 14:09:07 2016	1464185347	39	97	136	58
Wed May 25 14:09:00 2016	1464185340	39	97	136	58
Wed May 25 14:06:07 2016	1464185167	39	97	136	58
Wed May 25 14:08:01 2016	1464185281	39	97	136	58
Wed May 25 14:10:26 2016	1464185426	39	96	136	58
Wed May 25 14:09:51 2016	1464185391	39	97	136	58
Wed May 25 14:06:09 2016	1464185169	39	97	136	58
Wed May 25 14:10:25 2016	1464185425	39	97	136	58
Wed May 25 14:08:15 2016	1464185295	39	97	136	58
Wed May 25 14:08:11 2016	1464185291	39	97	136	58
Wed May 25 14:08:58 2016	1464185338	39	97	136	58
Wed May 25 14:09:45 2016	1464185385	39	97	136	58
Wed May 25 14:09:58 2016	1464185398	39	97	136	58
Wed May 25 14:10:53 2016	1464185453	39	97	136	58
Wed May 25 14:08:37 2016	1464185317	39	97	136	58
Wed May 25 14:08:59 2016	1464185339	39	97	136	58
Wed May 25 14:09:38 2016	1464185378	39	97	136	58
Wed May 25 14:07:18 2016	1464185238	39	97	136	58
Wed May 25 14:10:38 2016	1464185438	39	97	136	58
Wed May 25 14:08:27 2016	1464185307	39	97	136	58
Wed May 25 14:08:16 2016	1464185296	39	97	136	58
Wed May 25 14:08:15 2016	1464185295	39	97	136	58
Wed May 25 14:08:20 2016	1464185300	39	97	136	58
Wed May 25 14:09:13 2016	1464185353	39	97	136	58
Wed May 25 14:10:30 2016	1464185430	39	97	136	58
Wed May 25 14:06:08 2016	1464185168	39	97	136	58
Wed May 25 14:07:42 2016	1464185262	39	97	136	58
Wed May 25 14:08:21 2016	1464185301	39	97	136	58
Wed May 25 14:10:28 2016	1464185428	39	97	136	58
Wed May 25 14:09:56 2016	1464185396	39	97	136	58
Wed May 25 14:09:59 2016	1464185399	39	97	136	58
Wed May 25 14:10:43 2016	1464185443	39	97	136	58
Wed May 25 14:10:33 2016	1464185433	39	97	136	58
Wed May 25 14:07:01 2016	1464185221	39	97	136	58
Wed May 25 14:09:18 2016	1464185358	39	97	136	58
Wed May 25 14:10:24 2016	1464185424	39	97	136	58
Wed May 25 14:09:40 2016	1464185380	39	97	136	58
Wed May 25 14:08:56 2016	1464185336	39	97	136	58
Wed May 25 14:09:07 2016	1464185347	39	97	136	58
Wed May 25 14:10:10 2016	1464185410	39	97	136	58
Wed May 25 14:08:59 2016	1464185339	39	97	136	58
Wed May 25 14:08:51 2016	1464185331	39	97	136	58
Wed May 25 14:09:04 2016	1464185344	39	97	136	58
Wed May 25 14:10:02 2016	1464185402	39	97	136	58
Wed May 25 14:09:59 2016	1464185399	39	97	136	58
Wed May 25 14:07:53 2016	1464185273	39	97	136	58
Wed May 25 14:09:25 2016	1464185365	39	97	136	58
Wed May 25 14:10:32 2016	1464185432	39	97	136	58
Wed May 25 14:09:14 2016	1464185354	39	97	136	58
Wed May 25 14:10:34 2016	1464185434	39	97	136	58
Wed May 25 14:09:03 2016	1464185343	39	97	136	58
Wed May 25 14:08:49 2016	1464185329	39	97	136	58
Wed May 25 14:08:25 2016	1464185305	39	97	136	58
Wed May 25 14:10:30 2016	1464185430	39	97	136	58
Wed May 25 14:08:34 2016	1464185314	39	97	136	58
Wed May 25 14:09:15 2016	1464185355	39	97	136	58
Wed May 25 14:09:03 2016	1464185343	39	97	136	58
Wed May 25 14:06:08 2016	1464185168	39	97	136	58
Wed May 25 14:06:40 2016	1464185200	39	97	136	58
Wed May 25 14:09:29 2016	1464185369	39	97	136	58
Wed May 25 14:08:23 2016	1464185303	39	97	136	58
Wed May 25 14:08:11 2016	1464185291	39	97	136	58
Wed May 25 14:10:51 2016	1464185451	39	97	136	58
Wed May 25 14:09:07 2016	1464185347	39	96	136	58
Wed May 25 14:07:19 2016	1464185239	39	96	136	57
Wed May 25 14:06:10 2016	1464185170	39	97	136	58
