starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 18:21:33 2016	1464114093	36	38	74	38
Tue May 24 18:21:53 2016	1464114113	36	38	74	38
Tue May 24 18:21:48 2016	1464114108	36	38	74	38
Tue May 24 18:21:29 2016	1464114089	36	38	74	38
Tue May 24 18:22:07 2016	1464114127	36	38	74	38
Tue May 24 18:22:15 2016	1464114135	36	38	74	38
Tue May 24 18:22:20 2016	1464114140	36	38	74	38
Tue May 24 18:22:22 2016	1464114142	36	38	74	38
Tue May 24 18:21:37 2016	1464114097	37	38	74	38
Tue May 24 18:21:34 2016	1464114094	36	38	74	38
Tue May 24 18:21:34 2016	1464114094	37	38	74	38
Tue May 24 18:21:34 2016	1464114094	36	38	74	38
Tue May 24 18:21:52 2016	1464114112	36	38	74	38
Tue May 24 18:21:51 2016	1464114111	36	38	75	38
Tue May 24 18:24:00 2016	1464114240	36	38	75	38
Tue May 24 18:23:55 2016	1464114235	37	38	75	38
Tue May 24 18:21:35 2016	1464114095	36	38	75	38
Tue May 24 18:21:48 2016	1464114108	37	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:23:14 2016	1464114194	36	38	75	38
Tue May 24 18:21:31 2016	1464114091	37	38	75	38
Tue May 24 18:21:52 2016	1464114112	37	38	75	38
Tue May 24 18:23:47 2016	1464114227	37	38	75	38
Tue May 24 18:22:30 2016	1464114150	36	38	75	38
Tue May 24 18:21:30 2016	1464114090	36	38	75	38
Tue May 24 18:22:09 2016	1464114129	36	38	75	38
Tue May 24 18:23:40 2016	1464114220	36	38	75	38
Tue May 24 18:23:03 2016	1464114183	37	38	75	38
Tue May 24 18:24:01 2016	1464114241	37	38	75	38
Tue May 24 18:22:07 2016	1464114127	36	38	75	38
Tue May 24 18:21:34 2016	1464114094	37	38	75	38
Tue May 24 18:21:52 2016	1464114112	36	38	75	38
Tue May 24 18:22:37 2016	1464114157	36	38	75	38
Tue May 24 18:21:49 2016	1464114109	37	38	75	38
Tue May 24 18:21:49 2016	1464114109	36	38	75	38
Tue May 24 18:21:51 2016	1464114111	36	38	75	38
Tue May 24 18:23:44 2016	1464114224	36	38	75	38
Tue May 24 18:23:25 2016	1464114205	36	38	75	38
Tue May 24 18:22:10 2016	1464114130	37	38	75	38
Tue May 24 18:22:39 2016	1464114159	36	38	75	38
Tue May 24 18:23:39 2016	1464114219	37	38	75	38
Tue May 24 18:21:57 2016	1464114117	36	38	75	38
Tue May 24 18:21:52 2016	1464114112	36	38	75	38
Tue May 24 18:22:53 2016	1464114173	37	38	75	38
Tue May 24 18:21:58 2016	1464114118	36	38	75	38
Tue May 24 18:23:15 2016	1464114195	36	38	75	38
Tue May 24 18:23:22 2016	1464114202	36	38	75	38
Tue May 24 18:21:36 2016	1464114096	37	38	75	38
Tue May 24 18:21:46 2016	1464114106	36	38	75	38
Tue May 24 18:21:46 2016	1464114106	36	38	75	38
Tue May 24 18:24:01 2016	1464114241	36	38	75	38
Tue May 24 18:23:18 2016	1464114198	37	38	75	38
Tue May 24 18:21:52 2016	1464114112	37	38	75	38
Tue May 24 18:23:56 2016	1464114236	37	38	75	38
Tue May 24 18:21:30 2016	1464114090	36	38	75	38
Tue May 24 18:21:29 2016	1464114089	37	38	75	38
Tue May 24 18:23:58 2016	1464114238	37	38	75	38
Tue May 24 18:22:50 2016	1464114170	37	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:23:49 2016	1464114229	36	38	75	38
Tue May 24 18:21:34 2016	1464114094	36	38	75	38
Tue May 24 18:23:34 2016	1464114214	36	38	75	38
Tue May 24 18:21:37 2016	1464114097	37	38	75	38
Tue May 24 18:21:51 2016	1464114111	36	38	75	38
Tue May 24 18:21:35 2016	1464114095	37	38	75	38
Tue May 24 18:23:49 2016	1464114229	36	38	75	38
Tue May 24 18:21:33 2016	1464114093	37	38	75	38
Tue May 24 18:21:50 2016	1464114110	37	38	75	38
Tue May 24 18:23:37 2016	1464114217	37	38	75	38
Tue May 24 18:22:39 2016	1464114159	36	38	75	38
Tue May 24 18:22:10 2016	1464114130	36	38	75	38
Tue May 24 18:22:41 2016	1464114161	37	38	75	38
Tue May 24 18:21:56 2016	1464114116	36	38	75	38
Tue May 24 18:22:10 2016	1464114130	36	38	75	38
Tue May 24 18:23:47 2016	1464114227	37	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:21:35 2016	1464114095	37	38	75	38
Tue May 24 18:22:29 2016	1464114149	36	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:21:50 2016	1464114110	36	38	75	38
Tue May 24 18:21:30 2016	1464114090	36	38	75	38
Tue May 24 18:23:38 2016	1464114218	36	38	75	38
Tue May 24 18:23:00 2016	1464114180	36	38	75	38
Tue May 24 18:22:06 2016	1464114126	36	38	75	38
Tue May 24 18:23:40 2016	1464114220	36	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:23:13 2016	1464114193	36	38	75	38
Tue May 24 18:23:39 2016	1464114219	36	38	75	38
Tue May 24 18:21:55 2016	1464114115	36	38	75	38
Tue May 24 18:23:13 2016	1464114193	36	38	75	38
Tue May 24 18:23:24 2016	1464114204	37	38	75	38
Tue May 24 18:22:20 2016	1464114140	37	38	75	38
Tue May 24 18:22:38 2016	1464114158	37	38	75	38
Tue May 24 18:22:53 2016	1464114173	36	38	75	38
Tue May 24 18:23:39 2016	1464114219	36	38	75	38
Tue May 24 18:22:13 2016	1464114133	36	38	75	38
Tue May 24 18:21:35 2016	1464114095	36	38	75	38
Tue May 24 18:21:32 2016	1464114092	36	38	75	38
Tue May 24 18:22:16 2016	1464114136	36	39	75	38
Tue May 24 18:21:34 2016	1464114094	37	38	75	38
Tue May 24 18:23:04 2016	1464114184	36	38	75	38
Tue May 24 18:21:30 2016	1464114090	36	38	75	38
Tue May 24 18:23:39 2016	1464114219	37	38	75	38
Tue May 24 18:22:38 2016	1464114158	36	39	75	38
Tue May 24 18:22:10 2016	1464114130	36	38	75	38
Tue May 24 18:22:11 2016	1464114131	36	38	75	38
Tue May 24 18:24:01 2016	1464114241	36	39	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:22:32 2016	1464114152	37	38	75	38
Tue May 24 18:21:57 2016	1464114117	36	39	75	38
Tue May 24 18:22:22 2016	1464114142	37	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:21:33 2016	1464114093	36	38	75	38
Tue May 24 18:21:36 2016	1464114096	37	38	75	38
Tue May 24 18:21:32 2016	1464114092	37	38	75	38
Tue May 24 18:23:43 2016	1464114223	37	38	75	38
Tue May 24 18:21:31 2016	1464114091	36	38	75	38
Tue May 24 18:23:18 2016	1464114198	36	38	75	38
Tue May 24 18:22:16 2016	1464114136	37	38	75	38
Tue May 24 18:22:26 2016	1464114146	36	39	75	38
Tue May 24 18:23:20 2016	1464114200	36	38	75	38
Tue May 24 18:21:29 2016	1464114089	37	38	75	38
Tue May 24 18:22:58 2016	1464114178	36	38	75	38
Tue May 24 18:23:25 2016	1464114205	37	38	75	38
Tue May 24 18:23:19 2016	1464114199	37	38	75	38
Tue May 24 18:22:38 2016	1464114158	37	38	75	38
Tue May 24 18:22:13 2016	1464114133	37	38	75	38
Tue May 24 18:22:00 2016	1464114120	37	38	75	38
