starttime	seconds	ctime	dtime	ttime	wait
Wed May 25 15:25:14 2016	1464189914	39	108	147	69
Wed May 25 15:24:26 2016	1464189866	39	108	147	69
Wed May 25 15:24:37 2016	1464189877	39	108	147	69
Wed May 25 15:26:10 2016	1464189970	39	108	147	69
Wed May 25 15:23:51 2016	1464189831	39	108	147	69
Wed May 25 15:22:22 2016	1464189742	39	108	147	69
Wed May 25 15:25:42 2016	1464189942	39	108	147	69
Wed May 25 15:21:56 2016	1464189716	39	108	147	69
Wed May 25 15:26:07 2016	1464189967	39	108	147	69
Wed May 25 15:24:55 2016	1464189895	39	108	147	69
Wed May 25 15:24:26 2016	1464189866	39	108	147	69
Wed May 25 15:25:31 2016	1464189931	39	108	147	69
Wed May 25 15:24:15 2016	1464189855	39	108	147	69
Wed May 25 15:21:22 2016	1464189682	39	108	147	69
Wed May 25 15:24:17 2016	1464189857	39	108	147	69
Wed May 25 15:24:51 2016	1464189891	39	108	147	69
Wed May 25 15:21:33 2016	1464189693	39	108	147	69
Wed May 25 15:21:30 2016	1464189690	39	108	147	69
Wed May 25 15:21:17 2016	1464189677	39	108	147	69
Wed May 25 15:22:26 2016	1464189746	39	108	147	69
Wed May 25 15:24:17 2016	1464189857	39	108	147	70
Wed May 25 15:22:27 2016	1464189747	39	108	147	69
Wed May 25 15:22:49 2016	1464189769	39	108	147	69
Wed May 25 15:22:50 2016	1464189770	39	108	147	69
Wed May 25 15:24:22 2016	1464189862	39	108	147	69
Wed May 25 15:25:10 2016	1464189910	39	108	147	69
Wed May 25 15:21:52 2016	1464189712	39	108	147	69
Wed May 25 15:26:23 2016	1464189983	39	108	147	69
Wed May 25 15:23:28 2016	1464189808	39	108	147	70
Wed May 25 15:24:19 2016	1464189859	39	108	147	69
Wed May 25 15:24:50 2016	1464189890	39	108	147	69
Wed May 25 15:24:37 2016	1464189877	39	108	147	69
Wed May 25 15:23:46 2016	1464189826	39	108	147	69
Wed May 25 15:25:14 2016	1464189914	39	108	147	69
Wed May 25 15:25:29 2016	1464189929	39	108	147	70
Wed May 25 15:21:25 2016	1464189685	39	108	147	69
Wed May 25 15:25:42 2016	1464189942	39	108	147	69
Wed May 25 15:23:54 2016	1464189834	39	108	147	69
Wed May 25 15:26:05 2016	1464189965	39	108	147	70
Wed May 25 15:23:36 2016	1464189816	39	108	147	70
Wed May 25 15:26:19 2016	1464189979	39	108	147	69
Wed May 25 15:24:51 2016	1464189891	39	108	147	70
Wed May 25 15:26:24 2016	1464189984	39	108	147	69
Wed May 25 15:24:29 2016	1464189869	39	108	147	70
Wed May 25 15:26:17 2016	1464189977	39	108	147	70
Wed May 25 15:24:14 2016	1464189854	39	108	147	69
Wed May 25 15:21:30 2016	1464189690	39	108	147	70
Wed May 25 15:24:45 2016	1464189885	39	108	147	70
Wed May 25 15:22:31 2016	1464189751	39	108	147	70
Wed May 25 15:21:15 2016	1464189675	39	108	147	69
Wed May 25 15:22:38 2016	1464189758	39	108	147	70
Wed May 25 15:26:18 2016	1464189978	39	108	147	70
Wed May 25 15:24:45 2016	1464189885	39	108	147	70
Wed May 25 15:24:49 2016	1464189889	39	108	147	70
Wed May 25 15:25:25 2016	1464189925	39	108	147	70
Wed May 25 15:25:56 2016	1464189956	39	108	147	70
Wed May 25 15:22:22 2016	1464189742	39	108	147	70
Wed May 25 15:26:29 2016	1464189989	39	108	147	69
Wed May 25 15:26:23 2016	1464189983	39	108	147	70
Wed May 25 15:21:48 2016	1464189708	39	108	147	69
Wed May 25 15:21:31 2016	1464189691	39	108	147	70
Wed May 25 15:26:08 2016	1464189968	39	109	147	70
Wed May 25 15:22:42 2016	1464189762	39	108	147	70
Wed May 25 15:26:21 2016	1464189981	39	108	147	70
Wed May 25 15:22:23 2016	1464189743	39	108	147	70
Wed May 25 15:21:14 2016	1464189674	39	108	147	70
Wed May 25 15:24:55 2016	1464189895	39	109	147	70
Wed May 25 15:23:27 2016	1464189807	39	108	147	70
Wed May 25 15:21:14 2016	1464189674	39	108	147	69
Wed May 25 15:22:36 2016	1464189756	39	108	147	69
Wed May 25 15:26:24 2016	1464189984	39	109	147	70
Wed May 25 15:21:56 2016	1464189716	39	108	147	70
Wed May 25 15:22:24 2016	1464189744	39	108	147	69
Wed May 25 15:21:35 2016	1464189695	39	109	147	70
Wed May 25 15:23:33 2016	1464189813	39	108	147	70
