starttime	seconds	ctime	dtime	ttime	wait
Wed May 25 15:59:04 2016	1464191944	39	108	147	69
Wed May 25 15:58:31 2016	1464191911	39	108	147	69
Wed May 25 15:57:27 2016	1464191847	39	108	147	69
Wed May 25 15:53:51 2016	1464191631	39	108	147	69
Wed May 25 15:56:28 2016	1464191788	39	108	147	69
Wed May 25 15:56:10 2016	1464191770	39	108	147	69
Wed May 25 15:58:18 2016	1464191898	39	108	147	70
Wed May 25 15:55:27 2016	1464191727	39	108	147	69
Wed May 25 15:56:35 2016	1464191795	39	108	147	69
Wed May 25 15:54:49 2016	1464191689	39	108	147	70
Wed May 25 15:59:08 2016	1464191948	39	108	147	70
Wed May 25 15:58:58 2016	1464191938	39	108	147	69
Wed May 25 15:57:30 2016	1464191850	39	108	147	70
Wed May 25 15:58:52 2016	1464191932	39	108	147	70
Wed May 25 15:58:32 2016	1464191912	39	108	147	70
Wed May 25 15:58:19 2016	1464191899	39	108	147	70
Wed May 25 15:54:32 2016	1464191672	39	108	147	70
Wed May 25 15:56:51 2016	1464191811	39	109	148	70
Wed May 25 15:55:41 2016	1464191741	39	109	148	70
Wed May 25 15:58:21 2016	1464191901	39	108	148	70
Wed May 25 15:54:26 2016	1464191666	39	108	148	69
Wed May 25 15:58:52 2016	1464191932	39	109	148	70
Wed May 25 15:57:42 2016	1464191862	39	108	148	69
Wed May 25 15:57:25 2016	1464191845	39	109	148	70
Wed May 25 15:56:36 2016	1464191796	39	109	148	70
Wed May 25 15:58:50 2016	1464191930	39	109	148	70
Wed May 25 15:58:15 2016	1464191895	39	109	148	70
Wed May 25 15:57:30 2016	1464191850	39	109	148	70
Wed May 25 15:58:32 2016	1464191912	39	108	148	70
Wed May 25 15:58:29 2016	1464191909	39	109	148	70
Wed May 25 15:58:19 2016	1464191899	39	109	148	70
Wed May 25 15:58:23 2016	1464191903	39	108	148	70
Wed May 25 15:58:33 2016	1464191913	39	109	148	70
Wed May 25 15:54:18 2016	1464191658	39	109	148	70
Wed May 25 15:57:33 2016	1464191853	39	109	148	70
Wed May 25 15:56:35 2016	1464191795	39	108	148	69
Wed May 25 15:54:25 2016	1464191665	39	109	148	70
Wed May 25 15:59:00 2016	1464191940	39	109	148	70
Wed May 25 15:55:37 2016	1464191737	39	109	148	70
Wed May 25 15:56:28 2016	1464191788	39	109	148	70
Wed May 25 15:56:53 2016	1464191813	39	109	148	70
Wed May 25 15:56:49 2016	1464191809	39	109	148	70
Wed May 25 15:56:13 2016	1464191773	39	109	148	70
Wed May 25 15:57:16 2016	1464191836	39	109	148	70
Wed May 25 15:54:49 2016	1464191689	39	109	148	70
Wed May 25 15:54:40 2016	1464191680	39	109	148	70
Wed May 25 15:57:59 2016	1464191879	39	109	148	70
Wed May 25 15:56:04 2016	1464191764	39	109	148	70
Wed May 25 15:55:40 2016	1464191740	39	109	148	70
Wed May 25 15:55:22 2016	1464191722	39	109	148	70
Wed May 25 15:59:01 2016	1464191941	39	109	148	70
Wed May 25 15:58:27 2016	1464191907	39	109	148	70
Wed May 25 15:59:02 2016	1464191942	39	109	148	70
Wed May 25 15:57:26 2016	1464191846	39	109	148	70
Wed May 25 15:59:05 2016	1464191945	39	109	148	70
Wed May 25 15:54:23 2016	1464191663	39	109	148	70
Wed May 25 15:53:51 2016	1464191631	39	109	148	70
Wed May 25 15:54:29 2016	1464191669	39	109	148	70
Wed May 25 15:58:20 2016	1464191900	39	109	148	70
Wed May 25 15:58:30 2016	1464191910	39	109	148	70
Wed May 25 15:58:19 2016	1464191899	39	109	148	70
Wed May 25 15:57:56 2016	1464191876	39	109	148	70
Wed May 25 15:55:32 2016	1464191732	39	109	148	70
Wed May 25 15:59:05 2016	1464191945	39	109	148	70
Wed May 25 15:58:28 2016	1464191908	39	109	148	70
Wed May 25 15:58:59 2016	1464191939	39	109	148	70
Wed May 25 15:56:54 2016	1464191814	39	109	148	70
Wed May 25 15:57:11 2016	1464191831	39	109	148	69
Wed May 25 15:57:17 2016	1464191837	39	109	148	70
