starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 16:12:43 2016	1464365563	36	87	123	51
Fri May 27 16:05:39 2016	1464365139	37	87	124	50
Fri May 27 16:06:00 2016	1464365160	37	87	124	51
Fri May 27 16:05:38 2016	1464365138	37	87	124	51
Fri May 27 16:08:22 2016	1464365302	36	87	124	51
Fri May 27 16:05:35 2016	1464365135	37	87	124	51
Fri May 27 16:07:40 2016	1464365260	37	87	124	51
Fri May 27 16:11:49 2016	1464365509	36	87	124	51
Fri May 27 16:06:38 2016	1464365198	37	87	124	51
Fri May 27 16:05:38 2016	1464365138	37	87	124	51
Fri May 27 16:09:27 2016	1464365367	36	87	124	51
Fri May 27 16:12:46 2016	1464365566	36	88	124	51
Fri May 27 16:05:43 2016	1464365143	36	88	124	51
Fri May 27 16:07:24 2016	1464365244	36	88	124	51
Fri May 27 16:09:23 2016	1464365363	37	87	124	51
Fri May 27 16:07:22 2016	1464365242	37	87	124	51
Fri May 27 16:07:23 2016	1464365243	37	87	124	51
Fri May 27 16:11:28 2016	1464365488	37	88	124	51
Fri May 27 16:12:20 2016	1464365540	37	88	124	51
Fri May 27 16:05:36 2016	1464365136	37	88	124	51
Fri May 27 16:12:44 2016	1464365564	37	88	124	51
Fri May 27 16:11:48 2016	1464365508	37	88	124	51
Fri May 27 16:11:48 2016	1464365508	37	88	124	51
Fri May 27 16:05:58 2016	1464365158	37	88	124	51
Fri May 27 16:12:20 2016	1464365540	36	88	124	52
Fri May 27 16:08:01 2016	1464365281	37	88	124	51
Fri May 27 16:06:01 2016	1464365161	37	88	124	51
Fri May 27 16:08:21 2016	1464365301	37	88	124	52
Fri May 27 16:10:27 2016	1464365427	37	88	124	52
Fri May 27 16:08:44 2016	1464365324	37	88	124	51
Fri May 27 16:09:04 2016	1464365344	37	88	124	51
Fri May 27 16:11:53 2016	1464365513	36	88	124	52
Fri May 27 16:11:07 2016	1464365467	37	88	124	51
Fri May 27 16:05:40 2016	1464365140	37	88	124	52
Fri May 27 16:08:42 2016	1464365322	37	88	124	51
Fri May 27 16:08:46 2016	1464365326	37	88	124	51
Fri May 27 16:05:38 2016	1464365138	36	88	124	52
Fri May 27 16:09:45 2016	1464365385	36	88	124	52
Fri May 27 16:12:45 2016	1464365565	36	88	124	52
Fri May 27 16:05:37 2016	1464365137	37	88	124	52
Fri May 27 16:06:40 2016	1464365200	37	88	124	51
Fri May 27 16:11:53 2016	1464365513	37	88	124	51
Fri May 27 16:08:47 2016	1464365327	36	88	124	52
Fri May 27 16:10:05 2016	1464365405	36	88	124	52
Fri May 27 16:12:40 2016	1464365560	37	88	124	52
Fri May 27 16:11:23 2016	1464365483	37	88	124	52
Fri May 27 16:08:04 2016	1464365284	37	88	124	52
Fri May 27 16:07:41 2016	1464365261	36	88	124	52
Fri May 27 16:07:45 2016	1464365265	37	88	125	51
Fri May 27 16:06:39 2016	1464365199	36	88	125	52
Fri May 27 16:12:46 2016	1464365566	37	88	125	51
Fri May 27 16:05:41 2016	1464365141	37	88	125	52
Fri May 27 16:08:47 2016	1464365327	37	88	125	52
Fri May 27 16:11:54 2016	1464365514	37	88	125	52
Fri May 27 16:09:06 2016	1464365346	36	88	125	52
Fri May 27 16:06:38 2016	1464365198	37	88	125	51
Fri May 27 16:06:39 2016	1464365199	37	88	125	52
Fri May 27 16:08:21 2016	1464365301	36	88	125	52
Fri May 27 16:07:05 2016	1464365225	36	88	125	52
Fri May 27 16:11:50 2016	1464365510	37	88	125	51
Fri May 27 16:09:29 2016	1464365369	36	88	125	52
Fri May 27 16:05:58 2016	1464365158	36	88	125	52
Fri May 27 16:11:50 2016	1464365510	37	88	125	52
Fri May 27 16:07:46 2016	1464365266	37	88	125	52
Fri May 27 16:11:50 2016	1464365510	36	88	125	52
Fri May 27 16:10:28 2016	1464365428	37	88	125	52
Fri May 27 16:08:05 2016	1464365285	37	88	125	52
Fri May 27 16:08:46 2016	1464365326	37	88	125	52
Fri May 27 16:11:06 2016	1464365466	37	88	125	52
Fri May 27 16:12:45 2016	1464365565	37	88	125	51
Fri May 27 16:08:06 2016	1464365286	37	88	125	52
Fri May 27 16:10:28 2016	1464365428	37	88	125	52
Fri May 27 16:08:42 2016	1464365322	37	88	125	52
Fri May 27 16:08:43 2016	1464365323	37	88	125	52
Fri May 27 16:10:02 2016	1464365402	37	88	125	52
Fri May 27 16:07:03 2016	1464365223	37	88	125	52
Fri May 27 16:06:39 2016	1464365199	37	88	125	52
Fri May 27 16:08:05 2016	1464365285	37	88	125	52
Fri May 27 16:12:45 2016	1464365565	37	88	125	52
Fri May 27 16:05:36 2016	1464365136	37	88	125	51
Fri May 27 16:11:54 2016	1464365514	37	88	125	51
Fri May 27 16:05:36 2016	1464365136	37	88	125	52
Fri May 27 16:08:46 2016	1464365326	37	88	125	52
Fri May 27 16:05:43 2016	1464365143	37	88	125	52
Fri May 27 16:08:03 2016	1464365283	36	88	125	52
Fri May 27 16:12:44 2016	1464365564	37	88	125	52
Fri May 27 16:12:45 2016	1464365565	36	88	125	52
Fri May 27 16:08:23 2016	1464365303	36	88	125	52
