starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 18:08:06 2016	1464113286	36	38	74	38
Tue May 24 18:08:08 2016	1464113288	36	38	74	38
Tue May 24 18:08:21 2016	1464113301	36	38	74	38
Tue May 24 18:08:39 2016	1464113319	36	38	74	38
Tue May 24 18:08:05 2016	1464113285	36	38	74	38
Tue May 24 18:08:06 2016	1464113286	36	38	74	38
Tue May 24 18:09:02 2016	1464113342	37	38	74	38
Tue May 24 18:08:11 2016	1464113291	36	38	74	38
Tue May 24 18:09:06 2016	1464113346	36	38	74	38
Tue May 24 18:08:08 2016	1464113288	36	38	74	38
Tue May 24 18:08:08 2016	1464113288	37	38	74	38
Tue May 24 18:10:07 2016	1464113407	37	38	74	38
Tue May 24 18:08:07 2016	1464113287	36	38	74	38
Tue May 24 18:08:06 2016	1464113286	37	38	74	38
Tue May 24 18:08:22 2016	1464113302	36	38	74	38
Tue May 24 18:08:07 2016	1464113287	36	38	74	38
Tue May 24 18:08:20 2016	1464113300	36	38	74	38
Tue May 24 18:09:24 2016	1464113364	36	38	74	38
Tue May 24 18:09:03 2016	1464113343	36	38	74	38
Tue May 24 18:08:06 2016	1464113286	37	38	74	38
Tue May 24 18:08:22 2016	1464113302	36	38	74	38
Tue May 24 18:08:23 2016	1464113303	36	38	74	38
Tue May 24 18:09:03 2016	1464113343	37	38	74	38
Tue May 24 18:09:50 2016	1464113390	36	38	74	38
Tue May 24 18:08:29 2016	1464113309	36	38	74	38
Tue May 24 18:08:24 2016	1464113304	37	38	74	38
Tue May 24 18:10:31 2016	1464113431	36	38	74	38
Tue May 24 18:08:06 2016	1464113286	36	38	74	38
Tue May 24 18:10:29 2016	1464113429	36	38	74	38
Tue May 24 18:08:08 2016	1464113288	37	38	74	38
Tue May 24 18:09:03 2016	1464113343	36	38	74	38
Tue May 24 18:08:08 2016	1464113288	37	38	74	38
Tue May 24 18:08:49 2016	1464113329	37	38	75	38
Tue May 24 18:09:23 2016	1464113363	36	38	75	38
Tue May 24 18:09:08 2016	1464113348	36	38	75	38
Tue May 24 18:09:24 2016	1464113364	36	38	75	38
Tue May 24 18:08:05 2016	1464113285	37	38	75	38
Tue May 24 18:10:03 2016	1464113403	36	38	75	38
Tue May 24 18:09:05 2016	1464113345	36	38	75	38
Tue May 24 18:08:30 2016	1464113310	37	38	75	38
Tue May 24 18:09:22 2016	1464113362	37	38	75	38
Tue May 24 18:10:00 2016	1464113400	37	38	75	38
Tue May 24 18:10:19 2016	1464113419	36	38	75	38
Tue May 24 18:08:06 2016	1464113286	37	38	75	38
Tue May 24 18:08:07 2016	1464113287	37	38	75	38
Tue May 24 18:08:25 2016	1464113305	36	38	75	38
Tue May 24 18:10:10 2016	1464113410	36	38	75	38
Tue May 24 18:08:23 2016	1464113303	36	38	75	38
Tue May 24 18:08:05 2016	1464113285	37	38	75	38
Tue May 24 18:08:07 2016	1464113287	37	38	75	38
Tue May 24 18:08:13 2016	1464113293	36	38	75	38
Tue May 24 18:09:42 2016	1464113382	36	38	75	38
Tue May 24 18:10:08 2016	1464113408	37	38	75	38
Tue May 24 18:10:25 2016	1464113425	36	38	75	38
Tue May 24 18:09:04 2016	1464113344	37	38	75	38
Tue May 24 18:08:07 2016	1464113287	36	38	75	38
Tue May 24 18:08:06 2016	1464113286	36	38	75	38
Tue May 24 18:09:39 2016	1464113379	36	38	75	38
Tue May 24 18:10:04 2016	1464113404	36	38	75	38
Tue May 24 18:08:38 2016	1464113318	37	38	75	38
Tue May 24 18:08:37 2016	1464113317	36	38	75	38
Tue May 24 18:09:23 2016	1464113363	37	38	75	38
Tue May 24 18:08:04 2016	1464113284	37	38	75	38
Tue May 24 18:08:12 2016	1464113292	36	38	75	38
Tue May 24 18:09:12 2016	1464113352	37	38	75	38
Tue May 24 18:08:07 2016	1464113287	37	38	75	38
Tue May 24 18:09:03 2016	1464113343	37	38	75	38
Tue May 24 18:08:05 2016	1464113285	36	38	75	38
Tue May 24 18:08:13 2016	1464113293	36	38	75	38
Tue May 24 18:09:05 2016	1464113345	36	38	75	38
Tue May 24 18:08:07 2016	1464113287	36	38	75	38
Tue May 24 18:09:38 2016	1464113378	37	38	75	38
Tue May 24 18:08:20 2016	1464113300	37	38	75	38
Tue May 24 18:09:16 2016	1464113356	36	38	75	38
Tue May 24 18:09:51 2016	1464113391	36	38	75	38
Tue May 24 18:10:24 2016	1464113424	37	38	75	38
Tue May 24 18:08:24 2016	1464113304	37	38	75	38
Tue May 24 18:08:41 2016	1464113321	37	38	75	38
Tue May 24 18:08:19 2016	1464113299	36	38	75	38
Tue May 24 18:10:30 2016	1464113430	37	38	75	38
Tue May 24 18:08:38 2016	1464113318	36	38	75	38
Tue May 24 18:08:05 2016	1464113285	36	38	75	38
Tue May 24 18:09:21 2016	1464113361	36	38	75	38
Tue May 24 18:10:03 2016	1464113403	36	38	75	38
Tue May 24 18:09:25 2016	1464113365	36	38	75	38
Tue May 24 18:08:07 2016	1464113287	36	38	75	38
Tue May 24 18:08:54 2016	1464113334	36	38	75	38
Tue May 24 18:10:08 2016	1464113408	36	38	75	38
Tue May 24 18:09:29 2016	1464113369	36	38	75	38
Tue May 24 18:09:04 2016	1464113344	36	38	75	38
Tue May 24 18:09:04 2016	1464113344	36	38	75	38
Tue May 24 18:09:38 2016	1464113378	37	38	75	38
Tue May 24 18:08:51 2016	1464113331	36	38	75	38
Tue May 24 18:10:29 2016	1464113429	36	38	75	38
Tue May 24 18:10:05 2016	1464113405	37	38	75	38
Tue May 24 18:10:04 2016	1464113404	37	38	75	38
Tue May 24 18:09:36 2016	1464113376	37	38	75	38
Tue May 24 18:08:40 2016	1464113320	37	38	75	38
Tue May 24 18:08:04 2016	1464113284	36	38	75	38
Tue May 24 18:09:47 2016	1464113387	37	38	75	38
Tue May 24 18:08:06 2016	1464113286	37	38	75	38
Tue May 24 18:08:47 2016	1464113327	37	38	75	38
Tue May 24 18:09:13 2016	1464113353	37	38	75	38
Tue May 24 18:08:04 2016	1464113284	37	38	75	38
