starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 18:15:10 2016	1464113710	37	91	127	54
Tue May 24 18:14:54 2016	1464113694	37	91	128	55
Tue May 24 18:15:18 2016	1464113718	36	91	128	55
Tue May 24 18:17:07 2016	1464113827	37	91	128	55
Tue May 24 18:14:28 2016	1464113668	36	92	128	55
Tue May 24 18:13:07 2016	1464113587	36	92	128	55
Tue May 24 18:17:39 2016	1464113859	37	91	128	55
Tue May 24 18:15:33 2016	1464113733	37	92	128	55
Tue May 24 18:16:47 2016	1464113807	37	91	128	55
Tue May 24 18:15:24 2016	1464113724	36	92	128	55
Tue May 24 18:16:38 2016	1464113798	37	92	128	55
Tue May 24 18:16:56 2016	1464113816	36	92	128	55
Tue May 24 18:14:57 2016	1464113697	37	92	128	55
Tue May 24 18:16:35 2016	1464113795	36	92	128	55
Tue May 24 18:16:41 2016	1464113801	36	92	128	55
Tue May 24 18:14:22 2016	1464113662	37	92	128	55
Tue May 24 18:14:43 2016	1464113683	37	91	128	55
Tue May 24 18:16:15 2016	1464113775	36	92	128	56
Tue May 24 18:14:58 2016	1464113698	37	92	128	55
Tue May 24 18:13:54 2016	1464113634	37	92	128	55
Tue May 24 18:14:58 2016	1464113698	37	92	128	55
Tue May 24 18:13:36 2016	1464113616	37	92	128	55
Tue May 24 18:14:57 2016	1464113697	37	92	128	55
Tue May 24 18:17:29 2016	1464113849	37	91	128	55
Tue May 24 18:14:58 2016	1464113698	36	92	128	56
Tue May 24 18:13:52 2016	1464113632	36	92	128	56
Tue May 24 18:15:20 2016	1464113720	37	92	128	55
Tue May 24 18:13:54 2016	1464113634	37	92	128	55
Tue May 24 18:12:51 2016	1464113571	37	92	128	56
Tue May 24 18:17:17 2016	1464113837	37	92	128	55
Tue May 24 18:15:19 2016	1464113719	36	92	128	56
Tue May 24 18:16:56 2016	1464113816	36	92	129	56
Tue May 24 18:13:42 2016	1464113622	37	92	129	56
Tue May 24 18:14:51 2016	1464113691	37	92	129	55
Tue May 24 18:14:46 2016	1464113686	36	92	129	56
Tue May 24 18:15:20 2016	1464113720	37	92	129	56
Tue May 24 18:14:10 2016	1464113650	37	92	129	56
Tue May 24 18:14:10 2016	1464113650	36	92	129	56
Tue May 24 18:15:50 2016	1464113750	36	92	129	56
Tue May 24 18:14:42 2016	1464113682	36	92	129	56
Tue May 24 18:13:20 2016	1464113600	36	92	129	56
Tue May 24 18:14:21 2016	1464113661	37	92	129	56
Tue May 24 18:14:42 2016	1464113682	37	92	129	55
Tue May 24 18:16:47 2016	1464113807	37	92	129	55
Tue May 24 18:15:00 2016	1464113700	36	92	129	56
Tue May 24 18:14:44 2016	1464113684	37	92	129	56
Tue May 24 18:14:52 2016	1464113692	37	92	129	56
Tue May 24 18:14:43 2016	1464113683	36	92	129	56
Tue May 24 18:16:13 2016	1464113773	37	92	129	56
Tue May 24 18:13:53 2016	1464113633	36	92	129	56
Tue May 24 18:15:58 2016	1464113758	37	92	129	56
Tue May 24 18:13:45 2016	1464113625	37	92	129	56
Tue May 24 18:14:27 2016	1464113667	36	92	129	56
Tue May 24 18:15:44 2016	1464113744	36	92	129	56
Tue May 24 18:17:15 2016	1464113835	36	92	129	56
Tue May 24 18:15:24 2016	1464113724	37	92	129	56
Tue May 24 18:15:18 2016	1464113718	37	92	129	56
Tue May 24 18:16:34 2016	1464113794	37	92	129	56
Tue May 24 18:17:34 2016	1464113854	37	92	129	56
Tue May 24 18:17:29 2016	1464113849	37	92	129	56
Tue May 24 18:14:52 2016	1464113692	37	92	129	55
Tue May 24 18:16:59 2016	1464113819	36	92	129	56
Tue May 24 18:17:18 2016	1464113838	37	92	129	56
Tue May 24 18:14:44 2016	1464113684	36	92	129	56
Tue May 24 18:15:23 2016	1464113723	36	92	129	56
Tue May 24 18:14:43 2016	1464113683	37	92	129	56
Tue May 24 18:15:18 2016	1464113718	36	92	129	56
Tue May 24 18:13:32 2016	1464113612	36	92	129	56
Tue May 24 18:15:09 2016	1464113709	37	92	129	55
Tue May 24 18:15:45 2016	1464113745	37	92	129	56
Tue May 24 18:14:58 2016	1464113698	36	92	129	56
Tue May 24 18:15:24 2016	1464113724	37	92	129	56
Tue May 24 18:17:16 2016	1464113836	37	92	129	55
Tue May 24 18:14:39 2016	1464113679	37	92	129	56
Tue May 24 18:15:21 2016	1464113721	36	92	129	56
Tue May 24 18:16:16 2016	1464113776	37	92	129	56
Tue May 24 18:13:50 2016	1464113630	37	92	129	56
Tue May 24 18:13:51 2016	1464113631	36	92	129	56
Tue May 24 18:16:07 2016	1464113767	37	92	129	56
Tue May 24 18:17:14 2016	1464113834	36	92	129	56
Tue May 24 18:15:18 2016	1464113718	37	92	129	56
Tue May 24 18:16:49 2016	1464113809	36	92	129	56
Tue May 24 18:14:20 2016	1464113660	37	92	129	56
Tue May 24 18:14:25 2016	1464113665	36	92	129	56
Tue May 24 18:15:07 2016	1464113707	37	92	129	56
Tue May 24 18:15:24 2016	1464113724	36	92	129	56
Tue May 24 18:12:50 2016	1464113570	37	92	129	56
Tue May 24 18:14:28 2016	1464113668	36	92	129	56
Tue May 24 18:15:18 2016	1464113718	36	92	129	56
Tue May 24 18:14:43 2016	1464113683	37	92	129	56
Tue May 24 18:16:11 2016	1464113771	36	92	129	56
Tue May 24 18:16:50 2016	1464113810	37	92	129	56
Tue May 24 18:15:18 2016	1464113718	36	92	129	56
Tue May 24 18:15:11 2016	1464113711	37	92	129	56
Tue May 24 18:13:54 2016	1464113634	37	92	129	56
