starttime	seconds	ctime	dtime	ttime	wait
Wed May 25 15:36:49 2016	1464190609	39	107	146	69
Wed May 25 15:32:19 2016	1464190339	39	108	147	69
Wed May 25 15:35:32 2016	1464190532	39	108	147	69
Wed May 25 15:36:43 2016	1464190603	39	108	147	69
Wed May 25 15:34:01 2016	1464190441	39	108	147	69
Wed May 25 15:32:17 2016	1464190337	39	108	147	69
Wed May 25 15:35:16 2016	1464190516	39	108	147	69
Wed May 25 15:35:57 2016	1464190557	39	108	147	69
Wed May 25 15:35:57 2016	1464190557	39	108	147	69
Wed May 25 15:35:12 2016	1464190512	39	108	147	69
Wed May 25 15:37:00 2016	1464190620	39	108	147	69
Wed May 25 15:35:35 2016	1464190535	39	108	147	69
Wed May 25 15:37:02 2016	1464190622	39	108	147	69
Wed May 25 15:35:17 2016	1464190517	39	108	147	70
Wed May 25 15:36:36 2016	1464190596	39	108	147	70
Wed May 25 15:32:20 2016	1464190340	39	108	147	70
Wed May 25 15:34:04 2016	1464190444	39	108	147	69
Wed May 25 15:32:42 2016	1464190362	39	108	147	69
Wed May 25 15:35:14 2016	1464190514	39	109	147	70
Wed May 25 15:32:18 2016	1464190338	39	109	147	70
Wed May 25 15:31:50 2016	1464190310	39	108	147	70
Wed May 25 15:36:23 2016	1464190583	39	108	147	70
Wed May 25 15:32:00 2016	1464190320	39	108	147	69
Wed May 25 15:36:19 2016	1464190579	39	108	147	70
Wed May 25 15:35:55 2016	1464190555	39	108	147	70
Wed May 25 15:34:54 2016	1464190494	39	108	147	70
Wed May 25 15:35:03 2016	1464190503	39	108	147	70
Wed May 25 15:37:00 2016	1464190620	39	108	147	70
Wed May 25 15:36:30 2016	1464190590	39	109	147	70
Wed May 25 15:32:28 2016	1464190348	39	108	148	69
Wed May 25 15:33:17 2016	1464190397	39	108	148	70
Wed May 25 15:33:11 2016	1464190391	39	108	148	70
Wed May 25 15:36:18 2016	1464190578	39	108	148	69
Wed May 25 15:33:38 2016	1464190418	39	109	148	70
Wed May 25 15:35:35 2016	1464190535	39	109	148	70
Wed May 25 15:31:58 2016	1464190318	39	109	148	70
Wed May 25 15:33:32 2016	1464190412	39	108	148	69
Wed May 25 15:36:31 2016	1464190591	39	109	148	70
Wed May 25 15:34:49 2016	1464190489	39	109	148	70
Wed May 25 15:35:15 2016	1464190515	39	109	148	70
Wed May 25 15:31:59 2016	1464190319	39	108	148	70
Wed May 25 15:31:55 2016	1464190315	39	109	148	70
Wed May 25 15:32:33 2016	1464190353	39	108	148	70
Wed May 25 15:35:59 2016	1464190559	39	109	148	70
Wed May 25 15:33:11 2016	1464190391	39	109	148	70
Wed May 25 15:37:13 2016	1464190633	39	109	148	70
Wed May 25 15:36:35 2016	1464190595	39	109	148	70
Wed May 25 15:34:09 2016	1464190449	39	108	148	70
Wed May 25 15:32:17 2016	1464190337	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:36:47 2016	1464190607	39	109	148	70
Wed May 25 15:35:33 2016	1464190533	39	109	148	70
Wed May 25 15:34:50 2016	1464190490	39	109	148	70
Wed May 25 15:32:32 2016	1464190352	39	109	148	70
Wed May 25 15:34:53 2016	1464190493	39	109	148	70
Wed May 25 15:36:01 2016	1464190561	39	109	148	70
Wed May 25 15:32:16 2016	1464190336	39	109	148	70
Wed May 25 15:34:50 2016	1464190490	39	109	148	70
Wed May 25 15:35:35 2016	1464190535	39	108	148	69
Wed May 25 15:34:50 2016	1464190490	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:32:33 2016	1464190353	39	109	148	70
Wed May 25 15:37:08 2016	1464190628	39	109	148	70
Wed May 25 15:36:18 2016	1464190578	39	108	148	70
Wed May 25 15:37:00 2016	1464190620	39	109	148	70
Wed May 25 15:32:24 2016	1464190344	39	109	148	70
Wed May 25 15:36:23 2016	1464190583	39	109	148	70
Wed May 25 15:35:16 2016	1464190516	39	109	148	70
Wed May 25 15:37:10 2016	1464190630	39	109	148	70
Wed May 25 15:33:32 2016	1464190412	39	108	148	69
Wed May 25 15:37:15 2016	1464190635	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:35:04 2016	1464190504	39	109	148	69
Wed May 25 15:35:07 2016	1464190507	39	109	148	70
Wed May 25 15:32:45 2016	1464190365	39	109	148	70
Wed May 25 15:33:15 2016	1464190395	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:35:20 2016	1464190520	39	109	148	70
Wed May 25 15:34:29 2016	1464190469	39	109	148	70
Wed May 25 15:37:15 2016	1464190635	39	109	148	70
Wed May 25 15:36:33 2016	1464190593	39	109	148	70
Wed May 25 15:35:06 2016	1464190506	39	109	148	70
Wed May 25 15:34:36 2016	1464190476	39	109	148	70
Wed May 25 15:35:59 2016	1464190559	39	109	148	70
Wed May 25 15:35:18 2016	1464190518	39	109	148	70
Wed May 25 15:36:32 2016	1464190592	39	109	148	70
Wed May 25 15:36:19 2016	1464190579	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:32:57 2016	1464190377	39	109	148	70
Wed May 25 15:34:41 2016	1464190481	39	109	148	70
Wed May 25 15:37:14 2016	1464190634	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:33:19 2016	1464190399	39	109	148	70
Wed May 25 15:36:36 2016	1464190596	39	109	148	70
Wed May 25 15:37:04 2016	1464190624	39	109	148	70
Wed May 25 15:34:55 2016	1464190495	39	109	148	70
Wed May 25 15:36:26 2016	1464190586	39	109	148	70
Wed May 25 15:33:21 2016	1464190401	39	109	148	70
Wed May 25 15:32:40 2016	1464190360	39	109	148	70
Wed May 25 15:37:07 2016	1464190627	39	109	148	70
Wed May 25 15:35:35 2016	1464190535	39	109	148	70
Wed May 25 15:36:26 2016	1464190586	39	109	148	70
Wed May 25 15:36:34 2016	1464190594	39	109	148	70
Wed May 25 15:33:19 2016	1464190399	39	109	148	70
Wed May 25 15:36:18 2016	1464190578	39	109	148	69
Wed May 25 15:33:35 2016	1464190415	39	109	148	70
Wed May 25 15:36:46 2016	1464190606	39	109	148	70
Wed May 25 15:34:19 2016	1464190459	39	109	148	70
Wed May 25 15:36:16 2016	1464190576	39	109	148	70
Wed May 25 15:37:15 2016	1464190635	39	109	148	70
Wed May 25 15:34:34 2016	1464190474	39	109	148	70
Wed May 25 15:34:28 2016	1464190468	39	109	148	70
Wed May 25 15:36:04 2016	1464190564	39	109	148	70
Wed May 25 15:33:10 2016	1464190390	39	109	148	70
Wed May 25 15:35:16 2016	1464190516	39	109	148	70
Wed May 25 15:36:55 2016	1464190615	39	109	148	70
Wed May 25 15:36:58 2016	1464190618	39	109	148	70
Wed May 25 15:34:00 2016	1464190440	39	109	148	70
Wed May 25 15:36:47 2016	1464190607	39	109	148	70
Wed May 25 15:36:30 2016	1464190590	39	109	148	70
Wed May 25 15:36:48 2016	1464190608	39	109	148	70
Wed May 25 15:34:54 2016	1464190494	39	109	148	70
Wed May 25 15:34:35 2016	1464190475	39	109	148	70
Wed May 25 15:32:55 2016	1464190375	39	109	148	70
Wed May 25 15:36:59 2016	1464190619	39	109	148	70
Wed May 25 15:35:32 2016	1464190532	39	109	148	70
Wed May 25 15:36:45 2016	1464190605	39	109	148	70
Wed May 25 15:35:20 2016	1464190520	39	109	148	70
Wed May 25 15:35:34 2016	1464190534	39	109	148	70
Wed May 25 15:36:14 2016	1464190574	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:34:36 2016	1464190476	39	109	148	70
Wed May 25 15:36:52 2016	1464190612	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:36:29 2016	1464190589	39	109	148	70
Wed May 25 15:35:59 2016	1464190559	39	109	148	70
Wed May 25 15:33:21 2016	1464190401	39	109	148	70
Wed May 25 15:36:24 2016	1464190584	39	109	148	70
Wed May 25 15:33:30 2016	1464190410	39	109	148	70
Wed May 25 15:35:16 2016	1464190516	39	109	148	70
Wed May 25 15:36:45 2016	1464190605	39	109	148	70
Wed May 25 15:33:35 2016	1464190415	39	109	148	70
Wed May 25 15:36:42 2016	1464190602	39	109	148	70
Wed May 25 15:35:05 2016	1464190505	39	109	148	70
Wed May 25 15:36:33 2016	1464190593	39	109	148	70
Wed May 25 15:37:00 2016	1464190620	39	109	148	70
Wed May 25 15:35:13 2016	1464190513	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:36:22 2016	1464190582	39	109	148	70
Wed May 25 15:32:07 2016	1464190327	39	109	148	70
Wed May 25 15:36:34 2016	1464190594	39	109	148	70
Wed May 25 15:33:37 2016	1464190417	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:35:25 2016	1464190525	39	109	148	70
Wed May 25 15:34:01 2016	1464190441	39	109	148	70
Wed May 25 15:32:41 2016	1464190361	39	109	148	70
Wed May 25 15:33:22 2016	1464190402	39	109	148	70
Wed May 25 15:36:46 2016	1464190606	39	109	148	70
Wed May 25 15:36:24 2016	1464190584	39	109	148	70
Wed May 25 15:32:29 2016	1464190349	39	109	148	71
Wed May 25 15:33:08 2016	1464190388	39	109	148	70
Wed May 25 15:34:54 2016	1464190494	39	109	148	70
Wed May 25 15:35:16 2016	1464190516	39	109	148	70
Wed May 25 15:33:35 2016	1464190415	39	109	148	71
Wed May 25 15:36:48 2016	1464190608	39	109	148	70
Wed May 25 15:36:58 2016	1464190618	39	109	148	70
Wed May 25 15:34:25 2016	1464190465	39	109	148	71
Wed May 25 15:33:23 2016	1464190403	39	109	148	70
Wed May 25 15:33:20 2016	1464190400	39	109	148	70
Wed May 25 15:35:32 2016	1464190532	39	109	148	70
Wed May 25 15:32:19 2016	1464190339	39	109	148	70
Wed May 25 15:32:41 2016	1464190361	39	109	148	70
Wed May 25 15:35:16 2016	1464190516	39	109	148	70
Wed May 25 15:36:18 2016	1464190578	39	109	148	70
Wed May 25 15:36:19 2016	1464190579	39	109	148	70
Wed May 25 15:35:13 2016	1464190513	39	109	148	70
Wed May 25 15:37:00 2016	1464190620	39	109	148	70
Wed May 25 15:36:15 2016	1464190575	39	109	148	70
Wed May 25 15:36:22 2016	1464190582	39	109	148	70
Wed May 25 15:35:58 2016	1464190558	39	109	148	70
Wed May 25 15:36:24 2016	1464190584	39	109	148	70
Wed May 25 15:36:35 2016	1464190595	39	109	148	70
Wed May 25 15:36:19 2016	1464190579	39	109	148	70
Wed May 25 15:32:36 2016	1464190356	39	109	148	70
Wed May 25 15:37:10 2016	1464190630	39	109	148	71
Wed May 25 15:35:04 2016	1464190504	39	109	148	70
Wed May 25 15:35:15 2016	1464190515	39	109	148	70
Wed May 25 15:36:05 2016	1464190565	39	109	148	70
Wed May 25 15:34:56 2016	1464190496	39	109	148	70
Wed May 25 15:34:44 2016	1464190484	39	109	148	70
Wed May 25 15:35:32 2016	1464190532	39	109	148	71
Wed May 25 15:34:28 2016	1464190468	39	109	148	70
Wed May 25 15:33:24 2016	1464190404	39	109	148	70
Wed May 25 15:37:07 2016	1464190627	39	109	148	70
Wed May 25 15:33:19 2016	1464190399	39	109	148	70
Wed May 25 15:31:54 2016	1464190314	39	109	148	70
Wed May 25 15:35:56 2016	1464190556	39	109	148	70
Wed May 25 15:33:19 2016	1464190399	39	109	148	71
Wed May 25 15:31:58 2016	1464190318	39	109	148	70
Wed May 25 15:35:20 2016	1464190520	39	109	148	70
Wed May 25 15:33:13 2016	1464190393	39	109	148	71
Wed May 25 15:34:30 2016	1464190470	39	109	148	70
Wed May 25 15:32:20 2016	1464190340	39	109	148	70
Wed May 25 15:35:53 2016	1464190553	39	109	148	70
Wed May 25 15:37:00 2016	1464190620	39	109	148	71
Wed May 25 15:35:36 2016	1464190536	39	109	148	70
Wed May 25 15:34:56 2016	1464190496	39	109	148	70
Wed May 25 15:34:33 2016	1464190473	39	109	148	71
Wed May 25 15:31:55 2016	1464190315	39	109	148	71
Wed May 25 15:36:12 2016	1464190572	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	71
Wed May 25 15:33:11 2016	1464190391	39	109	148	70
Wed May 25 15:35:18 2016	1464190518	39	109	148	71
Wed May 25 15:36:53 2016	1464190613	39	109	148	70
Wed May 25 15:36:37 2016	1464190597	39	109	148	70
Wed May 25 15:35:17 2016	1464190517	39	109	148	70
Wed May 25 15:31:57 2016	1464190317	39	109	148	71
Wed May 25 15:33:22 2016	1464190402	39	109	148	71
Wed May 25 15:33:10 2016	1464190390	39	109	148	70
Wed May 25 15:36:51 2016	1464190611	39	109	148	70
Wed May 25 15:34:59 2016	1464190499	39	109	148	70
Wed May 25 15:36:03 2016	1464190563	39	109	148	71
Wed May 25 15:33:09 2016	1464190389	39	109	148	71
Wed May 25 15:36:32 2016	1464190592	39	109	148	70
Wed May 25 15:35:33 2016	1464190533	39	109	148	70
Wed May 25 15:33:28 2016	1464190408	39	109	148	70
Wed May 25 15:35:19 2016	1464190519	39	109	148	70
Wed May 25 15:33:21 2016	1464190401	39	109	148	71
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:36:29 2016	1464190589	39	109	148	70
Wed May 25 15:36:26 2016	1464190586	39	109	148	71
Wed May 25 15:36:15 2016	1464190575	39	109	148	70
Wed May 25 15:32:40 2016	1464190360	39	109	148	70
Wed May 25 15:33:27 2016	1464190407	39	109	148	70
Wed May 25 15:37:05 2016	1464190625	39	109	148	70
Wed May 25 15:32:18 2016	1464190338	39	109	148	71
Wed May 25 15:36:32 2016	1464190592	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	70
Wed May 25 15:34:33 2016	1464190473	39	109	148	70
Wed May 25 15:32:17 2016	1464190337	39	109	148	70
Wed May 25 15:35:11 2016	1464190511	39	109	148	70
Wed May 25 15:37:15 2016	1464190635	39	109	148	71
Wed May 25 15:36:13 2016	1464190573	39	109	148	71
Wed May 25 15:32:09 2016	1464190329	39	109	148	70
Wed May 25 15:34:37 2016	1464190477	39	109	148	70
Wed May 25 15:36:54 2016	1464190614	39	109	148	70
Wed May 25 15:37:11 2016	1464190631	39	109	148	71
Wed May 25 15:33:31 2016	1464190411	39	109	148	70
Wed May 25 15:32:17 2016	1464190337	39	109	148	71
Wed May 25 15:35:32 2016	1464190532	39	109	148	71
Wed May 25 15:36:12 2016	1464190572	39	109	148	71
Wed May 25 15:35:14 2016	1464190514	39	109	148	71
Wed May 25 15:36:12 2016	1464190572	39	109	148	71
Wed May 25 15:36:46 2016	1464190606	39	109	148	71
Wed May 25 15:32:18 2016	1464190338	39	109	148	71
Wed May 25 15:33:17 2016	1464190397	39	109	148	71
Wed May 25 15:32:17 2016	1464190337	39	109	148	70
Wed May 25 15:32:27 2016	1464190347	39	109	148	71
Wed May 25 15:34:26 2016	1464190466	39	109	148	71
Wed May 25 15:35:06 2016	1464190506	39	109	148	71
Wed May 25 15:35:49 2016	1464190549	39	109	148	71
Wed May 25 15:31:57 2016	1464190317	39	109	148	71
Wed May 25 15:34:00 2016	1464190440	39	109	148	70
Wed May 25 15:32:40 2016	1464190360	39	109	148	70
Wed May 25 15:35:06 2016	1464190506	39	109	148	71
Wed May 25 15:35:14 2016	1464190514	39	109	148	71
Wed May 25 15:35:55 2016	1464190555	39	109	148	71
Wed May 25 15:36:35 2016	1464190595	39	109	148	70
Wed May 25 15:33:38 2016	1464190418	39	109	148	70
Wed May 25 15:33:08 2016	1464190388	39	109	148	71
Wed May 25 15:32:46 2016	1464190366	39	109	148	70
Wed May 25 15:33:32 2016	1464190412	39	109	148	71
Wed May 25 15:33:29 2016	1464190409	39	109	148	70
Wed May 25 15:32:01 2016	1464190321	39	109	148	71
Wed May 25 15:32:30 2016	1464190350	39	109	148	71
Wed May 25 15:36:37 2016	1464190597	39	109	148	71
Wed May 25 15:36:15 2016	1464190575	39	109	148	71
Wed May 25 15:35:15 2016	1464190515	39	110	148	71
Wed May 25 15:36:04 2016	1464190564	39	109	148	71
Wed May 25 15:31:49 2016	1464190309	39	109	148	70
Wed May 25 15:33:56 2016	1464190436	39	109	148	70
Wed May 25 15:32:23 2016	1464190343	39	109	148	71
Wed May 25 15:32:17 2016	1464190337	39	109	148	70
Wed May 25 15:32:16 2016	1464190336	39	109	148	71
Wed May 25 15:33:07 2016	1464190387	39	109	148	70
Wed May 25 15:33:26 2016	1464190406	39	109	148	70
Wed May 25 15:35:14 2016	1464190514	39	109	148	71
Wed May 25 15:36:59 2016	1464190619	39	109	148	71
Wed May 25 15:35:55 2016	1464190555	39	109	148	71
Wed May 25 15:35:34 2016	1464190534	39	109	148	70
Wed May 25 15:33:18 2016	1464190398	39	109	148	70
Wed May 25 15:33:22 2016	1464190402	39	109	148	70
Wed May 25 15:34:26 2016	1464190466	39	109	148	71
Wed May 25 15:32:41 2016	1464190361	39	109	148	71
Wed May 25 15:37:05 2016	1464190625	39	109	148	70
Wed May 25 15:37:07 2016	1464190627	39	109	148	70
Wed May 25 15:33:59 2016	1464190439	39	109	148	71
Wed May 25 15:32:16 2016	1464190336	39	109	148	71
Wed May 25 15:37:01 2016	1464190621	39	109	148	70
Wed May 25 15:36:28 2016	1464190588	39	109	148	71
Wed May 25 15:37:01 2016	1464190621	39	109	148	70
Wed May 25 15:35:11 2016	1464190511	39	109	148	71
Wed May 25 15:36:36 2016	1464190596	39	110	148	71
Wed May 25 15:32:23 2016	1464190343	39	109	148	71
Wed May 25 15:35:58 2016	1464190558	39	109	148	71
Wed May 25 15:32:27 2016	1464190347	39	109	148	71
Wed May 25 15:35:41 2016	1464190541	39	109	148	70
Wed May 25 15:32:48 2016	1464190368	39	109	148	70
Wed May 25 15:36:51 2016	1464190611	39	110	148	71
Wed May 25 15:33:30 2016	1464190410	39	109	148	71
Wed May 25 15:32:18 2016	1464190338	39	109	148	70
Wed May 25 15:34:36 2016	1464190476	39	109	148	71
Wed May 25 15:31:57 2016	1464190317	39	109	148	71
Wed May 25 15:33:58 2016	1464190438	39	110	148	71
Wed May 25 15:33:32 2016	1464190412	39	109	148	70
Wed May 25 15:31:59 2016	1464190319	39	110	148	71
Wed May 25 15:35:30 2016	1464190530	39	109	148	70
Wed May 25 15:36:45 2016	1464190605	39	109	148	71
Wed May 25 15:34:56 2016	1464190496	39	109	148	71
Wed May 25 15:32:33 2016	1464190353	39	109	148	71
Wed May 25 15:36:42 2016	1464190602	39	109	148	70
Wed May 25 15:35:36 2016	1464190536	39	109	148	70
Wed May 25 15:35:34 2016	1464190534	39	109	148	71
Wed May 25 15:35:19 2016	1464190519	39	109	148	71
Wed May 25 15:37:00 2016	1464190620	39	109	148	71
Wed May 25 15:35:54 2016	1464190554	39	109	148	71
Wed May 25 15:35:16 2016	1464190516	39	109	148	71
Wed May 25 15:36:07 2016	1464190567	39	109	148	70
Wed May 25 15:35:49 2016	1464190549	39	109	148	70
Wed May 25 15:36:58 2016	1464190618	39	110	148	71
Wed May 25 15:32:20 2016	1464190340	39	109	148	71
Wed May 25 15:35:35 2016	1464190535	39	109	148	71
Wed May 25 15:34:53 2016	1464190493	39	109	148	71
Wed May 25 15:36:54 2016	1464190614	39	109	148	71
Wed May 25 15:35:57 2016	1464190557	39	109	148	70
Wed May 25 15:31:56 2016	1464190316	39	109	148	70
Wed May 25 15:35:19 2016	1464190519	39	109	148	71
Wed May 25 15:34:23 2016	1464190463	39	109	148	70
Wed May 25 15:35:01 2016	1464190501	39	109	148	71
Wed May 25 15:35:15 2016	1464190515	39	110	148	71
Wed May 25 15:35:43 2016	1464190543	39	109	148	70
Wed May 25 15:36:46 2016	1464190606	39	110	148	71
Wed May 25 15:36:38 2016	1464190598	39	110	148	71
Wed May 25 15:33:16 2016	1464190396	39	109	148	70
Wed May 25 15:37:00 2016	1464190620	39	109	148	71
Wed May 25 15:35:28 2016	1464190528	39	109	148	71
Wed May 25 15:32:01 2016	1464190321	39	109	148	70
Wed May 25 15:31:55 2016	1464190315	39	109	148	71
Wed May 25 15:36:31 2016	1464190591	39	110	148	71
Wed May 25 15:32:18 2016	1464190338	39	110	148	71
Wed May 25 15:36:04 2016	1464190564	39	110	148	71
Wed May 25 15:36:47 2016	1464190607	39	109	148	71
Wed May 25 15:32:19 2016	1464190339	39	109	148	71
Wed May 25 15:31:50 2016	1464190310	39	109	149	70
Wed May 25 15:32:40 2016	1464190360	39	109	149	71
Wed May 25 15:36:23 2016	1464190583	39	110	149	71
Wed May 25 15:34:26 2016	1464190466	39	110	149	71
Wed May 25 15:36:46 2016	1464190606	39	110	149	71
Wed May 25 15:32:45 2016	1464190365	39	109	149	70
Wed May 25 15:35:25 2016	1464190525	39	109	149	70
Wed May 25 15:36:41 2016	1464190601	39	109	149	71
