starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 15:42:32 2016	1464363752	37	87	123	50
Fri May 27 15:38:12 2016	1464363492	37	87	123	51
Fri May 27 15:39:10 2016	1464363550	37	87	124	51
Fri May 27 15:35:09 2016	1464363309	37	87	124	51
Fri May 27 15:34:48 2016	1464363288	37	87	124	51
Fri May 27 15:39:10 2016	1464363550	37	88	124	51
Fri May 27 15:35:09 2016	1464363309	37	88	124	51
Fri May 27 15:38:30 2016	1464363510	37	88	124	51
Fri May 27 15:35:03 2016	1464363303	37	88	124	51
Fri May 27 15:38:11 2016	1464363491	36	88	124	52
Fri May 27 15:35:25 2016	1464363325	37	88	124	52
Fri May 27 15:42:37 2016	1464363757	36	88	124	52
Fri May 27 15:38:26 2016	1464363506	37	88	124	52
Fri May 27 15:39:10 2016	1464363550	36	88	125	52
Fri May 27 15:35:08 2016	1464363308	36	88	125	52
Fri May 27 15:35:25 2016	1464363325	37	88	125	52
Fri May 27 15:35:48 2016	1464363348	37	88	125	52
Fri May 27 15:41:50 2016	1464363710	36	88	125	52
Fri May 27 15:42:17 2016	1464363737	36	88	125	52
Fri May 27 15:34:25 2016	1464363265	36	88	125	52
Fri May 27 15:35:48 2016	1464363348	36	88	125	52
Fri May 27 15:41:50 2016	1464363710	37	88	125	52
Fri May 27 15:39:08 2016	1464363548	37	88	125	52
Fri May 27 15:41:50 2016	1464363710	37	88	125	52
Fri May 27 15:35:08 2016	1464363308	37	88	125	52
Fri May 27 15:38:11 2016	1464363491	37	88	125	52
Fri May 27 15:39:10 2016	1464363550	36	88	125	52
Fri May 27 15:42:15 2016	1464363735	37	88	125	52
Fri May 27 15:38:09 2016	1464363489	37	88	125	52
Fri May 27 15:39:11 2016	1464363551	37	88	125	51
Fri May 27 15:42:06 2016	1464363726	37	88	125	52
Fri May 27 15:39:10 2016	1464363550	37	88	125	52
Fri May 27 15:38:13 2016	1464363493	37	88	125	52
Fri May 27 15:36:11 2016	1464363371	37	88	125	52
Fri May 27 15:35:08 2016	1464363308	37	88	125	52
Fri May 27 15:37:50 2016	1464363470	37	88	125	52
Fri May 27 15:35:07 2016	1464363307	37	88	125	52
Fri May 27 15:35:25 2016	1464363325	37	88	125	52
Fri May 27 15:35:09 2016	1464363309	37	88	125	52
Fri May 27 15:42:09 2016	1464363729	37	88	125	52
Fri May 27 15:35:08 2016	1464363308	36	88	125	52
Fri May 27 15:39:09 2016	1464363549	37	88	125	52
Fri May 27 15:34:24 2016	1464363264	37	88	125	52
Fri May 27 15:34:21 2016	1464363261	37	88	125	52
Fri May 27 15:36:48 2016	1464363408	37	88	125	52
Fri May 27 15:42:09 2016	1464363729	37	88	125	51
Fri May 27 15:34:48 2016	1464363288	37	88	125	52
Fri May 27 15:34:25 2016	1464363265	37	88	125	52
Fri May 27 15:35:29 2016	1464363329	37	88	125	52
Fri May 27 15:42:17 2016	1464363737	37	89	125	52
Fri May 27 15:36:27 2016	1464363387	37	88	125	52
Fri May 27 15:34:22 2016	1464363262	36	89	125	52
Fri May 27 15:35:26 2016	1464363326	37	88	125	52
Fri May 27 15:36:48 2016	1464363408	37	88	125	52
Fri May 27 15:36:26 2016	1464363386	37	89	125	52
Fri May 27 15:34:25 2016	1464363265	36	89	125	52
Fri May 27 15:42:06 2016	1464363726	37	88	125	52
Fri May 27 15:35:25 2016	1464363325	36	89	125	53
Fri May 27 15:34:24 2016	1464363264	37	89	125	52
Fri May 27 15:38:29 2016	1464363509	37	88	125	52
Fri May 27 15:38:48 2016	1464363528	37	89	125	52
Fri May 27 15:41:50 2016	1464363710	37	89	125	52
Fri May 27 15:42:33 2016	1464363753	37	88	125	52
Fri May 27 15:39:10 2016	1464363550	37	89	125	52
Fri May 27 15:38:27 2016	1464363507	37	89	125	52
Fri May 27 15:39:14 2016	1464363554	37	89	125	52
Fri May 27 15:42:34 2016	1464363754	37	89	125	52
Fri May 27 15:39:12 2016	1464363552	37	88	125	52
Fri May 27 15:35:45 2016	1464363345	37	89	125	52
Fri May 27 15:34:22 2016	1464363262	37	89	125	52
Fri May 27 15:35:09 2016	1464363309	37	89	125	52
Fri May 27 15:42:33 2016	1464363753	37	89	125	52
Fri May 27 15:38:28 2016	1464363508	37	89	125	52
Fri May 27 15:42:06 2016	1464363726	37	89	125	52
Fri May 27 15:41:46 2016	1464363706	37	89	125	52
Fri May 27 15:36:50 2016	1464363410	37	89	125	52
Fri May 27 15:35:09 2016	1464363309	37	89	125	52
Fri May 27 15:42:13 2016	1464363733	37	88	125	52
Fri May 27 15:38:31 2016	1464363511	37	89	125	52
Fri May 27 15:38:09 2016	1464363489	36	89	125	53
Fri May 27 15:35:26 2016	1464363326	36	89	125	52
Fri May 27 15:34:20 2016	1464363260	37	88	125	52
Fri May 27 15:38:09 2016	1464363489	37	89	125	52
Fri May 27 15:38:11 2016	1464363491	37	89	125	52
Fri May 27 15:35:26 2016	1464363326	36	89	125	53
Fri May 27 15:42:34 2016	1464363754	37	89	125	52
Fri May 27 15:36:49 2016	1464363409	37	89	125	53
Fri May 27 15:35:49 2016	1464363349	37	89	125	53
Fri May 27 15:38:28 2016	1464363508	37	89	125	52
Fri May 27 15:42:33 2016	1464363753	37	89	125	52
Fri May 27 15:42:17 2016	1464363737	37	89	125	52
Fri May 27 15:42:37 2016	1464363757	36	89	125	53
Fri May 27 15:38:30 2016	1464363510	37	89	125	52
Fri May 27 15:36:47 2016	1464363407	37	89	125	52
Fri May 27 15:42:31 2016	1464363751	37	89	125	52
Fri May 27 15:35:24 2016	1464363324	36	89	125	53
Fri May 27 15:34:27 2016	1464363267	37	89	125	53
Fri May 27 15:38:29 2016	1464363509	37	89	125	53
Fri May 27 15:34:24 2016	1464363264	36	89	126	53
Fri May 27 15:35:04 2016	1464363304	37	89	126	53
Fri May 27 15:42:37 2016	1464363757	37	89	126	52
Fri May 27 15:42:34 2016	1464363754	37	89	126	53
Fri May 27 15:34:26 2016	1464363266	37	89	126	52
Fri May 27 15:42:09 2016	1464363729	37	89	126	53
Fri May 27 15:39:10 2016	1464363550	37	89	126	53
Fri May 27 15:35:05 2016	1464363305	37	89	126	52
Fri May 27 15:39:11 2016	1464363551	36	89	126	53
Fri May 27 15:34:21 2016	1464363261	36	89	126	53
Fri May 27 15:39:09 2016	1464363549	37	89	126	52
Fri May 27 15:39:11 2016	1464363551	37	89	126	52
Fri May 27 15:37:10 2016	1464363430	37	89	126	53
Fri May 27 15:35:24 2016	1464363324	36	89	126	53
Fri May 27 15:34:27 2016	1464363267	37	89	126	52
Fri May 27 15:41:50 2016	1464363710	37	89	126	53
Fri May 27 15:39:10 2016	1464363550	37	89	126	53
Fri May 27 15:36:49 2016	1464363409	37	89	126	53
Fri May 27 15:38:32 2016	1464363512	37	89	126	53
Fri May 27 15:36:26 2016	1464363386	36	89	126	53
Fri May 27 15:38:31 2016	1464363511	37	89	126	53
Fri May 27 15:42:07 2016	1464363727	37	88	126	52
Fri May 27 15:35:25 2016	1464363325	37	89	126	52
Fri May 27 15:42:33 2016	1464363753	37	89	126	52
Fri May 27 15:39:09 2016	1464363549	36	89	126	53
Fri May 27 15:35:24 2016	1464363324	37	89	126	52
Fri May 27 15:39:13 2016	1464363553	37	89	126	53
Fri May 27 15:34:22 2016	1464363262	37	89	126	53
Fri May 27 15:38:12 2016	1464363492	36	89	126	53
Fri May 27 15:42:06 2016	1464363726	37	89	126	52
Fri May 27 15:34:21 2016	1464363261	37	89	126	53
Fri May 27 15:36:26 2016	1464363386	37	89	126	52
Fri May 27 15:36:09 2016	1464363369	37	89	126	53
Fri May 27 15:38:09 2016	1464363489	36	89	126	53
Fri May 27 15:35:03 2016	1464363303	37	89	126	53
Fri May 27 15:39:14 2016	1464363554	37	89	126	53
Fri May 27 15:34:22 2016	1464363262	37	89	126	53
Fri May 27 15:38:32 2016	1464363512	36	89	126	53
Fri May 27 15:42:06 2016	1464363726	37	89	126	52
Fri May 27 15:38:31 2016	1464363511	36	90	126	53
Fri May 27 15:42:06 2016	1464363726	37	89	126	53
Fri May 27 15:34:24 2016	1464363264	37	89	126	53
Fri May 27 15:42:33 2016	1464363753	37	89	126	53
Fri May 27 15:35:09 2016	1464363309	37	89	126	53
Fri May 27 15:34:21 2016	1464363261	36	89	126	53
Fri May 27 15:38:48 2016	1464363528	37	89	126	53
Fri May 27 15:37:31 2016	1464363451	37	89	126	53
Fri May 27 15:34:25 2016	1464363265	37	89	126	53
Fri May 27 15:35:03 2016	1464363303	37	89	126	53
Fri May 27 15:42:13 2016	1464363733	36	89	126	53
Fri May 27 15:35:26 2016	1464363326	37	89	126	53
Fri May 27 15:34:42 2016	1464363282	37	89	126	53
Fri May 27 15:34:42 2016	1464363282	37	89	126	52
Fri May 27 15:39:14 2016	1464363554	37	89	126	53
Fri May 27 15:38:52 2016	1464363532	37	89	126	53
Fri May 27 15:38:29 2016	1464363509	37	89	126	53
Fri May 27 15:38:47 2016	1464363527	37	89	126	52
Fri May 27 15:34:24 2016	1464363264	37	89	126	53
Fri May 27 15:36:26 2016	1464363386	37	89	126	53
Fri May 27 15:38:54 2016	1464363534	37	89	126	53
Fri May 27 15:42:33 2016	1464363753	37	89	126	53
Fri May 27 15:36:31 2016	1464363391	37	89	126	53
Fri May 27 15:37:10 2016	1464363430	37	89	126	53
Fri May 27 15:36:04 2016	1464363364	37	89	126	53
Fri May 27 15:35:26 2016	1464363326	37	89	126	53
Fri May 27 15:37:51 2016	1464363471	37	89	126	53
Fri May 27 15:42:38 2016	1464363758	37	89	126	53
Fri May 27 15:34:24 2016	1464363264	37	89	126	53
Fri May 27 15:37:10 2016	1464363430	37	89	126	53
Fri May 27 15:38:11 2016	1464363491	37	89	126	53
Fri May 27 15:38:12 2016	1464363492	37	89	126	53
Fri May 27 15:38:28 2016	1464363508	37	89	126	53
Fri May 27 15:38:53 2016	1464363533	37	89	126	53
Fri May 27 15:34:21 2016	1464363261	37	89	126	53
Fri May 27 15:38:09 2016	1464363489	37	89	126	53
Fri May 27 15:37:48 2016	1464363468	37	89	126	53
Fri May 27 15:35:25 2016	1464363325	37	89	126	53
Fri May 27 15:35:25 2016	1464363325	37	89	126	53
Fri May 27 15:34:43 2016	1464363283	36	90	126	53
Fri May 27 15:42:07 2016	1464363727	37	89	126	53
Fri May 27 15:36:51 2016	1464363411	37	89	126	53
Fri May 27 15:35:47 2016	1464363347	37	90	126	53
Fri May 27 15:37:28 2016	1464363448	37	89	126	53
Fri May 27 15:38:32 2016	1464363512	36	90	126	53
Fri May 27 15:39:10 2016	1464363550	37	89	126	53
Fri May 27 15:35:49 2016	1464363349	37	89	126	53
Fri May 27 15:42:37 2016	1464363757	37	89	126	53
Fri May 27 15:35:10 2016	1464363310	37	89	126	53
Fri May 27 15:37:51 2016	1464363471	37	89	126	53
Fri May 27 15:42:38 2016	1464363758	37	90	126	53
Fri May 27 15:36:46 2016	1464363406	37	90	126	53
Fri May 27 15:42:37 2016	1464363757	36	90	126	54
Fri May 27 15:41:47 2016	1464363707	37	89	126	53
Fri May 27 15:39:13 2016	1464363553	37	90	126	53
Fri May 27 15:34:25 2016	1464363265	37	89	126	53
Fri May 27 15:38:49 2016	1464363529	37	89	126	53
Fri May 27 15:42:06 2016	1464363726	37	89	126	53
Fri May 27 15:38:31 2016	1464363511	37	90	126	53
Fri May 27 15:34:25 2016	1464363265	37	90	126	53
Fri May 27 15:34:22 2016	1464363262	37	89	126	53
Fri May 27 15:42:07 2016	1464363727	37	90	126	53
Fri May 27 15:35:48 2016	1464363348	36	90	126	53
Fri May 27 15:35:09 2016	1464363309	37	89	126	53
Fri May 27 15:35:25 2016	1464363325	37	90	126	53
Fri May 27 15:42:07 2016	1464363727	37	90	126	53
Fri May 27 15:38:27 2016	1464363507	37	90	126	54
Fri May 27 15:34:42 2016	1464363282	36	90	126	54
Fri May 27 15:36:48 2016	1464363408	37	90	126	53
Fri May 27 15:34:23 2016	1464363263	37	90	126	52
Fri May 27 15:42:37 2016	1464363757	37	90	126	53
Fri May 27 15:36:08 2016	1464363368	36	90	126	54
Fri May 27 15:34:25 2016	1464363265	37	90	126	53
Fri May 27 15:34:23 2016	1464363263	37	90	126	53
Fri May 27 15:38:29 2016	1464363509	37	90	126	54
Fri May 27 15:34:24 2016	1464363264	37	90	126	53
Fri May 27 15:42:38 2016	1464363758	37	90	126	53
Fri May 27 15:42:38 2016	1464363758	37	90	126	53
Fri May 27 15:35:05 2016	1464363305	37	90	126	53
Fri May 27 15:41:46 2016	1464363706	37	89	126	53
Fri May 27 15:39:10 2016	1464363550	36	90	126	54
Fri May 27 15:38:30 2016	1464363510	37	90	126	53
Fri May 27 15:34:29 2016	1464363269	37	90	126	53
Fri May 27 15:38:29 2016	1464363509	37	90	126	53
Fri May 27 15:38:14 2016	1464363494	37	90	126	53
Fri May 27 15:37:51 2016	1464363471	37	90	126	53
Fri May 27 15:38:10 2016	1464363490	37	90	126	53
Fri May 27 15:41:51 2016	1464363711	37	90	126	53
Fri May 27 15:34:27 2016	1464363267	37	90	126	53
Fri May 27 15:35:48 2016	1464363348	37	90	126	53
Fri May 27 15:34:45 2016	1464363285	37	90	126	53
Fri May 27 15:38:49 2016	1464363529	37	90	126	54
Fri May 27 15:36:10 2016	1464363370	37	90	126	53
Fri May 27 15:38:11 2016	1464363491	37	90	126	53
Fri May 27 15:42:36 2016	1464363756	37	90	126	53
Fri May 27 15:39:10 2016	1464363550	37	90	126	53
Fri May 27 15:38:31 2016	1464363511	37	90	127	54
Fri May 27 15:42:39 2016	1464363759	37	90	127	53
Fri May 27 15:41:50 2016	1464363710	37	90	127	53
Fri May 27 15:35:47 2016	1464363347	37	90	127	54
Fri May 27 15:36:25 2016	1464363385	37	90	127	54
Fri May 27 15:36:49 2016	1464363409	37	90	127	54
Fri May 27 15:42:36 2016	1464363756	37	90	127	53
Fri May 27 15:42:09 2016	1464363729	37	90	127	53
Fri May 27 15:39:16 2016	1464363556	37	90	127	54
Fri May 27 15:35:48 2016	1464363348	37	90	127	53
Fri May 27 15:35:48 2016	1464363348	37	90	127	53
Fri May 27 15:38:50 2016	1464363530	36	90	127	54
Fri May 27 15:38:30 2016	1464363510	37	90	127	53
Fri May 27 15:37:51 2016	1464363471	37	90	127	54
Fri May 27 15:36:27 2016	1464363387	37	90	127	54
Fri May 27 15:39:10 2016	1464363550	37	90	127	54
Fri May 27 15:42:38 2016	1464363758	37	90	127	53
Fri May 27 15:35:25 2016	1464363325	36	90	127	54
Fri May 27 15:36:04 2016	1464363364	37	90	127	54
Fri May 27 15:34:27 2016	1464363267	36	90	127	54
Fri May 27 15:38:31 2016	1464363511	37	90	127	53
Fri May 27 15:34:24 2016	1464363264	36	90	127	54
Fri May 27 15:38:53 2016	1464363533	37	90	127	54
Fri May 27 15:42:17 2016	1464363737	37	90	127	53
Fri May 27 15:42:33 2016	1464363753	37	90	127	54
Fri May 27 15:42:04 2016	1464363724	37	90	127	53
Fri May 27 15:34:21 2016	1464363261	37	90	127	53
Fri May 27 15:36:10 2016	1464363370	37	90	127	54
Fri May 27 15:35:48 2016	1464363348	37	90	127	54
Fri May 27 15:41:43 2016	1464363703	37	90	127	53
Fri May 27 15:38:52 2016	1464363532	37	90	127	54
Fri May 27 15:42:09 2016	1464363729	37	90	127	53
Fri May 27 15:34:21 2016	1464363261	37	90	127	53
Fri May 27 15:42:09 2016	1464363729	37	90	127	54
Fri May 27 15:42:14 2016	1464363734	37	90	127	53
Fri May 27 15:42:36 2016	1464363756	37	90	127	54
Fri May 27 15:38:31 2016	1464363511	37	90	127	54
Fri May 27 15:39:11 2016	1464363551	37	90	127	53
Fri May 27 15:42:34 2016	1464363754	37	90	127	54
Fri May 27 15:34:42 2016	1464363282	37	90	127	54
Fri May 27 15:37:31 2016	1464363451	37	90	127	53
