starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 18:31:29 2016	1464114689	36	91	128	55
Tue May 24 18:30:47 2016	1464114647	36	92	128	55
Tue May 24 18:29:46 2016	1464114586	37	92	128	55
Tue May 24 18:31:15 2016	1464114675	37	92	128	55
Tue May 24 18:30:30 2016	1464114630	37	92	128	55
Tue May 24 18:31:25 2016	1464114685	36	92	128	56
Tue May 24 18:31:22 2016	1464114682	37	92	128	55
Tue May 24 18:30:29 2016	1464114629	37	92	128	56
Tue May 24 18:31:10 2016	1464114670	36	92	128	56
Tue May 24 18:31:10 2016	1464114670	37	92	128	55
Tue May 24 18:30:42 2016	1464114642	36	92	128	55
Tue May 24 18:30:05 2016	1464114605	37	92	128	56
Tue May 24 18:30:51 2016	1464114651	37	92	128	55
Tue May 24 18:30:42 2016	1464114642	37	92	129	56
Tue May 24 18:29:32 2016	1464114572	37	92	129	55
Tue May 24 18:28:56 2016	1464114536	37	92	129	56
Tue May 24 18:29:33 2016	1464114573	37	92	129	56
Tue May 24 18:29:43 2016	1464114583	37	92	129	55
Tue May 24 18:31:09 2016	1464114669	36	92	129	56
Tue May 24 18:31:29 2016	1464114689	37	92	129	56
Tue May 24 18:29:45 2016	1464114585	37	92	129	55
Tue May 24 18:30:52 2016	1464114652	37	92	129	56
Tue May 24 18:31:42 2016	1464114702	36	92	129	56
Tue May 24 18:31:07 2016	1464114667	37	92	129	56
Tue May 24 18:29:13 2016	1464114553	36	92	129	56
Tue May 24 18:31:49 2016	1464114709	37	92	129	56
Tue May 24 18:29:34 2016	1464114574	37	92	129	56
Tue May 24 18:29:36 2016	1464114576	37	92	129	56
Tue May 24 18:32:21 2016	1464114741	36	92	129	56
Tue May 24 18:29:34 2016	1464114574	36	92	129	56
Tue May 24 18:30:52 2016	1464114652	37	92	129	55
Tue May 24 18:29:00 2016	1464114540	37	92	129	56
Tue May 24 18:31:05 2016	1464114665	37	92	129	56
Tue May 24 18:31:31 2016	1464114691	36	92	129	56
Tue May 24 18:31:32 2016	1464114692	37	92	129	56
Tue May 24 18:31:56 2016	1464114716	37	92	129	56
Tue May 24 18:28:11 2016	1464114491	37	92	129	56
Tue May 24 18:31:20 2016	1464114680	37	92	129	56
Tue May 24 18:29:45 2016	1464114585	37	92	129	56
Tue May 24 18:32:31 2016	1464114751	37	92	129	56
Tue May 24 18:30:39 2016	1464114639	36	92	129	56
Tue May 24 18:32:12 2016	1464114732	37	92	129	56
Tue May 24 18:32:22 2016	1464114742	37	92	129	56
Tue May 24 18:29:57 2016	1464114597	36	92	129	56
Tue May 24 18:29:51 2016	1464114591	37	92	129	56
Tue May 24 18:31:31 2016	1464114691	37	92	129	56
Tue May 24 18:31:47 2016	1464114707	37	92	129	56
Tue May 24 18:28:08 2016	1464114488	36	92	129	56
Tue May 24 18:31:33 2016	1464114693	37	92	129	56
Tue May 24 18:31:32 2016	1464114692	37	92	129	56
Tue May 24 18:30:54 2016	1464114654	37	92	129	56
Tue May 24 18:29:32 2016	1464114572	37	92	129	56
Tue May 24 18:30:41 2016	1464114641	36	92	129	56
Tue May 24 18:29:01 2016	1464114541	37	92	129	56
Tue May 24 18:29:38 2016	1464114578	37	92	129	56
Tue May 24 18:31:17 2016	1464114677	37	92	129	56
Tue May 24 18:29:48 2016	1464114588	36	92	129	56
Tue May 24 18:31:15 2016	1464114675	37	92	129	56
Tue May 24 18:31:14 2016	1464114674	37	92	129	56
Tue May 24 18:29:54 2016	1464114594	36	92	129	56
Tue May 24 18:29:08 2016	1464114548	37	92	129	56
Tue May 24 18:28:19 2016	1464114499	36	92	129	56
Tue May 24 18:31:15 2016	1464114675	37	92	129	56
Tue May 24 18:29:39 2016	1464114579	37	92	129	56
Tue May 24 18:29:02 2016	1464114542	37	92	129	56
Tue May 24 18:30:50 2016	1464114650	36	92	129	56
Tue May 24 18:29:46 2016	1464114586	37	92	129	55
Tue May 24 18:31:51 2016	1464114711	36	93	129	56
Tue May 24 18:29:07 2016	1464114547	36	93	129	56
Tue May 24 18:28:17 2016	1464114497	37	92	129	56
Tue May 24 18:31:29 2016	1464114689	37	92	129	56
Tue May 24 18:31:33 2016	1464114693	37	92	129	56
Tue May 24 18:29:14 2016	1464114554	37	92	129	56
Tue May 24 18:29:24 2016	1464114564	37	92	129	56
Tue May 24 18:27:58 2016	1464114478	37	92	129	56
Tue May 24 18:30:41 2016	1464114641	37	92	129	56
Tue May 24 18:31:30 2016	1464114690	37	92	129	56
