starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 15:28:18 2016	1464362898	36	87	123	51
Fri May 27 15:30:54 2016	1464363054	37	87	124	51
Fri May 27 15:28:40 2016	1464362920	37	87	124	51
Fri May 27 15:30:51 2016	1464363051	36	88	124	51
Fri May 27 15:30:54 2016	1464363054	36	88	124	51
Fri May 27 15:27:00 2016	1464362820	37	88	124	51
Fri May 27 15:30:52 2016	1464363052	37	88	124	51
Fri May 27 15:30:09 2016	1464363009	37	88	124	51
Fri May 27 15:27:16 2016	1464362836	37	88	124	51
Fri May 27 15:24:18 2016	1464362658	36	88	124	52
Fri May 27 15:30:55 2016	1464363055	37	88	124	51
Fri May 27 15:30:36 2016	1464363036	36	88	125	52
Fri May 27 15:24:17 2016	1464362657	37	88	125	51
Fri May 27 15:29:00 2016	1464362940	37	88	125	52
Fri May 27 15:30:52 2016	1464363052	37	88	125	52
Fri May 27 15:24:38 2016	1464362678	37	88	125	52
Fri May 27 15:28:40 2016	1464362920	37	88	125	52
Fri May 27 15:27:37 2016	1464362857	37	88	125	52
Fri May 27 15:31:12 2016	1464363072	37	88	125	51
Fri May 27 15:29:58 2016	1464362998	37	88	125	51
Fri May 27 15:30:53 2016	1464363053	37	88	125	51
Fri May 27 15:30:12 2016	1464363012	37	88	125	52
Fri May 27 15:29:20 2016	1464362960	37	88	125	52
Fri May 27 15:28:20 2016	1464362900	37	88	125	52
Fri May 27 15:30:53 2016	1464363053	37	88	125	52
Fri May 27 15:30:12 2016	1464363012	37	88	125	52
Fri May 27 15:30:01 2016	1464363001	37	88	125	52
Fri May 27 15:25:16 2016	1464362716	37	88	125	52
Fri May 27 15:30:09 2016	1464363009	37	88	125	52
Fri May 27 15:25:18 2016	1464362718	37	88	125	52
Fri May 27 15:30:09 2016	1464363009	36	88	125	52
Fri May 27 15:30:10 2016	1464363010	37	88	125	52
Fri May 27 15:30:11 2016	1464363011	37	88	125	52
Fri May 27 15:30:55 2016	1464363055	37	88	125	52
Fri May 27 15:30:56 2016	1464363056	37	88	125	52
Fri May 27 15:30:24 2016	1464363024	37	88	125	52
Fri May 27 15:26:40 2016	1464362800	37	88	125	52
Fri May 27 15:26:34 2016	1464362794	37	88	125	52
Fri May 27 15:30:55 2016	1464363055	36	89	125	52
Fri May 27 15:31:00 2016	1464363060	37	88	125	52
Fri May 27 15:25:00 2016	1464362700	37	88	125	52
Fri May 27 15:27:39 2016	1464362859	36	89	125	52
Fri May 27 15:24:37 2016	1464362677	37	88	125	52
Fri May 27 15:30:36 2016	1464363036	37	88	125	52
Fri May 27 15:30:10 2016	1464363010	37	88	125	52
Fri May 27 15:30:11 2016	1464363011	36	89	125	52
Fri May 27 15:30:28 2016	1464363028	37	88	125	52
Fri May 27 15:30:55 2016	1464363055	37	88	125	52
Fri May 27 15:24:20 2016	1464362660	37	88	125	52
Fri May 27 15:30:53 2016	1464363053	36	89	125	52
Fri May 27 15:31:20 2016	1464363080	37	88	125	52
Fri May 27 15:28:19 2016	1464362899	36	89	125	52
Fri May 27 15:25:58 2016	1464362758	36	89	125	52
Fri May 27 15:29:20 2016	1464362960	37	88	125	52
Fri May 27 15:25:00 2016	1464362700	36	89	125	52
Fri May 27 15:29:01 2016	1464362941	37	89	125	52
Fri May 27 15:25:00 2016	1464362700	37	88	125	52
Fri May 27 15:25:37 2016	1464362737	37	88	125	52
Fri May 27 15:30:36 2016	1464363036	37	88	125	52
Fri May 27 15:30:01 2016	1464363001	37	89	125	52
Fri May 27 15:30:29 2016	1464363029	37	88	125	52
Fri May 27 15:26:38 2016	1464362798	37	89	125	52
Fri May 27 15:25:17 2016	1464362717	37	89	125	52
Fri May 27 15:30:55 2016	1464363055	36	89	125	52
Fri May 27 15:24:37 2016	1464362677	37	89	125	52
Fri May 27 15:28:42 2016	1464362922	37	88	125	52
Fri May 27 15:30:01 2016	1464363001	37	89	125	52
Fri May 27 15:30:10 2016	1464363010	37	88	125	52
Fri May 27 15:25:00 2016	1464362700	37	89	125	52
Fri May 27 15:25:18 2016	1464362718	37	88	125	52
Fri May 27 15:25:17 2016	1464362717	37	89	125	52
Fri May 27 15:30:34 2016	1464363034	37	89	125	52
Fri May 27 15:28:18 2016	1464362898	36	89	125	53
Fri May 27 15:30:55 2016	1464363055	37	89	125	52
Fri May 27 15:30:09 2016	1464363009	37	89	125	52
Fri May 27 15:28:18 2016	1464362898	36	89	125	53
Fri May 27 15:29:20 2016	1464362960	37	89	125	52
Fri May 27 15:30:00 2016	1464363000	36	89	125	53
Fri May 27 15:30:35 2016	1464363035	36	89	125	53
Fri May 27 15:28:19 2016	1464362899	37	89	125	52
Fri May 27 15:24:36 2016	1464362676	37	89	125	52
Fri May 27 15:30:11 2016	1464363011	37	89	125	52
Fri May 27 15:24:59 2016	1464362699	37	89	125	52
Fri May 27 15:24:18 2016	1464362658	37	88	125	52
Fri May 27 15:29:38 2016	1464362978	36	89	125	53
Fri May 27 15:30:59 2016	1464363059	37	89	125	52
Fri May 27 15:24:18 2016	1464362658	37	89	125	52
Fri May 27 15:25:36 2016	1464362736	37	89	125	53
Fri May 27 15:30:52 2016	1464363052	37	89	125	52
