starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 17:35:16 2016	1464111316	37	93	129	56
Tue May 24 17:36:22 2016	1464111382	37	93	130	56
Tue May 24 17:35:40 2016	1464111340	37	93	130	57
Tue May 24 17:35:05 2016	1464111305	37	93	130	57
Tue May 24 17:35:03 2016	1464111303	37	93	130	57
Tue May 24 17:35:24 2016	1464111324	37	93	130	57
Tue May 24 17:35:28 2016	1464111328	37	93	130	57
Tue May 24 17:35:47 2016	1464111347	37	94	130	57
Tue May 24 17:35:37 2016	1464111337	37	93	130	57
Tue May 24 17:35:19 2016	1464111319	37	93	130	57
Tue May 24 17:35:26 2016	1464111326	37	93	130	57
Tue May 24 17:34:18 2016	1464111258	37	94	130	57
Tue May 24 17:35:22 2016	1464111322	37	94	130	57
Tue May 24 17:35:39 2016	1464111339	37	94	130	57
Tue May 24 17:35:32 2016	1464111332	37	94	130	57
Tue May 24 17:35:13 2016	1464111313	37	94	130	57
Tue May 24 17:36:27 2016	1464111387	37	94	130	57
Tue May 24 17:36:04 2016	1464111364	37	93	130	57
Tue May 24 17:35:20 2016	1464111320	37	94	130	57
Tue May 24 17:36:10 2016	1464111370	37	94	130	57
Tue May 24 17:35:39 2016	1464111339	37	94	130	57
Tue May 24 17:35:31 2016	1464111331	37	94	130	58
Tue May 24 17:35:50 2016	1464111350	37	94	130	57
Tue May 24 17:35:48 2016	1464111348	37	94	130	57
Tue May 24 17:35:27 2016	1464111327	37	94	130	57
Tue May 24 17:35:17 2016	1464111317	37	94	130	57
Tue May 24 17:35:32 2016	1464111332	37	94	131	57
Tue May 24 17:35:54 2016	1464111354	37	93	131	57
Tue May 24 17:35:33 2016	1464111333	37	94	131	57
Tue May 24 17:36:26 2016	1464111386	37	94	131	57
Tue May 24 17:35:36 2016	1464111336	37	94	131	57
Tue May 24 17:36:04 2016	1464111364	37	94	131	57
Tue May 24 17:36:24 2016	1464111384	37	94	131	58
Tue May 24 17:35:50 2016	1464111350	37	93	131	57
Tue May 24 17:35:49 2016	1464111349	37	94	131	58
Tue May 24 17:35:41 2016	1464111341	37	94	131	57
Tue May 24 17:35:04 2016	1464111304	37	94	131	57
Tue May 24 17:36:19 2016	1464111379	37	94	131	58
Tue May 24 17:35:11 2016	1464111311	37	94	131	58
Tue May 24 17:35:46 2016	1464111346	37	94	131	57
Tue May 24 17:35:13 2016	1464111313	37	94	131	57
Tue May 24 17:36:24 2016	1464111384	37	94	131	58
Tue May 24 17:35:51 2016	1464111351	37	94	131	57
Tue May 24 17:35:56 2016	1464111356	37	94	131	57
Tue May 24 17:36:34 2016	1464111394	37	94	131	58
Tue May 24 17:35:47 2016	1464111347	37	94	131	58
Tue May 24 17:35:58 2016	1464111358	37	94	131	57
Tue May 24 17:35:53 2016	1464111353	37	94	131	57
Tue May 24 17:35:33 2016	1464111333	37	94	131	58
Tue May 24 17:36:27 2016	1464111387	37	94	131	58
Tue May 24 17:36:21 2016	1464111381	37	94	131	57
Tue May 24 17:35:35 2016	1464111335	37	94	131	57
Tue May 24 17:35:25 2016	1464111325	37	94	131	58
Tue May 24 17:36:34 2016	1464111394	37	94	131	57
Tue May 24 17:35:42 2016	1464111342	37	93	131	57
Tue May 24 17:35:27 2016	1464111327	37	94	131	57
Tue May 24 17:34:53 2016	1464111293	37	94	131	58
Tue May 24 17:35:27 2016	1464111327	37	94	131	58
Tue May 24 17:35:22 2016	1464111322	37	94	131	57
Tue May 24 17:35:17 2016	1464111317	37	94	131	58
Tue May 24 17:36:02 2016	1464111362	37	94	131	57
