starttime	seconds	ctime	dtime	ttime	wait
Wed May 04 15:16:54 2016	1462389414	38	132	170	95
Wed May 04 15:16:54 2016	1462389414	37	133	170	96
Wed May 04 15:16:53 2016	1462389413	37	133	170	96
Wed May 04 15:23:38 2016	1462389818	37	135	172	98
Wed May 04 15:23:55 2016	1462389835	36	136	173	98
Wed May 04 15:16:53 2016	1462389413	37	137	173	100
Wed May 04 15:24:08 2016	1462389848	36	138	174	101
Wed May 04 15:23:21 2016	1462389801	37	137	175	100
Wed May 04 15:23:58 2016	1462389838	37	138	175	102
Wed May 04 15:24:07 2016	1462389847	37	138	175	101
Wed May 04 15:24:06 2016	1462389846	37	138	175	101
Wed May 04 15:23:27 2016	1462389807	37	139	176	101
Wed May 04 15:23:10 2016	1462389790	37	139	176	102
Wed May 04 15:16:55 2016	1462389415	37	139	176	102
Wed May 04 15:23:30 2016	1462389810	37	139	176	102
Wed May 04 15:24:06 2016	1462389846	37	139	176	101
Wed May 04 15:16:53 2016	1462389413	37	139	176	102
Wed May 04 15:16:55 2016	1462389415	37	139	176	102
Wed May 04 15:16:53 2016	1462389413	38	139	177	102
Wed May 04 15:16:54 2016	1462389414	37	140	177	103
Wed May 04 15:23:27 2016	1462389807	37	141	178	104
Wed May 04 15:24:05 2016	1462389845	38	140	178	103
Wed May 04 15:23:31 2016	1462389811	37	141	178	104
Wed May 04 15:23:01 2016	1462389781	37	141	178	104
Wed May 04 15:24:07 2016	1462389847	37	141	178	104
Wed May 04 15:16:55 2016	1462389415	37	142	178	105
Wed May 04 15:23:19 2016	1462389799	37	142	178	105
Wed May 04 15:23:49 2016	1462389829	37	142	179	105
Wed May 04 15:23:57 2016	1462389837	36	142	179	103
Wed May 04 15:23:40 2016	1462389820	36	143	179	106
Wed May 04 15:22:00 2016	1462389720	37	143	179	106
Wed May 04 15:23:58 2016	1462389838	37	143	179	106
Wed May 04 15:23:28 2016	1462389808	38	142	179	104
Wed May 04 15:24:04 2016	1462389844	37	143	180	106
Wed May 04 15:24:08 2016	1462389848	37	144	180	107
Wed May 04 15:23:58 2016	1462389838	37	143	180	106
Wed May 04 15:24:03 2016	1462389843	37	144	180	107
Wed May 04 15:23:48 2016	1462389828	37	143	181	107
Wed May 04 15:22:17 2016	1462389737	36	144	181	108
Wed May 04 15:23:28 2016	1462389808	37	144	181	107
Wed May 04 15:22:52 2016	1462389772	37	144	181	106
Wed May 04 15:16:54 2016	1462389414	37	144	181	107
Wed May 04 15:23:19 2016	1462389799	37	144	181	107
Wed May 04 15:20:29 2016	1462389629	37	144	181	107
