starttime	seconds	ctime	dtime	ttime	wait
Fri May 06 10:30:19 2016	1462545019	0	32	32	0
Fri May 06 10:31:10 2016	1462545070	0	90	90	90
Fri May 06 10:28:27 2016	1462544907	0	90	90	90
Fri May 06 10:28:12 2016	1462544892	0	91	91	91
Fri May 06 10:28:13 2016	1462544893	0	91	91	91
Fri May 06 10:28:12 2016	1462544892	0	91	91	91
Fri May 06 10:28:27 2016	1462544907	0	91	91	91
Fri May 06 10:29:23 2016	1462544963	0	92	92	91
Fri May 06 10:28:28 2016	1462544908	0	92	92	92
Fri May 06 10:30:16 2016	1462545016	0	92	92	92
Fri May 06 10:28:27 2016	1462544907	0	92	92	92
Fri May 06 10:28:29 2016	1462544909	0	92	92	92
Fri May 06 10:28:23 2016	1462544903	0	92	92	92
Fri May 06 10:31:14 2016	1462545074	0	92	92	92
Fri May 06 10:28:31 2016	1462544911	0	93	93	93
Fri May 06 10:28:42 2016	1462544922	0	93	93	93
Fri May 06 10:28:37 2016	1462544917	0	93	93	93
Fri May 06 10:27:37 2016	1462544857	0	93	93	93
Fri May 06 10:30:25 2016	1462545025	0	93	93	93
Fri May 06 10:28:32 2016	1462544912	0	93	93	93
Fri May 06 10:28:28 2016	1462544908	0	93	93	93
Fri May 06 10:31:28 2016	1462545088	0	93	93	93
Fri May 06 10:28:12 2016	1462544892	0	93	93	93
Fri May 06 10:28:43 2016	1462544923	0	93	93	93
Fri May 06 10:28:30 2016	1462544910	0	93	93	93
Fri May 06 10:28:30 2016	1462544910	0	93	93	93
Fri May 06 10:28:26 2016	1462544906	0	93	93	93
Fri May 06 10:28:31 2016	1462544911	0	93	93	93
Fri May 06 10:28:13 2016	1462544893	0	93	93	93
Fri May 06 10:28:37 2016	1462544917	0	93	93	93
Fri May 06 10:30:05 2016	1462545005	0	93	93	93
Fri May 06 10:28:37 2016	1462544917	0	93	93	93
Fri May 06 10:28:11 2016	1462544891	0	93	93	93
Fri May 06 10:28:41 2016	1462544921	0	93	93	93
Fri May 06 10:28:31 2016	1462544911	0	93	93	93
Fri May 06 10:28:31 2016	1462544911	0	94	94	94
Fri May 06 10:28:43 2016	1462544923	0	94	94	94
Fri May 06 10:28:24 2016	1462544904	0	94	94	93
Fri May 06 10:28:30 2016	1462544910	0	94	94	94
Fri May 06 10:28:13 2016	1462544893	0	94	94	94
Fri May 06 10:28:27 2016	1462544907	0	94	94	94
Fri May 06 10:28:30 2016	1462544910	0	94	94	94
Fri May 06 10:28:32 2016	1462544912	0	94	94	94
Fri May 06 10:28:28 2016	1462544908	0	94	94	94
Fri May 06 10:28:40 2016	1462544920	0	94	94	94
Fri May 06 10:28:32 2016	1462544912	0	94	94	94
Fri May 06 10:27:36 2016	1462544856	0	94	94	94
Fri May 06 10:28:20 2016	1462544900	0	94	94	94
Fri May 06 10:30:04 2016	1462545004	0	94	94	94
Fri May 06 10:28:33 2016	1462544913	0	94	94	94
Fri May 06 10:28:39 2016	1462544919	0	94	94	94
Fri May 06 10:28:29 2016	1462544909	0	94	94	94
Fri May 06 10:31:14 2016	1462545074	0	94	94	94
Fri May 06 10:29:56 2016	1462544996	0	94	94	94
Fri May 06 10:28:22 2016	1462544902	0	94	94	94
Fri May 06 10:28:42 2016	1462544922	0	94	94	94
Fri May 06 10:28:32 2016	1462544912	0	94	94	94
Fri May 06 10:31:22 2016	1462545082	0	94	94	94
Fri May 06 10:31:16 2016	1462545076	0	94	94	94
Fri May 06 10:28:19 2016	1462544899	0	94	94	94
Fri May 06 10:28:42 2016	1462544922	0	95	95	94
Fri May 06 10:28:43 2016	1462544923	0	95	95	95
Fri May 06 10:28:30 2016	1462544910	0	95	95	95
Fri May 06 10:31:17 2016	1462545077	0	95	95	95
Fri May 06 10:28:29 2016	1462544909	0	95	95	95
Fri May 06 10:28:12 2016	1462544892	0	95	95	95
Fri May 06 10:28:31 2016	1462544911	0	95	95	95
Fri May 06 10:28:28 2016	1462544908	0	95	95	95
Fri May 06 10:28:30 2016	1462544910	0	95	95	95
Fri May 06 10:27:37 2016	1462544857	0	95	95	95
Fri May 06 10:28:17 2016	1462544897	0	95	95	95
Fri May 06 10:28:19 2016	1462544899	0	95	95	95
Fri May 06 10:28:18 2016	1462544898	0	95	95	95
Fri May 06 10:29:38 2016	1462544978	0	95	95	95
Fri May 06 10:28:41 2016	1462544921	0	95	95	95
Fri May 06 10:30:17 2016	1462545017	0	95	95	95
Fri May 06 10:30:15 2016	1462545015	0	95	95	95
Fri May 06 10:28:18 2016	1462544898	0	95	95	95
Fri May 06 10:28:28 2016	1462544908	0	95	95	95
Fri May 06 10:28:15 2016	1462544895	0	95	95	95
Fri May 06 10:30:14 2016	1462545014	0	95	95	95
Fri May 06 10:28:36 2016	1462544916	0	95	95	95
Fri May 06 10:28:29 2016	1462544909	0	95	95	95
Fri May 06 10:27:40 2016	1462544860	0	95	95	95
Fri May 06 10:28:22 2016	1462544902	0	95	95	95
Fri May 06 10:28:41 2016	1462544921	0	95	95	95
Fri May 06 10:28:42 2016	1462544922	0	95	95	95
Fri May 06 10:28:27 2016	1462544907	0	95	95	95
Fri May 06 10:28:15 2016	1462544895	0	95	95	95
Fri May 06 10:28:40 2016	1462544920	0	95	95	95
Fri May 06 10:28:42 2016	1462544922	0	95	95	95
Fri May 06 10:28:29 2016	1462544909	0	95	95	95
Fri May 06 10:28:21 2016	1462544901	0	95	95	95
Fri May 06 10:28:40 2016	1462544920	0	95	95	95
Fri May 06 10:28:21 2016	1462544901	0	95	95	95
Fri May 06 10:30:12 2016	1462545012	0	95	95	95
Fri May 06 10:31:10 2016	1462545070	0	95	95	95
Fri May 06 10:30:25 2016	1462545025	0	95	95	95
Fri May 06 10:28:40 2016	1462544920	0	95	95	95
Fri May 06 10:28:38 2016	1462544918	0	95	95	95
Fri May 06 10:28:42 2016	1462544922	0	96	96	95
Fri May 06 10:28:32 2016	1462544912	0	96	96	96
Fri May 06 10:31:23 2016	1462545083	0	96	96	95
Fri May 06 10:28:12 2016	1462544892	0	96	96	96
Fri May 06 10:28:39 2016	1462544919	0	96	96	96
Fri May 06 10:28:30 2016	1462544910	0	96	96	96
Fri May 06 10:28:42 2016	1462544922	0	96	96	96
Fri May 06 10:28:16 2016	1462544896	0	96	96	96
Fri May 06 10:28:23 2016	1462544903	0	96	96	95
Fri May 06 10:30:15 2016	1462545015	0	96	96	96
Fri May 06 10:31:25 2016	1462545085	0	96	96	96
Fri May 06 10:29:55 2016	1462544995	0	96	96	96
Fri May 06 10:28:28 2016	1462544908	0	96	96	96
Fri May 06 10:30:13 2016	1462545013	0	96	96	96
Fri May 06 10:28:36 2016	1462544916	0	96	96	96
Fri May 06 10:28:19 2016	1462544899	0	96	96	96
Fri May 06 10:28:40 2016	1462544920	0	96	96	96
Fri May 06 10:28:22 2016	1462544902	0	96	96	96
Fri May 06 10:28:40 2016	1462544920	0	96	96	96
Fri May 06 10:27:37 2016	1462544857	0	96	96	96
Fri May 06 10:28:27 2016	1462544907	0	96	96	96
Fri May 06 10:28:12 2016	1462544892	0	96	96	96
Fri May 06 10:28:39 2016	1462544919	0	96	96	96
Fri May 06 10:31:12 2016	1462545072	0	96	96	96
Fri May 06 10:29:53 2016	1462544993	0	96	96	96
Fri May 06 10:30:13 2016	1462545013	0	96	96	90
Fri May 06 10:28:17 2016	1462544897	0	96	96	96
Fri May 06 10:28:21 2016	1462544901	0	96	96	96
Fri May 06 10:31:18 2016	1462545078	0	96	96	96
Fri May 06 10:28:15 2016	1462544895	0	96	96	96
Fri May 06 10:29:47 2016	1462544987	0	96	96	96
Fri May 06 10:28:14 2016	1462544894	0	96	96	96
Fri May 06 10:28:27 2016	1462544907	0	96	96	96
Fri May 06 10:32:08 2016	1462545128	0	96	96	96
Fri May 06 10:30:24 2016	1462545024	0	96	96	96
Fri May 06 10:28:16 2016	1462544896	0	96	96	96
Fri May 06 10:29:49 2016	1462544989	0	96	96	96
Fri May 06 10:28:31 2016	1462544911	0	96	96	96
