starttime	seconds	ctime	dtime	ttime	wait
Fri May 06 10:25:35 2016	1462544735	37	135	172	98
Fri May 06 10:25:53 2016	1462544753	37	136	173	99
Fri May 06 10:25:25 2016	1462544725	37	137	174	99
Fri May 06 10:26:02 2016	1462544762	38	137	175	100
Fri May 06 10:25:36 2016	1462544736	37	139	176	102
Fri May 06 10:25:35 2016	1462544735	36	141	177	104
Fri May 06 10:25:53 2016	1462544753	37	141	177	103
Fri May 06 10:25:24 2016	1462544724	37	141	177	103
Fri May 06 10:25:54 2016	1462544754	37	141	177	103
Fri May 06 10:25:33 2016	1462544733	38	140	178	102
Fri May 06 10:26:02 2016	1462544762	37	141	178	104
Fri May 06 10:25:24 2016	1462544724	37	141	178	104
Fri May 06 10:25:44 2016	1462544744	37	141	178	104
Fri May 06 10:25:23 2016	1462544723	36	142	178	105
Fri May 06 10:26:04 2016	1462544764	36	142	178	105
Fri May 06 10:25:53 2016	1462544753	37	142	179	105
Fri May 06 10:26:02 2016	1462544762	37	142	179	105
Fri May 06 10:25:42 2016	1462544742	38	141	179	99
Fri May 06 10:25:34 2016	1462544734	37	142	179	105
Fri May 06 10:25:53 2016	1462544753	37	143	179	106
Fri May 06 10:25:54 2016	1462544754	38	142	179	105
Fri May 06 10:25:53 2016	1462544753	37	142	179	105
Fri May 06 10:25:24 2016	1462544724	37	143	180	106
Fri May 06 10:25:33 2016	1462544733	36	144	180	107
Fri May 06 10:25:51 2016	1462544751	37	143	180	106
Fri May 06 10:24:30 2016	1462544670	37	144	180	106
Fri May 06 10:25:42 2016	1462544742	37	144	181	106
Fri May 06 10:25:44 2016	1462544744	37	144	181	107
Fri May 06 10:25:54 2016	1462544754	37	144	181	107
Fri May 06 10:25:45 2016	1462544745	37	144	181	107
Fri May 06 10:25:54 2016	1462544754	37	145	181	102
Fri May 06 10:25:23 2016	1462544723	37	145	182	108
Fri May 06 10:22:07 2016	1462544527	37	145	182	108
Fri May 06 10:25:23 2016	1462544723	37	145	182	107
Fri May 06 10:25:21 2016	1462544721	37	145	182	108
Fri May 06 10:26:05 2016	1462544765	37	145	182	107
Fri May 06 10:25:44 2016	1462544744	37	146	183	108
Fri May 06 10:25:25 2016	1462544725	37	146	183	109
Fri May 06 10:25:34 2016	1462544734	37	146	183	108
Fri May 06 10:25:21 2016	1462544721	37	147	183	110
Fri May 06 10:25:14 2016	1462544714	37	147	183	110
Fri May 06 10:25:31 2016	1462544731	37	147	184	110
Fri May 06 10:26:02 2016	1462544762	37	147	184	109
Fri May 06 10:25:33 2016	1462544733	39	146	184	108
Fri May 06 10:23:23 2016	1462544603	37	148	185	111
Fri May 06 10:23:29 2016	1462544609	38	147	185	110
Fri May 06 10:25:14 2016	1462544714	37	148	185	111
Fri May 06 10:24:27 2016	1462544667	37	148	185	111
Fri May 06 10:25:21 2016	1462544721	37	149	185	112
Fri May 06 10:25:34 2016	1462544734	37	149	186	111
Fri May 06 10:18:46 2016	1462544326	37	150	186	112
Fri May 06 10:22:23 2016	1462544543	37	150	186	113
Fri May 06 10:25:22 2016	1462544722	37	150	187	113
Fri May 06 10:25:21 2016	1462544721	37	150	187	112
Fri May 06 10:25:30 2016	1462544730	37	150	187	113
Fri May 06 10:25:36 2016	1462544736	37	151	187	114
Fri May 06 10:22:32 2016	1462544552	37	151	188	113
Fri May 06 10:25:52 2016	1462544752	37	151	188	114
Fri May 06 10:26:03 2016	1462544763	37	151	188	113
Fri May 06 10:25:20 2016	1462544720	37	151	188	114
Fri May 06 10:25:19 2016	1462544719	37	151	188	114
Fri May 06 10:23:39 2016	1462544619	37	151	188	114
Fri May 06 10:25:56 2016	1462544756	37	152	189	113
Fri May 06 10:25:44 2016	1462544744	37	152	189	114
Fri May 06 10:25:34 2016	1462544734	37	152	189	115
Fri May 06 10:25:45 2016	1462544745	37	152	189	114
Fri May 06 10:23:28 2016	1462544608	37	152	189	114
Fri May 06 10:26:05 2016	1462544765	37	152	189	115
Fri May 06 10:25:16 2016	1462544716	37	152	189	114
Fri May 06 10:25:44 2016	1462544744	36	153	189	116
Fri May 06 10:25:23 2016	1462544723	37	152	189	115
Fri May 06 10:25:23 2016	1462544723	37	153	189	115
Fri May 06 10:25:44 2016	1462544744	37	152	189	114
Fri May 06 10:24:43 2016	1462544683	37	153	189	115
Fri May 06 10:25:55 2016	1462544755	37	153	189	115
Fri May 06 10:26:03 2016	1462544763	37	153	190	116
Fri May 06 10:25:45 2016	1462544745	37	153	190	115
Fri May 06 10:25:21 2016	1462544721	37	153	190	116
Fri May 06 10:25:44 2016	1462544744	37	153	190	115
Fri May 06 10:25:35 2016	1462544735	37	153	190	115
Fri May 06 10:22:06 2016	1462544526	37	153	190	116
Fri May 06 10:26:03 2016	1462544763	37	154	190	116
Fri May 06 10:25:44 2016	1462544744	37	154	191	117
Fri May 06 10:25:56 2016	1462544756	37	154	191	117
Fri May 06 10:25:24 2016	1462544724	37	154	191	115
Fri May 06 10:25:52 2016	1462544752	37	153	191	116
Fri May 06 10:25:24 2016	1462544724	37	153	191	116
Fri May 06 10:25:14 2016	1462544714	37	154	191	117
Fri May 06 10:25:45 2016	1462544745	37	154	191	117
Fri May 06 10:25:41 2016	1462544741	37	154	191	117
Fri May 06 10:25:30 2016	1462544730	37	154	191	117
Fri May 06 10:25:23 2016	1462544723	37	154	191	117
Fri May 06 10:25:54 2016	1462544754	37	154	191	116
Fri May 06 10:25:53 2016	1462544753	37	155	191	117
Fri May 06 10:23:20 2016	1462544600	37	154	191	117
Fri May 06 10:22:14 2016	1462544534	37	155	192	118
Fri May 06 10:25:52 2016	1462544752	37	155	192	118
Fri May 06 10:24:28 2016	1462544668	37	155	192	118
Fri May 06 10:26:02 2016	1462544762	37	155	192	118
Fri May 06 10:25:34 2016	1462544734	37	155	192	118
Fri May 06 10:23:21 2016	1462544601	37	155	192	118
Fri May 06 10:25:52 2016	1462544752	37	155	192	118
Fri May 06 10:25:35 2016	1462544735	37	155	192	118
Fri May 06 10:25:21 2016	1462544721	37	155	192	118
Fri May 06 10:25:54 2016	1462544754	37	155	192	118
Fri May 06 10:25:33 2016	1462544733	37	155	192	118
Fri May 06 10:25:21 2016	1462544721	37	155	192	118
Fri May 06 10:25:56 2016	1462544756	37	156	192	118
Fri May 06 10:26:01 2016	1462544761	37	155	192	118
Fri May 06 10:25:53 2016	1462544753	37	156	193	118
Fri May 06 10:25:21 2016	1462544721	37	156	193	118
Fri May 06 10:23:29 2016	1462544609	37	156	193	119
Fri May 06 10:25:34 2016	1462544734	37	156	193	119
Fri May 06 10:26:03 2016	1462544763	37	156	193	119
Fri May 06 10:24:43 2016	1462544683	37	156	193	119
Fri May 06 10:25:32 2016	1462544732	37	157	193	119
Fri May 06 10:25:56 2016	1462544756	37	156	193	119
Fri May 06 10:25:34 2016	1462544734	36	157	193	120
Fri May 06 10:25:03 2016	1462544703	37	157	193	119
Fri May 06 10:25:14 2016	1462544714	37	156	193	119
Fri May 06 10:23:18 2016	1462544598	37	157	194	119
Fri May 06 10:25:31 2016	1462544731	37	157	194	119
Fri May 06 10:26:04 2016	1462544764	37	157	194	119
Fri May 06 10:25:33 2016	1462544733	37	157	194	120
Fri May 06 10:26:02 2016	1462544762	37	157	194	119
Fri May 06 10:25:20 2016	1462544720	37	157	194	120
Fri May 06 10:25:53 2016	1462544753	37	157	194	120
Fri May 06 10:25:44 2016	1462544744	37	157	194	120
Fri May 06 10:25:54 2016	1462544754	37	157	194	120
Fri May 06 10:23:08 2016	1462544588	37	157	194	120
Fri May 06 10:24:14 2016	1462544654	37	157	194	120
Fri May 06 10:25:45 2016	1462544745	37	157	194	120
Fri May 06 10:25:55 2016	1462544755	37	157	194	120
Fri May 06 10:25:44 2016	1462544744	37	158	194	121
Fri May 06 10:25:23 2016	1462544723	37	158	195	121
Fri May 06 10:25:26 2016	1462544726	37	158	195	121
Fri May 06 10:23:48 2016	1462544628	37	158	195	121
Fri May 06 10:25:21 2016	1462544721	37	158	195	121
Fri May 06 10:25:52 2016	1462544752	37	158	195	121
Fri May 06 10:25:53 2016	1462544753	36	159	195	122
Fri May 06 10:25:32 2016	1462544732	37	158	195	120
Fri May 06 10:25:03 2016	1462544703	37	158	195	121
Fri May 06 10:25:51 2016	1462544751	37	158	195	121
Fri May 06 10:23:29 2016	1462544609	37	159	195	121
Fri May 06 10:25:45 2016	1462544745	37	158	195	121
Fri May 06 10:22:06 2016	1462544526	37	158	195	121
Fri May 06 10:23:01 2016	1462544581	37	158	195	121
Fri May 06 10:23:29 2016	1462544609	36	159	195	122
Fri May 06 10:25:23 2016	1462544723	36	159	195	122
Fri May 06 10:23:57 2016	1462544637	37	158	196	121
Fri May 06 10:25:32 2016	1462544732	37	159	196	122
Fri May 06 10:19:02 2016	1462544342	37	158	196	121
Fri May 06 10:24:53 2016	1462544693	37	159	196	122
Fri May 06 10:25:14 2016	1462544714	37	159	196	122
Fri May 06 10:25:44 2016	1462544744	55	141	196	104
Fri May 06 10:21:14 2016	1462544474	37	159	196	122
Fri May 06 10:25:21 2016	1462544721	37	159	196	122
Fri May 06 10:23:49 2016	1462544629	37	159	196	122
Fri May 06 10:26:03 2016	1462544763	40	157	196	119
Fri May 06 10:25:32 2016	1462544732	37	159	196	122
Fri May 06 10:26:03 2016	1462544763	37	160	196	122
Fri May 06 10:25:56 2016	1462544756	36	160	196	123
Fri May 06 10:25:53 2016	1462544753	40	156	196	119
Fri May 06 10:25:21 2016	1462544721	37	159	196	122
Fri May 06 10:25:44 2016	1462544744	37	160	197	123
Fri May 06 10:24:27 2016	1462544667	37	160	197	123
Fri May 06 10:25:52 2016	1462544752	36	160	197	123
Fri May 06 10:25:32 2016	1462544732	37	160	197	122
Fri May 06 10:25:44 2016	1462544744	36	160	197	123
Fri May 06 10:25:31 2016	1462544731	37	160	197	123
Fri May 06 10:26:02 2016	1462544762	37	160	197	123
Fri May 06 10:25:20 2016	1462544720	37	160	197	123
Fri May 06 10:25:14 2016	1462544714	37	161	197	124
Fri May 06 10:25:51 2016	1462544751	37	160	197	122
Fri May 06 10:25:15 2016	1462544715	37	160	197	122
Fri May 06 10:24:34 2016	1462544674	37	161	198	124
Fri May 06 10:25:45 2016	1462544745	37	160	198	123
Fri May 06 10:26:01 2016	1462544761	37	161	198	124
Fri May 06 10:24:13 2016	1462544653	37	160	198	123
Fri May 06 10:24:16 2016	1462544656	37	161	198	123
Fri May 06 10:23:40 2016	1462544620	37	161	198	124
Fri May 06 10:26:04 2016	1462544764	37	161	198	124
Fri May 06 10:25:33 2016	1462544733	42	155	198	118
Fri May 06 10:19:02 2016	1462544342	37	161	198	124
Fri May 06 10:25:35 2016	1462544735	37	160	198	123
Fri May 06 10:23:01 2016	1462544581	37	161	198	124
Fri May 06 10:26:03 2016	1462544763	37	161	198	124
Fri May 06 10:25:56 2016	1462544756	36	162	198	125
Fri May 06 10:25:32 2016	1462544732	37	161	198	124
Fri May 06 10:25:23 2016	1462544723	37	161	198	123
Fri May 06 10:26:02 2016	1462544762	37	161	198	124
Fri May 06 10:25:22 2016	1462544722	37	162	198	124
Fri May 06 10:25:15 2016	1462544715	37	162	198	124
Fri May 06 10:25:52 2016	1462544752	37	161	199	124
Fri May 06 10:25:34 2016	1462544734	37	162	199	124
Fri May 06 10:24:18 2016	1462544658	37	162	199	125
Fri May 06 10:25:44 2016	1462544744	37	162	199	125
Fri May 06 10:23:48 2016	1462544628	37	162	199	124
Fri May 06 10:25:32 2016	1462544732	37	162	199	125
Fri May 06 10:25:54 2016	1462544754	37	162	199	124
Fri May 06 10:26:03 2016	1462544763	37	162	199	124
Fri May 06 10:26:03 2016	1462544763	37	162	199	124
Fri May 06 10:25:53 2016	1462544753	37	163	199	125
Fri May 06 10:26:03 2016	1462544763	37	162	199	124
Fri May 06 10:25:52 2016	1462544752	37	163	199	125
Fri May 06 10:26:03 2016	1462544763	37	163	199	126
Fri May 06 10:23:29 2016	1462544609	37	162	199	125
Fri May 06 10:25:33 2016	1462544733	37	162	199	125
Fri May 06 10:25:54 2016	1462544754	37	163	199	126
Fri May 06 10:25:22 2016	1462544722	37	162	199	125
Fri May 06 10:25:14 2016	1462544714	37	163	200	125
Fri May 06 10:25:44 2016	1462544744	37	163	200	125
Fri May 06 10:25:53 2016	1462544753	37	163	200	126
Fri May 06 10:24:27 2016	1462544667	37	163	200	125
Fri May 06 10:24:35 2016	1462544675	37	163	200	126
Fri May 06 10:25:52 2016	1462544752	37	163	200	126
Fri May 06 10:23:50 2016	1462544630	36	164	200	127
Fri May 06 10:25:33 2016	1462544733	37	163	200	126
Fri May 06 10:26:02 2016	1462544762	37	163	200	125
Fri May 06 10:26:02 2016	1462544762	37	163	200	126
Fri May 06 10:25:20 2016	1462544720	37	164	200	123
Fri May 06 10:25:54 2016	1462544754	37	164	200	127
Fri May 06 10:26:03 2016	1462544763	37	163	200	126
Fri May 06 10:25:54 2016	1462544754	37	163	200	126
Fri May 06 10:25:45 2016	1462544745	37	164	200	126
Fri May 06 10:24:19 2016	1462544659	37	164	200	127
Fri May 06 10:23:30 2016	1462544610	36	164	200	125
Fri May 06 10:25:21 2016	1462544721	37	163	201	126
Fri May 06 10:25:14 2016	1462544714	37	164	201	126
Fri May 06 10:25:31 2016	1462544731	37	164	201	126
Fri May 06 10:25:31 2016	1462544731	37	164	201	127
Fri May 06 10:25:53 2016	1462544753	37	164	201	127
