starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:32:34 2016	1464373954	0	44	44	44
Fri May 27 18:31:16 2016	1464373876	0	44	44	44
Fri May 27 18:31:17 2016	1464373877	0	45	45	44
Fri May 27 18:32:12 2016	1464373932	0	45	45	44
Fri May 27 18:31:17 2016	1464373877	0	45	45	44
Fri May 27 18:32:27 2016	1464373947	0	45	45	45
Fri May 27 18:32:39 2016	1464373959	0	45	45	44
Fri May 27 18:32:12 2016	1464373932	0	45	45	44
Fri May 27 18:31:16 2016	1464373876	0	45	45	44
Fri May 27 18:31:58 2016	1464373918	0	45	45	44
Fri May 27 18:33:05 2016	1464373985	0	45	45	44
Fri May 27 18:31:39 2016	1464373899	0	45	45	45
Fri May 27 18:32:25 2016	1464373945	0	45	45	45
Fri May 27 18:31:58 2016	1464373918	0	45	45	45
Fri May 27 18:31:20 2016	1464373880	0	45	45	45
Fri May 27 18:31:16 2016	1464373876	0	45	45	45
Fri May 27 18:32:57 2016	1464373977	0	45	45	45
Fri May 27 18:31:16 2016	1464373876	0	45	45	45
Fri May 27 18:32:33 2016	1464373953	0	45	45	45
Fri May 27 18:32:12 2016	1464373932	0	45	45	45
Fri May 27 18:33:08 2016	1464373988	0	45	45	45
Fri May 27 18:32:36 2016	1464373956	0	45	45	45
Fri May 27 18:31:16 2016	1464373876	0	45	45	45
Fri May 27 18:32:49 2016	1464373969	0	45	45	45
Fri May 27 18:33:05 2016	1464373985	0	45	45	45
Fri May 27 18:32:19 2016	1464373939	0	45	45	45
Fri May 27 18:32:27 2016	1464373947	0	45	45	45
Fri May 27 18:31:27 2016	1464373887	0	45	45	45
Fri May 27 18:33:05 2016	1464373985	0	45	45	45
Fri May 27 18:31:58 2016	1464373918	0	45	45	45
Fri May 27 18:32:33 2016	1464373953	0	45	45	45
Fri May 27 18:31:16 2016	1464373876	0	45	45	45
Fri May 27 18:33:14 2016	1464373994	0	45	45	45
Fri May 27 18:33:05 2016	1464373985	0	45	45	45
Fri May 27 18:31:19 2016	1464373879	0	45	45	45
Fri May 27 18:32:51 2016	1464373971	0	45	45	45
Fri May 27 18:32:26 2016	1464373946	0	45	45	45
Fri May 27 18:33:14 2016	1464373994	0	45	45	45
Fri May 27 18:32:37 2016	1464373957	0	45	45	45
Fri May 27 18:31:20 2016	1464373880	0	45	45	45
Fri May 27 18:32:31 2016	1464373951	0	45	45	45
Fri May 27 18:33:14 2016	1464373994	0	45	45	45
Fri May 27 18:33:14 2016	1464373994	0	45	45	45
Fri May 27 18:31:18 2016	1464373878	0	45	45	45
