starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:31:51 2016	1464373911	0	41	41	0
Fri May 27 18:31:16 2016	1464373876	0	46	46	45
Fri May 27 18:32:37 2016	1464373957	0	46	46	46
Fri May 27 18:32:25 2016	1464373945	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:54 2016	1464373914	0	46	46	46
Fri May 27 18:31:32 2016	1464373892	0	46	46	46
Fri May 27 18:31:38 2016	1464373898	0	46	46	46
Fri May 27 18:31:38 2016	1464373898	0	46	46	46
Fri May 27 18:33:11 2016	1464373991	0	46	46	46
Fri May 27 18:32:25 2016	1464373945	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:45 2016	1464373905	0	46	46	46
Fri May 27 18:33:11 2016	1464373991	0	46	46	46
Fri May 27 18:31:20 2016	1464373880	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:31:20 2016	1464373880	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:26 2016	1464373886	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:18 2016	1464373878	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:32:38 2016	1464373958	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:32:37 2016	1464373957	0	46	46	46
Fri May 27 18:33:05 2016	1464373985	0	46	46	46
Fri May 27 18:32:27 2016	1464373947	0	46	46	46
Fri May 27 18:32:41 2016	1464373961	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:33:05 2016	1464373985	0	46	46	46
Fri May 27 18:33:13 2016	1464373993	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:33 2016	1464373953	0	46	46	46
Fri May 27 18:32:07 2016	1464373927	0	46	46	46
Fri May 27 18:32:42 2016	1464373962	0	46	46	46
Fri May 27 18:32:44 2016	1464373964	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:32:34 2016	1464373954	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:33:03 2016	1464373983	0	46	46	46
Fri May 27 18:32:36 2016	1464373956	0	46	46	46
Fri May 27 18:32:49 2016	1464373969	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:32:48 2016	1464373968	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:32:35 2016	1464373955	0	46	46	46
Fri May 27 18:33:15 2016	1464373995	0	46	46	46
Fri May 27 18:31:45 2016	1464373905	0	46	46	46
Fri May 27 18:32:13 2016	1464373933	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:33:03 2016	1464373983	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:33:08 2016	1464373988	0	46	46	46
Fri May 27 18:31:38 2016	1464373898	0	46	46	46
Fri May 27 18:33:07 2016	1464373987	0	46	46	46
Fri May 27 18:32:36 2016	1464373956	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:20 2016	1464373880	0	46	46	46
Fri May 27 18:32:27 2016	1464373947	0	46	46	46
Fri May 27 18:32:05 2016	1464373925	0	46	46	46
Fri May 27 18:31:18 2016	1464373878	0	46	46	46
Fri May 27 18:33:04 2016	1464373984	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:32:10 2016	1464373930	0	46	46	46
Fri May 27 18:31:39 2016	1464373899	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:45 2016	1464373905	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:32:10 2016	1464373930	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:32:34 2016	1464373954	0	46	46	46
Fri May 27 18:32:26 2016	1464373946	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:39 2016	1464373959	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:32:31 2016	1464373951	0	46	46	46
Fri May 27 18:33:14 2016	1464373994	0	46	46	46
Fri May 27 18:32:40 2016	1464373960	0	46	46	46
Fri May 27 18:32:37 2016	1464373957	0	46	46	46
Fri May 27 18:32:17 2016	1464373937	0	46	46	46
Fri May 27 18:32:33 2016	1464373953	0	46	46	46
Fri May 27 18:33:13 2016	1464373993	0	46	46	46
Fri May 27 18:32:40 2016	1464373960	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:13 2016	1464373933	0	46	46	46
Fri May 27 18:32:46 2016	1464373966	0	46	46	46
Fri May 27 18:31:58 2016	1464373918	0	46	46	46
Fri May 27 18:31:39 2016	1464373899	0	46	46	46
Fri May 27 18:33:03 2016	1464373983	0	46	46	46
Fri May 27 18:33:05 2016	1464373985	0	46	46	46
Fri May 27 18:31:33 2016	1464373893	0	46	46	46
Fri May 27 18:33:05 2016	1464373985	0	46	46	46
Fri May 27 18:32:41 2016	1464373961	0	46	46	46
Fri May 27 18:32:36 2016	1464373956	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:31:32 2016	1464373892	0	46	46	46
Fri May 27 18:32:30 2016	1464373950	0	46	46	46
Fri May 27 18:31:18 2016	1464373878	0	46	46	46
Fri May 27 18:32:27 2016	1464373947	0	46	46	46
Fri May 27 18:32:24 2016	1464373944	0	46	46	46
Fri May 27 18:33:15 2016	1464373995	0	46	46	46
Fri May 27 18:31:45 2016	1464373905	0	46	46	46
Fri May 27 18:31:33 2016	1464373893	0	46	46	46
Fri May 27 18:31:54 2016	1464373914	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:32:17 2016	1464373937	0	46	46	46
Fri May 27 18:33:04 2016	1464373984	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:33:03 2016	1464373983	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:33:07 2016	1464373987	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:32:30 2016	1464373950	0	46	46	46
Fri May 27 18:32:49 2016	1464373969	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:05 2016	1464373925	0	46	46	46
Fri May 27 18:31:17 2016	1464373877	0	46	46	46
Fri May 27 18:33:07 2016	1464373987	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:46 2016	1464373906	0	46	46	46
Fri May 27 18:32:25 2016	1464373945	0	46	46	46
Fri May 27 18:32:26 2016	1464373946	0	46	46	46
Fri May 27 18:32:28 2016	1464373948	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:31:33 2016	1464373893	0	46	46	46
Fri May 27 18:32:42 2016	1464373962	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:33:05 2016	1464373985	0	46	46	46
Fri May 27 18:31:18 2016	1464373878	0	46	46	46
Fri May 27 18:32:31 2016	1464373951	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:32:35 2016	1464373955	0	46	46	46
Fri May 27 18:32:56 2016	1464373976	0	46	46	46
Fri May 27 18:32:05 2016	1464373925	0	46	46	46
Fri May 27 18:33:08 2016	1464373988	0	46	46	46
Fri May 27 18:31:32 2016	1464373892	0	46	46	46
Fri May 27 18:32:51 2016	1464373971	0	46	46	46
Fri May 27 18:32:28 2016	1464373948	0	46	46	46
Fri May 27 18:32:47 2016	1464373967	0	46	46	46
Fri May 27 18:31:45 2016	1464373905	0	46	46	46
Fri May 27 18:31:19 2016	1464373879	0	46	46	46
Fri May 27 18:33:15 2016	1464373995	0	46	46	46
Fri May 27 18:32:47 2016	1464373967	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:31:16 2016	1464373876	0	46	46	46
Fri May 27 18:32:26 2016	1464373946	0	46	46	46
Fri May 27 18:31:32 2016	1464373892	0	47	47	46
Fri May 27 18:32:58 2016	1464373978	0	47	47	46
Fri May 27 18:31:20 2016	1464373880	0	47	47	46
Fri May 27 18:31:39 2016	1464373899	0	47	47	46
Fri May 27 18:33:05 2016	1464373985	0	47	47	46
Fri May 27 18:31:53 2016	1464373913	0	47	47	46
Fri May 27 18:33:05 2016	1464373985	0	47	47	46
Fri May 27 18:32:16 2016	1464373936	0	47	47	46
Fri May 27 18:32:27 2016	1464373947	0	47	47	47
Fri May 27 18:32:27 2016	1464373947	0	47	47	46
Fri May 27 18:31:19 2016	1464373879	0	47	47	46
Fri May 27 18:32:02 2016	1464373922	0	47	47	46
Fri May 27 18:32:49 2016	1464373969	0	47	47	46
Fri May 27 18:32:27 2016	1464373947	0	47	47	47
Fri May 27 18:31:27 2016	1464373887	0	47	47	46
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:32:42 2016	1464373962	0	47	47	46
Fri May 27 18:32:05 2016	1464373925	0	47	47	47
Fri May 27 18:31:45 2016	1464373905	0	47	47	46
Fri May 27 18:33:13 2016	1464373993	0	47	47	46
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:31:17 2016	1464373877	0	47	47	46
Fri May 27 18:31:35 2016	1464373895	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:00 2016	1464373920	0	47	47	46
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:31:17 2016	1464373877	0	47	47	46
Fri May 27 18:32:18 2016	1464373938	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	46
Fri May 27 18:32:49 2016	1464373969	0	47	47	46
Fri May 27 18:31:19 2016	1464373879	0	47	47	46
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:31:38 2016	1464373898	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:04 2016	1464373924	0	47	47	47
Fri May 27 18:32:30 2016	1464373950	0	47	47	46
Fri May 27 18:32:44 2016	1464373964	0	47	47	47
Fri May 27 18:32:37 2016	1464373957	0	47	47	46
Fri May 27 18:32:04 2016	1464373924	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:33:07 2016	1464373987	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:32:50 2016	1464373970	0	47	47	46
Fri May 27 18:31:33 2016	1464373893	0	47	47	46
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:32:49 2016	1464373969	0	47	47	46
Fri May 27 18:31:31 2016	1464373891	0	47	47	47
Fri May 27 18:32:19 2016	1464373939	0	47	47	47
Fri May 27 18:32:05 2016	1464373925	0	47	47	46
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:32:47 2016	1464373967	0	47	47	47
Fri May 27 18:32:10 2016	1464373930	0	47	47	47
Fri May 27 18:32:12 2016	1464373932	0	47	47	46
Fri May 27 18:32:31 2016	1464373951	0	47	47	46
Fri May 27 18:31:39 2016	1464373899	0	47	47	46
Fri May 27 18:32:16 2016	1464373936	0	47	47	47
Fri May 27 18:31:33 2016	1464373893	0	47	47	46
Fri May 27 18:32:27 2016	1464373947	0	47	47	47
Fri May 27 18:32:24 2016	1464373944	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:32:36 2016	1464373956	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:33:07 2016	1464373987	0	47	47	47
Fri May 27 18:32:48 2016	1464373968	0	47	47	47
Fri May 27 18:33:13 2016	1464373993	0	47	47	47
Fri May 27 18:32:43 2016	1464373963	0	47	47	47
Fri May 27 18:31:20 2016	1464373880	0	47	47	47
Fri May 27 18:32:33 2016	1464373953	0	47	47	47
Fri May 27 18:32:03 2016	1464373923	0	47	47	47
Fri May 27 18:32:25 2016	1464373945	0	47	47	47
Fri May 27 18:33:04 2016	1464373984	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:04 2016	1464373924	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:32:56 2016	1464373976	0	47	47	47
Fri May 27 18:32:07 2016	1464373927	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	46
Fri May 27 18:32:56 2016	1464373976	0	47	47	47
Fri May 27 18:32:20 2016	1464373940	0	47	47	47
Fri May 27 18:31:38 2016	1464373898	0	47	47	47
Fri May 27 18:32:30 2016	1464373950	0	47	47	47
Fri May 27 18:33:13 2016	1464373993	0	47	47	47
Fri May 27 18:31:20 2016	1464373880	0	47	47	47
Fri May 27 18:32:48 2016	1464373968	0	47	47	47
Fri May 27 18:32:31 2016	1464373951	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:43 2016	1464373963	0	47	47	47
Fri May 27 18:33:05 2016	1464373985	0	47	47	47
Fri May 27 18:32:22 2016	1464373942	0	47	47	47
Fri May 27 18:32:26 2016	1464373946	0	47	47	47
Fri May 27 18:31:15 2016	1464373875	0	47	47	47
Fri May 27 18:31:33 2016	1464373893	0	47	47	47
Fri May 27 18:32:34 2016	1464373954	0	47	47	47
Fri May 27 18:33:14 2016	1464373994	0	47	47	47
Fri May 27 18:31:20 2016	1464373880	0	47	47	47
Fri May 27 18:33:04 2016	1464373984	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:33:03 2016	1464373983	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:32:48 2016	1464373968	0	47	47	47
Fri May 27 18:32:24 2016	1464373944	0	47	47	47
Fri May 27 18:33:05 2016	1464373985	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:31 2016	1464373951	0	47	47	47
Fri May 27 18:32:25 2016	1464373945	0	47	47	47
Fri May 27 18:32:25 2016	1464373945	0	47	47	47
Fri May 27 18:33:05 2016	1464373985	0	47	47	47
Fri May 27 18:33:03 2016	1464373983	0	47	47	47
Fri May 27 18:31:32 2016	1464373892	0	47	47	47
Fri May 27 18:32:38 2016	1464373958	0	47	47	47
Fri May 27 18:32:33 2016	1464373953	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:33:14 2016	1464373994	0	47	47	47
Fri May 27 18:31:27 2016	1464373887	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:56 2016	1464373976	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:36 2016	1464373956	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:32:33 2016	1464373953	0	47	47	47
Fri May 27 18:33:13 2016	1464373993	0	47	47	47
Fri May 27 18:33:14 2016	1464373994	0	47	47	47
Fri May 27 18:32:16 2016	1464373936	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:33:04 2016	1464373984	0	47	47	47
Fri May 27 18:32:38 2016	1464373958	0	47	47	47
Fri May 27 18:32:26 2016	1464373946	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:31:45 2016	1464373905	0	47	47	47
Fri May 27 18:32:25 2016	1464373945	0	47	47	47
Fri May 27 18:31:46 2016	1464373906	0	47	47	47
Fri May 27 18:32:05 2016	1464373925	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:19 2016	1464373879	0	47	47	47
Fri May 27 18:33:05 2016	1464373985	0	47	47	47
Fri May 27 18:33:05 2016	1464373985	0	47	47	47
Fri May 27 18:31:20 2016	1464373880	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:32:36 2016	1464373956	0	47	47	47
Fri May 27 18:32:37 2016	1464373957	0	47	47	47
Fri May 27 18:33:14 2016	1464373994	0	47	47	47
Fri May 27 18:31:39 2016	1464373899	0	47	47	47
Fri May 27 18:33:15 2016	1464373995	0	47	47	47
Fri May 27 18:33:14 2016	1464373994	0	47	47	47
Fri May 27 18:32:33 2016	1464373953	0	47	47	47
Fri May 27 18:32:26 2016	1464373946	0	47	47	47
Fri May 27 18:31:20 2016	1464373880	0	47	47	47
Fri May 27 18:31:38 2016	1464373898	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:32:36 2016	1464373956	0	47	47	47
Fri May 27 18:33:06 2016	1464373986	0	47	47	47
Fri May 27 18:32:27 2016	1464373947	0	47	47	47
Fri May 27 18:33:13 2016	1464373993	0	47	47	47
Fri May 27 18:32:40 2016	1464373960	0	47	47	47
Fri May 27 18:32:44 2016	1464373964	0	47	47	47
Fri May 27 18:31:17 2016	1464373877	0	47	47	47
Fri May 27 18:32:49 2016	1464373969	0	47	47	47
Fri May 27 18:33:15 2016	1464373995	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:18 2016	1464373878	0	47	47	47
Fri May 27 18:31:16 2016	1464373876	0	47	47	47
Fri May 27 18:33:13 2016	1464373993	0	47	47	47
