starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:29:42 2016	1464373782	0	1	1	0
Fri May 27 18:28:34 2016	1464373714	0	1	1	0
Fri May 27 18:29:44 2016	1464373784	0	2	2	0
Fri May 27 18:28:30 2016	1464373710	0	2	2	0
Fri May 27 18:29:07 2016	1464373747	0	7	7	0
Fri May 27 18:28:30 2016	1464373710	0	16	16	0
Fri May 27 18:29:07 2016	1464373747	0	17	17	0
Fri May 27 18:28:31 2016	1464373711	0	18	18	0
Fri May 27 18:28:32 2016	1464373712	0	21	21	0
Fri May 27 18:29:05 2016	1464373745	0	27	27	0
Fri May 27 18:29:42 2016	1464373782	0	27	27	0
Fri May 27 18:29:05 2016	1464373745	0	34	34	0
Fri May 27 18:29:12 2016	1464373752	0	44	44	44
Fri May 27 18:29:19 2016	1464373759	0	44	44	44
Fri May 27 18:29:05 2016	1464373745	0	44	44	44
Fri May 27 18:28:43 2016	1464373723	0	44	44	44
Fri May 27 18:29:07 2016	1464373747	0	44	44	44
Fri May 27 18:29:28 2016	1464373768	0	44	44	44
Fri May 27 18:28:56 2016	1464373736	0	44	44	44
Fri May 27 18:28:59 2016	1464373739	0	44	44	44
Fri May 27 18:28:50 2016	1464373730	0	44	44	44
Fri May 27 18:27:59 2016	1464373679	0	44	44	44
Fri May 27 18:27:58 2016	1464373678	0	44	44	44
Fri May 27 18:28:13 2016	1464373693	0	44	44	44
Fri May 27 18:28:08 2016	1464373688	0	44	44	44
Fri May 27 18:28:59 2016	1464373739	0	44	44	44
Fri May 27 18:27:58 2016	1464373678	0	44	44	44
Fri May 27 18:28:47 2016	1464373727	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	44	44	44
Fri May 27 18:27:59 2016	1464373679	0	44	44	44
Fri May 27 18:29:04 2016	1464373744	0	44	44	44
Fri May 27 18:27:58 2016	1464373678	0	44	44	44
Fri May 27 18:27:59 2016	1464373679	0	44	44	44
Fri May 27 18:28:00 2016	1464373680	0	44	44	44
Fri May 27 18:29:14 2016	1464373754	0	44	44	44
Fri May 27 18:29:16 2016	1464373756	0	44	44	44
Fri May 27 18:28:20 2016	1464373700	0	44	44	44
Fri May 27 18:29:02 2016	1464373742	0	44	44	44
Fri May 27 18:28:20 2016	1464373700	0	44	44	44
Fri May 27 18:28:00 2016	1464373680	0	44	44	44
Fri May 27 18:29:13 2016	1464373753	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	44	44	44
Fri May 27 18:28:26 2016	1464373706	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	44	44	44
Fri May 27 18:29:07 2016	1464373747	0	44	44	44
Fri May 27 18:28:49 2016	1464373729	0	44	44	44
Fri May 27 18:27:58 2016	1464373678	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	44	44	44
Fri May 27 18:29:29 2016	1464373769	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	44	44	44
