starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:28:39 2016	1464373719	0	0	0	0
Fri May 27 18:28:37 2016	1464373717	0	1	1	0
Fri May 27 18:28:35 2016	1464373715	0	1	1	0
Fri May 27 18:29:31 2016	1464373771	0	1	1	0
Fri May 27 18:29:36 2016	1464373776	0	13	13	0
Fri May 27 18:29:33 2016	1464373773	0	29	29	0
Fri May 27 18:29:37 2016	1464373777	0	31	31	0
Fri May 27 18:29:04 2016	1464373744	0	34	34	0
Fri May 27 18:28:29 2016	1464373709	0	35	35	0
Fri May 27 18:29:06 2016	1464373746	0	44	44	44
Fri May 27 18:28:29 2016	1464373709	0	44	44	44
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:29:35 2016	1464373775	0	45	45	45
Fri May 27 18:28:58 2016	1464373738	0	45	45	45
Fri May 27 18:28:49 2016	1464373729	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:29:48 2016	1464373788	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:29:04 2016	1464373744	0	45	45	45
Fri May 27 18:29:07 2016	1464373747	0	45	45	45
Fri May 27 18:28:21 2016	1464373701	0	45	45	45
Fri May 27 18:28:06 2016	1464373686	0	45	45	45
Fri May 27 18:29:48 2016	1464373788	0	45	45	45
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:29:24 2016	1464373764	0	45	45	45
Fri May 27 18:28:19 2016	1464373699	0	45	45	45
Fri May 27 18:28:57 2016	1464373737	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:29:18 2016	1464373758	0	45	45	45
Fri May 27 18:28:58 2016	1464373738	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:43 2016	1464373723	0	45	45	45
Fri May 27 18:28:48 2016	1464373728	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:29:14 2016	1464373754	0	45	45	45
Fri May 27 18:28:51 2016	1464373731	0	45	45	45
Fri May 27 18:27:57 2016	1464373677	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:28:19 2016	1464373699	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:28:16 2016	1464373696	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:55 2016	1464373735	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:29:29 2016	1464373769	0	45	45	45
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:28:49 2016	1464373729	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:11 2016	1464373691	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:01 2016	1464373681	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:00 2016	1464373680	0	45	45	45
Fri May 27 18:29:18 2016	1464373758	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:17 2016	1464373697	0	45	45	45
Fri May 27 18:29:05 2016	1464373745	0	45	45	45
Fri May 27 18:28:49 2016	1464373729	0	45	45	45
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:28:25 2016	1464373705	0	45	45	45
Fri May 27 18:27:56 2016	1464373676	0	45	45	45
Fri May 27 18:29:12 2016	1464373752	0	45	45	45
Fri May 27 18:27:58 2016	1464373678	0	45	45	45
Fri May 27 18:28:25 2016	1464373705	0	45	45	45
Fri May 27 18:28:24 2016	1464373704	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:28:42 2016	1464373722	0	45	45	45
Fri May 27 18:27:59 2016	1464373679	0	45	45	45
Fri May 27 18:28:09 2016	1464373689	0	45	45	45
Fri May 27 18:27:57 2016	1464373677	0	45	45	45
Fri May 27 18:29:30 2016	1464373770	0	45	45	45
