starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 17:16:26 2016	1464369386	37	52	89	52
Fri May 27 17:13:33 2016	1464369213	36	53	89	52
Fri May 27 17:16:03 2016	1464369363	36	53	89	53
Fri May 27 17:12:05 2016	1464369125	37	53	89	52
Fri May 27 17:11:03 2016	1464369063	37	53	89	52
Fri May 27 17:11:04 2016	1464369064	37	53	89	52
Fri May 27 17:16:45 2016	1464369405	37	53	89	52
Fri May 27 17:16:08 2016	1464369368	37	53	89	53
Fri May 27 17:15:23 2016	1464369323	37	53	89	53
Fri May 27 17:13:39 2016	1464369219	36	53	90	53
Fri May 27 17:12:08 2016	1464369128	36	53	90	53
Fri May 27 17:15:23 2016	1464369323	37	53	90	52
Fri May 27 17:15:01 2016	1464369301	37	53	90	53
Fri May 27 17:11:03 2016	1464369063	37	53	90	53
Fri May 27 17:11:08 2016	1464369068	36	53	90	53
Fri May 27 17:13:12 2016	1464369192	36	53	90	53
Fri May 27 17:16:46 2016	1464369406	37	53	90	53
Fri May 27 17:13:55 2016	1464369235	37	53	90	53
Fri May 27 17:12:05 2016	1464369125	37	53	90	53
Fri May 27 17:15:43 2016	1464369343	37	53	90	53
Fri May 27 17:11:46 2016	1464369106	37	53	90	53
Fri May 27 17:11:50 2016	1464369110	37	53	90	53
Fri May 27 17:13:13 2016	1464369193	37	53	90	53
Fri May 27 17:11:43 2016	1464369103	37	53	90	53
Fri May 27 17:15:18 2016	1464369318	37	53	90	53
Fri May 27 17:11:23 2016	1464369083	37	53	90	53
Fri May 27 17:14:42 2016	1464369282	37	53	90	53
Fri May 27 17:13:38 2016	1464369218	36	54	90	53
Fri May 27 17:11:25 2016	1464369085	36	54	90	53
Fri May 27 17:14:20 2016	1464369260	37	53	90	53
Fri May 27 17:11:21 2016	1464369081	37	53	90	53
Fri May 27 17:16:54 2016	1464369414	37	54	90	53
Fri May 27 17:16:30 2016	1464369390	38	52	90	52
Fri May 27 17:14:40 2016	1464369280	37	53	90	53
Fri May 27 17:16:27 2016	1464369387	37	54	90	53
Fri May 27 17:12:09 2016	1464369129	37	53	90	53
Fri May 27 17:16:47 2016	1464369407	37	54	90	53
Fri May 27 17:16:27 2016	1464369387	36	54	90	53
Fri May 27 17:13:53 2016	1464369233	37	54	90	53
Fri May 27 17:11:48 2016	1464369108	37	53	90	53
Fri May 27 17:15:04 2016	1464369304	37	53	90	53
Fri May 27 17:12:52 2016	1464369172	37	54	90	53
Fri May 27 17:16:51 2016	1464369411	37	54	90	53
Fri May 27 17:12:54 2016	1464369174	37	54	90	53
Fri May 27 17:12:25 2016	1464369145	37	54	90	53
Fri May 27 17:15:23 2016	1464369323	37	54	90	53
Fri May 27 17:16:07 2016	1464369367	37	54	90	53
Fri May 27 17:13:35 2016	1464369215	37	54	90	53
Fri May 27 17:15:49 2016	1464369349	37	53	90	53
Fri May 27 17:16:04 2016	1464369364	37	54	90	54
Fri May 27 17:15:24 2016	1464369324	37	54	90	53
Fri May 27 17:14:00 2016	1464369240	37	54	90	53
Fri May 27 17:12:05 2016	1464369125	36	54	90	53
Fri May 27 17:15:43 2016	1464369343	37	54	90	53
Fri May 27 17:11:22 2016	1464369082	37	54	90	53
Fri May 27 17:13:54 2016	1464369234	36	54	90	54
Fri May 27 17:13:35 2016	1464369215	36	54	90	53
Fri May 27 17:15:04 2016	1464369304	37	54	90	53
Fri May 27 17:13:12 2016	1464369192	37	54	90	53
Fri May 27 17:13:35 2016	1464369215	36	54	90	54
Fri May 27 17:12:05 2016	1464369125	36	54	90	53
Fri May 27 17:16:06 2016	1464369366	37	54	90	54
Fri May 27 17:14:16 2016	1464369256	37	54	90	54
Fri May 27 17:14:19 2016	1464369259	37	54	90	53
Fri May 27 17:13:34 2016	1464369214	36	54	91	54
Fri May 27 17:16:50 2016	1464369410	37	54	91	54
Fri May 27 17:14:16 2016	1464369256	37	54	91	53
Fri May 27 17:16:29 2016	1464369389	37	54	91	54
Fri May 27 17:11:47 2016	1464369107	36	54	91	54
Fri May 27 17:13:36 2016	1464369216	37	54	91	53
Fri May 27 17:12:09 2016	1464369129	37	54	91	54
Fri May 27 17:16:10 2016	1464369370	36	54	91	53
Fri May 27 17:11:07 2016	1464369067	37	54	91	54
Fri May 27 17:16:27 2016	1464369387	37	54	91	53
Fri May 27 17:12:07 2016	1464369127	37	54	91	54
Fri May 27 17:11:47 2016	1464369107	37	54	91	53
Fri May 27 17:12:07 2016	1464369127	37	54	91	53
Fri May 27 17:14:36 2016	1464369276	37	54	91	54
Fri May 27 17:15:42 2016	1464369342	37	54	91	53
Fri May 27 17:16:04 2016	1464369364	37	54	91	54
Fri May 27 17:12:04 2016	1464369124	37	54	91	54
Fri May 27 17:11:27 2016	1464369087	36	54	91	54
Fri May 27 17:14:43 2016	1464369283	37	54	91	53
Fri May 27 17:14:00 2016	1464369240	37	54	91	54
Fri May 27 17:15:03 2016	1464369303	37	54	91	54
Fri May 27 17:16:10 2016	1464369370	37	54	91	54
Fri May 27 17:11:21 2016	1464369081	37	54	91	54
Fri May 27 17:12:12 2016	1464369132	37	54	91	54
Fri May 27 17:11:08 2016	1464369068	37	54	91	54
Fri May 27 17:13:36 2016	1464369216	37	54	91	54
Fri May 27 17:16:26 2016	1464369386	37	54	91	54
Fri May 27 17:11:22 2016	1464369082	37	54	91	54
Fri May 27 17:13:54 2016	1464369234	37	54	91	54
Fri May 27 17:16:08 2016	1464369368	37	54	91	54
Fri May 27 17:14:58 2016	1464369298	36	54	91	54
Fri May 27 17:13:38 2016	1464369218	37	54	91	54
Fri May 27 17:16:08 2016	1464369368	37	54	91	54
Fri May 27 17:14:41 2016	1464369281	37	54	91	54
Fri May 27 17:16:09 2016	1464369369	36	54	91	54
Fri May 27 17:12:07 2016	1464369127	37	54	91	54
Fri May 27 17:16:08 2016	1464369368	37	54	91	54
Fri May 27 17:13:38 2016	1464369218	37	54	91	54
Fri May 27 17:11:27 2016	1464369087	37	54	91	54
Fri May 27 17:13:34 2016	1464369214	36	54	91	54
Fri May 27 17:16:46 2016	1464369406	37	54	91	54
Fri May 27 17:13:37 2016	1464369217	37	54	91	53
Fri May 27 17:13:56 2016	1464369236	37	54	91	53
Fri May 27 17:13:10 2016	1464369190	36	54	91	54
Fri May 27 17:16:54 2016	1464369414	37	54	91	54
Fri May 27 17:15:00 2016	1464369300	37	54	91	54
Fri May 27 17:16:27 2016	1464369387	37	54	91	54
Fri May 27 17:11:50 2016	1464369110	37	54	91	54
Fri May 27 17:14:22 2016	1464369262	37	54	91	54
Fri May 27 17:11:20 2016	1464369080	37	54	91	54
Fri May 27 17:15:20 2016	1464369320	36	54	91	54
Fri May 27 17:11:23 2016	1464369083	37	54	91	54
Fri May 27 17:13:13 2016	1464369193	37	54	91	54
Fri May 27 17:16:24 2016	1464369384	37	54	91	54
Fri May 27 17:14:01 2016	1464369241	37	54	91	54
Fri May 27 17:11:24 2016	1464369084	37	54	91	54
Fri May 27 17:11:27 2016	1464369087	37	54	91	54
Fri May 27 17:11:46 2016	1464369106	37	54	91	54
Fri May 27 17:16:07 2016	1464369367	37	54	91	54
