starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:16:44 2016	1464373004	0	52	52	52
Fri May 27 18:16:45 2016	1464373005	0	52	52	52
Fri May 27 18:16:52 2016	1464373012	0	52	52	52
Fri May 27 18:17:34 2016	1464373054	0	52	52	52
Fri May 27 18:16:46 2016	1464373006	0	52	52	52
Fri May 27 18:17:07 2016	1464373027	0	52	52	52
Fri May 27 18:16:47 2016	1464373007	0	52	52	52
Fri May 27 18:16:45 2016	1464373005	0	53	53	52
Fri May 27 18:16:44 2016	1464373004	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:59 2016	1464373019	0	53	53	53
Fri May 27 18:16:58 2016	1464373018	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:16:44 2016	1464373004	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:58 2016	1464373018	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:17:20 2016	1464373040	0	53	53	53
Fri May 27 18:17:04 2016	1464373024	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:52 2016	1464373012	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:16:44 2016	1464373004	0	53	53	53
Fri May 27 18:16:54 2016	1464373014	0	53	53	53
Fri May 27 18:16:50 2016	1464373010	0	53	53	53
Fri May 27 18:16:53 2016	1464373013	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:16:52 2016	1464373012	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:44 2016	1464373004	0	53	53	53
Fri May 27 18:16:47 2016	1464373007	0	53	53	53
Fri May 27 18:17:04 2016	1464373024	0	53	53	53
Fri May 27 18:16:59 2016	1464373019	0	53	53	53
Fri May 27 18:16:50 2016	1464373010	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:17:01 2016	1464373021	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:17:27 2016	1464373047	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:17:26 2016	1464373046	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:17:28 2016	1464373048	0	53	53	53
Fri May 27 18:16:56 2016	1464373016	0	53	53	53
Fri May 27 18:16:59 2016	1464373019	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:55 2016	1464373015	0	53	53	53
Fri May 27 18:16:50 2016	1464373010	0	53	53	53
Fri May 27 18:17:23 2016	1464373043	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:17:02 2016	1464373022	0	53	53	53
Fri May 27 18:16:47 2016	1464373007	0	53	53	53
Fri May 27 18:17:35 2016	1464373055	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:50 2016	1464373010	0	53	53	53
Fri May 27 18:16:51 2016	1464373011	0	53	53	53
Fri May 27 18:17:21 2016	1464373041	0	53	53	53
Fri May 27 18:16:55 2016	1464373015	0	53	53	53
Fri May 27 18:17:25 2016	1464373045	0	53	53	53
Fri May 27 18:16:56 2016	1464373016	0	53	53	53
Fri May 27 18:17:12 2016	1464373032	0	53	53	53
Fri May 27 18:16:56 2016	1464373016	0	53	53	53
Fri May 27 18:17:05 2016	1464373025	0	53	53	53
Fri May 27 18:16:47 2016	1464373007	0	53	53	53
Fri May 27 18:16:58 2016	1464373018	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:52 2016	1464373012	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:53 2016	1464373013	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:17:26 2016	1464373046	0	53	53	53
Fri May 27 18:17:05 2016	1464373025	0	53	53	53
Fri May 27 18:16:54 2016	1464373014	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:17:28 2016	1464373048	0	53	53	53
Fri May 27 18:16:45 2016	1464373005	0	53	53	53
Fri May 27 18:16:59 2016	1464373019	0	53	53	53
Fri May 27 18:16:53 2016	1464373013	0	53	53	53
Fri May 27 18:16:58 2016	1464373018	0	53	53	53
Fri May 27 18:16:57 2016	1464373017	0	53	53	53
Fri May 27 18:16:56 2016	1464373016	0	53	53	53
Fri May 27 18:17:26 2016	1464373046	0	53	53	53
Fri May 27 18:16:46 2016	1464373006	0	53	53	53
Fri May 27 18:16:55 2016	1464373015	0	53	53	53
Fri May 27 18:17:00 2016	1464373020	0	53	53	53
Fri May 27 18:16:56 2016	1464373016	0	53	53	53
Fri May 27 18:16:55 2016	1464373015	0	53	53	53
Fri May 27 18:17:00 2016	1464373020	0	54	54	53
Fri May 27 18:16:48 2016	1464373008	0	54	54	53
Fri May 27 18:17:32 2016	1464373052	0	54	54	53
Fri May 27 18:16:45 2016	1464373005	0	54	54	53
Fri May 27 18:17:16 2016	1464373036	0	54	54	53
Fri May 27 18:16:46 2016	1464373006	0	54	54	53
Fri May 27 18:16:50 2016	1464373010	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	53
Fri May 27 18:16:52 2016	1464373012	0	54	54	54
Fri May 27 18:16:59 2016	1464373019	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	53
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:16:44 2016	1464373004	0	54	54	53
Fri May 27 18:17:27 2016	1464373047	0	54	54	54
Fri May 27 18:16:53 2016	1464373013	0	54	54	54
Fri May 27 18:16:49 2016	1464373009	0	54	54	53
Fri May 27 18:16:57 2016	1464373017	0	54	54	54
Fri May 27 18:16:45 2016	1464373005	0	54	54	54
Fri May 27 18:17:01 2016	1464373021	0	54	54	53
Fri May 27 18:16:46 2016	1464373006	0	54	54	54
Fri May 27 18:16:47 2016	1464373007	0	54	54	53
Fri May 27 18:16:51 2016	1464373011	0	54	54	54
Fri May 27 18:16:47 2016	1464373007	0	54	54	53
Fri May 27 18:16:51 2016	1464373011	0	54	54	54
Fri May 27 18:17:28 2016	1464373048	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	54
Fri May 27 18:16:57 2016	1464373017	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	54
Fri May 27 18:16:51 2016	1464373011	0	54	54	54
Fri May 27 18:16:56 2016	1464373016	0	54	54	54
Fri May 27 18:17:31 2016	1464373051	0	54	54	54
Fri May 27 18:16:57 2016	1464373017	0	54	54	54
Fri May 27 18:16:59 2016	1464373019	0	54	54	54
Fri May 27 18:16:56 2016	1464373016	0	54	54	53
Fri May 27 18:16:59 2016	1464373019	0	54	54	54
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:16:50 2016	1464373010	0	54	54	54
Fri May 27 18:16:53 2016	1464373013	0	54	54	54
Fri May 27 18:16:56 2016	1464373016	0	54	54	54
Fri May 27 18:16:47 2016	1464373007	0	54	54	54
Fri May 27 18:16:54 2016	1464373014	0	54	54	54
Fri May 27 18:17:28 2016	1464373048	0	54	54	54
Fri May 27 18:16:48 2016	1464373008	0	54	54	54
Fri May 27 18:17:26 2016	1464373046	0	54	54	54
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:17:21 2016	1464373041	0	54	54	54
Fri May 27 18:17:27 2016	1464373047	0	54	54	54
Fri May 27 18:17:26 2016	1464373046	0	54	54	54
Fri May 27 18:16:57 2016	1464373017	0	54	54	54
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:16:51 2016	1464373011	0	54	54	54
Fri May 27 18:16:59 2016	1464373019	0	54	54	54
Fri May 27 18:16:50 2016	1464373010	0	54	54	54
Fri May 27 18:17:26 2016	1464373046	0	54	54	54
Fri May 27 18:16:47 2016	1464373007	0	54	54	54
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:17:00 2016	1464373020	0	54	54	54
Fri May 27 18:16:57 2016	1464373017	0	54	54	53
Fri May 27 18:17:04 2016	1464373024	0	54	54	54
Fri May 27 18:17:24 2016	1464373044	0	54	54	54
Fri May 27 18:17:27 2016	1464373047	0	54	54	54
Fri May 27 18:16:53 2016	1464373013	0	54	54	54
Fri May 27 18:16:58 2016	1464373018	0	54	54	54
Fri May 27 18:17:13 2016	1464373033	0	54	54	54
Fri May 27 18:17:04 2016	1464373024	0	54	54	54
Fri May 27 18:16:56 2016	1464373016	0	54	54	54
Fri May 27 18:16:58 2016	1464373018	0	54	54	54
Fri May 27 18:16:55 2016	1464373015	0	54	54	54
Fri May 27 18:16:54 2016	1464373014	0	54	54	54
Fri May 27 18:16:51 2016	1464373011	0	54	54	54
Fri May 27 18:17:34 2016	1464373054	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	54
Fri May 27 18:16:43 2016	1464373003	0	54	54	54
Fri May 27 18:16:46 2016	1464373006	0	54	54	54
Fri May 27 18:16:47 2016	1464373007	0	54	54	54
Fri May 27 18:16:53 2016	1464373013	0	54	54	54
Fri May 27 18:16:54 2016	1464373014	0	54	54	54
Fri May 27 18:16:54 2016	1464373014	0	54	54	54
Fri May 27 18:16:45 2016	1464373005	0	54	54	54
Fri May 27 18:16:50 2016	1464373010	0	54	54	54
Fri May 27 18:16:57 2016	1464373017	0	54	54	54
Fri May 27 18:17:01 2016	1464373021	0	54	54	54
