starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 17:22:51 2016	1464369771	0	53	53	52
Fri May 27 17:22:51 2016	1464369771	0	53	53	52
Fri May 27 17:22:52 2016	1464369772	0	53	53	52
Fri May 27 17:22:45 2016	1464369765	0	53	53	53
Fri May 27 17:22:52 2016	1464369772	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:19:54 2016	1464369594	0	53	53	53
Fri May 27 17:22:52 2016	1464369772	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:50 2016	1464369770	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:51 2016	1464369771	0	53	53	53
Fri May 27 17:22:45 2016	1464369765	0	54	54	53
Fri May 27 17:22:39 2016	1464369759	0	54	54	53
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:45 2016	1464369765	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:21:49 2016	1464369709	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:41 2016	1464369761	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:45 2016	1464369765	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:46 2016	1464369766	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:21:41 2016	1464369701	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:40 2016	1464369760	0	54	54	54
Fri May 27 17:22:49 2016	1464369769	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:45 2016	1464369765	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:08 2016	1464369728	0	54	54	54
Fri May 27 17:22:45 2016	1464369765	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:46 2016	1464369766	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:08 2016	1464369728	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:52 2016	1464369772	0	54	54	54
Fri May 27 17:22:51 2016	1464369771	0	54	54	54
Fri May 27 17:22:45 2016	1464369765	0	54	54	54
Fri May 27 17:22:41 2016	1464369761	0	54	54	54
Fri May 27 17:22:21 2016	1464369741	0	54	54	54
Fri May 27 17:22:40 2016	1464369760	0	54	54	54
Fri May 27 17:22:08 2016	1464369728	0	55	55	54
Fri May 27 17:22:52 2016	1464369772	0	55	55	54
Fri May 27 17:22:51 2016	1464369771	0	55	55	54
Fri May 27 17:22:46 2016	1464369766	0	55	55	54
Fri May 27 17:22:51 2016	1464369771	0	55	55	54
Fri May 27 17:22:43 2016	1464369763	0	55	55	54
Fri May 27 17:22:50 2016	1464369770	0	55	55	55
Fri May 27 17:22:45 2016	1464369765	0	55	55	54
