starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 18:23:54 2016	1464373434	0	2	2	0
Fri May 27 18:23:46 2016	1464373426	0	2	2	0
Fri May 27 18:22:59 2016	1464373379	0	4	4	0
Fri May 27 18:22:24 2016	1464373344	0	8	8	0
Fri May 27 18:24:40 2016	1464373480	0	15	15	0
Fri May 27 18:23:08 2016	1464373388	0	27	27	0
Fri May 27 18:22:25 2016	1464373345	0	34	34	0
Fri May 27 18:22:06 2016	1464373326	0	53	53	53
Fri May 27 18:23:07 2016	1464373387	0	53	53	53
Fri May 27 18:22:53 2016	1464373373	0	54	54	54
Fri May 27 18:22:15 2016	1464373335	0	54	54	54
Fri May 27 18:22:06 2016	1464373326	0	54	54	54
Fri May 27 18:22:15 2016	1464373335	0	54	54	54
Fri May 27 18:22:06 2016	1464373326	0	54	54	54
Fri May 27 18:24:35 2016	1464373475	0	54	54	54
Fri May 27 18:22:16 2016	1464373336	0	54	54	54
Fri May 27 18:24:06 2016	1464373446	0	54	54	54
Fri May 27 18:22:06 2016	1464373326	0	54	54	54
Fri May 27 18:24:27 2016	1464373467	0	54	54	54
Fri May 27 18:22:16 2016	1464373336	0	54	54	54
Fri May 27 18:22:05 2016	1464373325	0	54	54	54
Fri May 27 18:22:27 2016	1464373347	0	54	54	54
Fri May 27 18:21:51 2016	1464373311	0	54	54	54
Fri May 27 18:24:35 2016	1464373475	0	54	54	54
Fri May 27 18:23:41 2016	1464373421	0	54	54	54
Fri May 27 18:22:16 2016	1464373336	0	54	54	54
Fri May 27 18:22:23 2016	1464373343	0	54	54	54
Fri May 27 18:22:31 2016	1464373351	0	55	55	55
Fri May 27 18:24:01 2016	1464373441	0	55	55	54
Fri May 27 18:22:04 2016	1464373324	0	55	55	55
Fri May 27 18:21:50 2016	1464373310	0	55	55	54
Fri May 27 18:21:48 2016	1464373308	0	55	55	55
Fri May 27 18:24:34 2016	1464373474	0	55	55	55
Fri May 27 18:22:05 2016	1464373325	0	55	55	55
Fri May 27 18:22:06 2016	1464373326	0	55	55	55
Fri May 27 18:22:14 2016	1464373334	0	55	55	55
Fri May 27 18:24:07 2016	1464373447	0	55	55	55
Fri May 27 18:22:54 2016	1464373374	0	55	55	55
Fri May 27 18:22:56 2016	1464373376	0	55	55	55
Fri May 27 18:21:51 2016	1464373311	0	55	55	55
Fri May 27 18:22:49 2016	1464373369	0	55	55	55
Fri May 27 18:22:04 2016	1464373324	0	55	55	55
Fri May 27 18:22:47 2016	1464373367	0	55	55	55
Fri May 27 18:24:28 2016	1464373468	0	55	55	55
Fri May 27 18:24:08 2016	1464373448	0	55	55	55
Fri May 27 18:24:29 2016	1464373469	0	55	55	55
Fri May 27 18:23:35 2016	1464373415	0	55	55	55
Fri May 27 18:23:10 2016	1464373390	0	55	55	55
Fri May 27 18:22:06 2016	1464373326	0	55	55	55
Fri May 27 18:24:07 2016	1464373447	0	55	55	55
Fri May 27 18:24:35 2016	1464373475	0	55	55	55
Fri May 27 18:24:28 2016	1464373468	0	55	55	55
Fri May 27 18:22:24 2016	1464373344	0	55	55	55
