starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 17:28:24 2016	1464370104	0	1	1	0
Fri May 27 17:27:09 2016	1464370029	0	9	9	0
Fri May 27 17:27:41 2016	1464370061	0	16	16	0
Fri May 27 17:27:09 2016	1464370029	0	18	18	0
Fri May 27 17:27:41 2016	1464370061	0	20	20	0
Fri May 27 17:28:19 2016	1464370099	0	23	23	0
Fri May 27 17:28:58 2016	1464370138	0	23	23	0
Fri May 27 17:29:04 2016	1464370144	0	52	52	52
Fri May 27 17:25:55 2016	1464369955	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:05 2016	1464370145	0	52	52	52
Fri May 27 17:29:09 2016	1464370149	0	52	52	52
Fri May 27 17:29:09 2016	1464370149	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:05 2016	1464370145	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:03 2016	1464370143	0	52	52	52
Fri May 27 17:29:07 2016	1464370147	0	52	52	52
Fri May 27 17:29:10 2016	1464370150	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:03 2016	1464370143	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:26:54 2016	1464370014	0	52	52	52
Fri May 27 17:29:03 2016	1464370143	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:07 2016	1464370147	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:03 2016	1464370143	0	52	52	52
Fri May 27 17:29:09 2016	1464370149	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:07 2016	1464370147	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	52	52	52
Fri May 27 17:29:07 2016	1464370147	0	52	52	52
Fri May 27 17:29:07 2016	1464370147	0	52	52	52
Fri May 27 17:29:09 2016	1464370149	0	52	52	52
Fri May 27 17:29:08 2016	1464370148	0	53	53	52
Fri May 27 17:26:08 2016	1464369968	0	53	53	52
Fri May 27 17:29:06 2016	1464370146	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	52
Fri May 27 17:29:05 2016	1464370145	0	53	53	52
Fri May 27 17:29:04 2016	1464370144	0	53	53	52
Fri May 27 17:26:53 2016	1464370013	0	53	53	52
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:06 2016	1464370146	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:02 2016	1464370142	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	52
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:27:45 2016	1464370065	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:02 2016	1464370142	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:10 2016	1464370150	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:28:41 2016	1464370121	0	53	53	52
Fri May 27 17:29:06 2016	1464370146	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:06 2016	1464370146	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:10 2016	1464370150	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:04 2016	1464370144	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:04 2016	1464370144	0	53	53	53
Fri May 27 17:28:40 2016	1464370120	0	53	53	53
Fri May 27 17:29:10 2016	1464370150	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:02 2016	1464370142	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:04 2016	1464370144	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:10 2016	1464370150	0	53	53	53
Fri May 27 17:28:04 2016	1464370084	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:06 2016	1464370146	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:05 2016	1464370145	0	53	53	53
Fri May 27 17:29:02 2016	1464370142	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:03 2016	1464370143	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:04 2016	1464370144	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:07 2016	1464370147	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:10 2016	1464370150	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:08 2016	1464370148	0	53	53	53
Fri May 27 17:29:09 2016	1464370149	0	54	54	53
Fri May 27 17:29:06 2016	1464370146	0	54	54	53
Fri May 27 17:29:08 2016	1464370148	0	54	54	53
Fri May 27 17:29:08 2016	1464370148	0	54	54	53
Fri May 27 17:29:02 2016	1464370142	0	54	54	53
Fri May 27 17:29:05 2016	1464370145	0	54	54	53
Fri May 27 17:29:07 2016	1464370147	0	54	54	53
Fri May 27 17:29:08 2016	1464370148	0	54	54	53
Fri May 27 17:29:10 2016	1464370150	0	54	54	53
Fri May 27 17:29:04 2016	1464370144	0	54	54	53
Fri May 27 17:29:05 2016	1464370145	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	53
Fri May 27 17:28:31 2016	1464370111	0	54	54	53
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	53
Fri May 27 17:29:05 2016	1464370145	0	54	54	53
Fri May 27 17:29:04 2016	1464370144	0	54	54	53
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	53
Fri May 27 17:29:02 2016	1464370142	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	53
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:05 2016	1464370145	0	54	54	54
Fri May 27 17:28:31 2016	1464370111	0	54	54	54
Fri May 27 17:29:04 2016	1464370144	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	53
Fri May 27 17:29:03 2016	1464370143	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:03 2016	1464370143	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:05 2016	1464370145	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:04 2016	1464370144	0	54	54	54
Fri May 27 17:29:08 2016	1464370148	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:10 2016	1464370150	0	54	54	54
Fri May 27 17:29:04 2016	1464370144	0	54	54	54
Fri May 27 17:29:07 2016	1464370147	0	54	54	54
Fri May 27 17:29:03 2016	1464370143	0	54	54	54
Fri May 27 17:29:09 2016	1464370149	0	54	54	54
