starttime	seconds	ctime	dtime	ttime	wait
Fri May 27 16:51:07 2016	1464367867	36	87	123	51
Fri May 27 16:51:10 2016	1464367870	36	87	123	51
Fri May 27 16:51:08 2016	1464367868	36	87	124	51
Fri May 27 16:51:06 2016	1464367866	36	87	124	51
Fri May 27 16:51:10 2016	1464367870	37	87	124	51
Fri May 27 16:51:08 2016	1464367868	36	87	124	51
Fri May 27 16:52:53 2016	1464367973	36	88	124	51
Fri May 27 16:51:05 2016	1464367865	36	88	124	51
Fri May 27 16:51:30 2016	1464367890	36	88	124	51
Fri May 27 16:51:08 2016	1464367868	36	88	124	51
Fri May 27 16:51:07 2016	1464367867	36	88	124	51
Fri May 27 16:52:05 2016	1464367925	37	88	124	51
Fri May 27 16:53:48 2016	1464368028	37	88	124	51
Fri May 27 16:51:11 2016	1464367871	36	88	124	51
Fri May 27 16:51:06 2016	1464367866	37	88	124	51
Fri May 27 16:51:06 2016	1464367866	37	88	124	51
Fri May 27 16:53:09 2016	1464367989	37	88	124	51
Fri May 27 16:51:10 2016	1464367870	36	88	124	51
Fri May 27 16:51:10 2016	1464367870	36	88	124	51
Fri May 27 16:51:07 2016	1464367867	36	88	124	51
Fri May 27 16:52:53 2016	1464367973	37	87	124	51
Fri May 27 16:56:57 2016	1464368217	37	88	124	51
Fri May 27 16:51:07 2016	1464367867	37	88	124	51
Fri May 27 16:51:05 2016	1464367865	36	88	124	52
Fri May 27 16:53:11 2016	1464367991	37	88	124	51
Fri May 27 16:54:52 2016	1464368092	37	88	124	51
Fri May 27 16:51:11 2016	1464367871	37	88	124	52
Fri May 27 16:54:55 2016	1464368095	37	88	124	51
Fri May 27 16:54:10 2016	1464368050	37	88	124	51
Fri May 27 16:51:11 2016	1464367871	37	88	124	52
Fri May 27 16:54:15 2016	1464368055	36	88	124	52
Fri May 27 16:51:10 2016	1464367870	36	88	124	52
Fri May 27 16:51:06 2016	1464367866	37	88	124	52
Fri May 27 16:51:08 2016	1464367868	37	88	124	52
Fri May 27 16:51:11 2016	1464367871	36	88	124	52
Fri May 27 16:54:28 2016	1464368068	37	88	124	52
Fri May 27 16:51:05 2016	1464367865	37	88	124	52
Fri May 27 16:51:11 2016	1464367871	36	88	124	52
Fri May 27 16:51:10 2016	1464367870	36	88	125	52
Fri May 27 16:51:08 2016	1464367868	37	88	125	51
Fri May 27 16:51:06 2016	1464367866	37	88	125	52
Fri May 27 16:51:06 2016	1464367866	36	88	125	52
Fri May 27 16:52:49 2016	1464367969	36	88	125	52
Fri May 27 16:51:08 2016	1464367868	37	88	125	52
Fri May 27 16:51:09 2016	1464367869	36	88	125	52
Fri May 27 16:57:17 2016	1464368237	37	88	125	52
Fri May 27 16:52:31 2016	1464367951	37	88	125	52
Fri May 27 16:51:46 2016	1464367906	37	88	125	52
Fri May 27 16:51:05 2016	1464367865	37	88	125	52
Fri May 27 16:51:08 2016	1464367868	36	88	125	52
Fri May 27 16:51:06 2016	1464367866	37	88	125	52
Fri May 27 16:51:06 2016	1464367866	37	88	125	52
Fri May 27 16:51:09 2016	1464367869	37	88	125	52
Fri May 27 16:54:13 2016	1464368053	37	88	125	52
Fri May 27 16:53:47 2016	1464368027	37	88	125	51
Fri May 27 16:51:06 2016	1464367866	37	88	125	52
Fri May 27 16:54:31 2016	1464368071	37	88	125	52
Fri May 27 16:51:49 2016	1464367909	37	88	125	52
Fri May 27 16:51:08 2016	1464367868	36	88	125	52
Fri May 27 16:53:49 2016	1464368029	37	88	125	52
Fri May 27 16:51:06 2016	1464367866	36	88	125	52
Fri May 27 16:51:06 2016	1464367866	36	88	125	52
Fri May 27 16:51:10 2016	1464367870	36	88	125	52
Fri May 27 16:51:04 2016	1464367864	36	88	125	52
Fri May 27 16:51:06 2016	1464367866	36	88	125	52
Fri May 27 16:56:57 2016	1464368217	37	88	125	52
Fri May 27 16:55:53 2016	1464368153	37	88	125	52
Fri May 27 16:51:07 2016	1464367867	36	88	125	52
Fri May 27 16:51:09 2016	1464367869	36	88	125	52
Fri May 27 16:51:49 2016	1464367909	36	88	125	52
Fri May 27 16:51:09 2016	1464367869	36	88	125	52
Fri May 27 16:57:43 2016	1464368263	37	88	125	51
Fri May 27 16:51:30 2016	1464367890	37	88	125	52
Fri May 27 16:53:32 2016	1464368012	37	88	125	52
Fri May 27 16:53:31 2016	1464368011	37	88	125	52
Fri May 27 16:51:25 2016	1464367885	37	88	125	52
Fri May 27 16:57:43 2016	1464368263	36	88	125	52
Fri May 27 16:51:29 2016	1464367889	37	88	125	52
Fri May 27 16:51:06 2016	1464367866	37	88	125	52
Fri May 27 16:54:35 2016	1464368075	37	88	125	52
Fri May 27 16:53:11 2016	1464367991	36	88	125	52
Fri May 27 16:51:10 2016	1464367870	36	88	125	52
Fri May 27 16:51:10 2016	1464367870	37	88	125	51
Fri May 27 16:51:06 2016	1464367866	36	88	125	52
Fri May 27 16:53:51 2016	1464368031	36	89	125	52
Fri May 27 16:53:50 2016	1464368030	37	88	125	52
Fri May 27 16:51:03 2016	1464367863	37	88	125	52
Fri May 27 16:51:08 2016	1464367868	37	88	125	52
Fri May 27 16:51:08 2016	1464367868	37	88	125	52
Fri May 27 16:51:09 2016	1464367869	36	88	125	52
Fri May 27 16:53:07 2016	1464367987	37	88	125	52
Fri May 27 16:53:08 2016	1464367988	37	88	125	52
Fri May 27 16:55:30 2016	1464368130	37	88	125	52
Fri May 27 16:51:11 2016	1464367871	37	88	125	52
Fri May 27 16:56:56 2016	1464368216	36	88	125	52
Fri May 27 16:51:08 2016	1464367868	37	88	125	52
Fri May 27 16:51:11 2016	1464367871	36	89	125	52
Fri May 27 16:51:05 2016	1464367865	37	88	125	52
Fri May 27 16:51:11 2016	1464367871	36	89	125	52
Fri May 27 16:51:10 2016	1464367870	36	89	125	52
Fri May 27 16:53:09 2016	1464367989	37	88	125	52
Fri May 27 16:51:28 2016	1464367888	36	89	125	52
Fri May 27 16:51:26 2016	1464367886	37	88	125	52
Fri May 27 16:56:31 2016	1464368191	37	88	125	52
Fri May 27 16:51:10 2016	1464367870	36	89	125	52
Fri May 27 16:56:30 2016	1464368190	37	88	125	52
Fri May 27 16:51:04 2016	1464367864	37	88	125	52
Fri May 27 16:51:47 2016	1464367907	37	88	125	52
Fri May 27 16:51:04 2016	1464367864	37	88	125	52
Fri May 27 16:55:50 2016	1464368150	37	88	125	52
Fri May 27 16:53:53 2016	1464368033	37	88	125	52
Fri May 27 16:51:04 2016	1464367864	37	88	125	52
Fri May 27 16:51:05 2016	1464367865	37	89	125	52
Fri May 27 16:51:29 2016	1464367889	36	89	125	52
Fri May 27 16:51:11 2016	1464367871	36	89	125	52
